//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/Accounts/Notification/AAIDMSAccountNotificationPlugin.bundle/Contents/MacOS/AAIDMSAccountNotificationPlugin
// arch:    arm64e
// uuid:    6CA2881F-3313-3FE1-BA8C-9A7644B84907
// text:    0x00000001e5599000
// count:   20 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001e5599c98  0x000001a0  __TEXT,__text  objc  -[AAIDMSAccountNotificationPlugin @"BSAction">]
0x00000001e5599e38  0x000000d0  __TEXT,__text  objc  -[AAIDMSAccountNotificationPlugin ]
0x00000001e5599f08  0x0000037c  __TEXT,__text  objc  -[AAIDMSAccountNotificationPlugin ?]
0x00000001e559a284  0x00000128  __TEXT,__text  sub  sub_1e559a284
0x00000001e559a3ac  0x00000008  __TEXT,__text  sub  sub_1e559a3ac
0x00000001e559a3b4  0x00000008  __TEXT,__text  sub  sub_1e559a3b4
0x00000001e559a3bc  0x00000154  __TEXT,__text  objc  -[AAIDMSAccountNotificationPlugin ]
0x00000001e559a510  0x00000188  __TEXT,__text  objc  -[AAIDMSAccountNotificationPlugin ]
0x00000001e559a698  0x000000fc  __TEXT,__text  objc  -[AAIDMSAccountNotificationPlugin nary">]
0x00000001e559a794  0x00000224  __TEXT,__text  objc  -[AAIDMSAccountNotificationPlugin ]
0x00000001e559a9b8  0x00000150  __TEXT,__text  objc  -[AAIDMSAccountNotificationPlugin ]
0x00000001e559ab08  0x00000120  __TEXT,__text  sub  sub_1e559ab08
0x00000001e559ac28  0x00000018  __TEXT,__text  sub  sub_1e559ac28
0x00000001e559ac40  0x00000014  __TEXT,__text  sub  sub_1e559ac40
0x00000001e559ac54  0x00000014  __TEXT,__text  sub  sub_1e559ac54
0x00000001e559ac68  0x00000020  __TEXT,__text  sub  sub_1e559ac68
0x00000001e559ac88  0x00000050  __TEXT,__text  sub  sub_1e559ac88
0x00000001e559acd8  0x00000060  __TEXT,__text  sub  sub_1e559acd8
0x00000001e559ad38  0x00000060  __TEXT,__text  sub  sub_1e559ad38
0x00000001e559ad98  0x00000000  __TEXT,__text  sub  sub_1e559ad98
