//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/Assistant/Plugins/Contacts.assistantBundle/Contents/MacOS/Contacts
// arch:    arm64e
// uuid:    40E8BFE2-65C3-3776-A378-EFDEA825CDF3
// text:    0x00000001e5223000
// count:   203 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001e52240c8  0x00000088  __TEXT,__text  objc  -[ABAssistantSyncAnchor %z]
0x00000001e5224150  0x0000000c  __TEXT,__text  objc  -[ABAssistantSyncAnchor ?]
0x00000001e522415c  0x00000050  __TEXT,__text  objc  -[ABAssistantSyncAnchor ?]
0x00000001e52241ac  0x00000008  __TEXT,__text  objc  -[ABAssistantSyncAnchor ?]
0x00000001e52241b4  0x0000003c  __TEXT,__text  objc  -[ABAssistantSyncAnchor ]
0x00000001e52241f0  0x00000034  __TEXT,__text  objc  +[ABAssistantSyncAnchor ?]
0x00000001e5224224  0x00000014  __TEXT,__text  objc  +[ABAssistantSyncAnchor ?]
0x00000001e5224238  0x00000014  __TEXT,__text  objc  -[ABAssistantSyncAnchor ]
0x00000001e522424c  0x000000bc  __TEXT,__text  objc  -[ABAssistantSyncAnchor ]
0x00000001e5224308  0x00000024  __TEXT,__text  objc  -[ABAssistantSyncAnchor z]
0x00000001e522432c  0x00000010  __TEXT,__text  objc  -[ABAssistantSyncAnchor ]
0x00000001e522433c  0x0000003c  __TEXT,__text  objc  -[ABAssistantSyncAnchor ?]
0x00000001e5224378  0x00000010  __TEXT,__text  objc  -[ABAssistantSyncAnchor ?]
0x00000001e5224388  0x0000017c  __TEXT,__text  objc  +[ABAssistantSyncAnchor ]
0x00000001e5224504  0x0000000c  __TEXT,__text  objc  -[ABAssistantSyncAnchor ?]
0x00000001e5224510  0x00000008  __TEXT,__text  objc  +[?(ABPersonAssistantAdditions) ?]
0x00000001e5224518  0x0000004c  __TEXT,__text  objc  -[CNAssistantCommandUpdatePerson ]
0x00000001e5224564  0x00000074  __TEXT,__text  objc  -[CNAssistantCommandUpdatePerson ?]
0x00000001e52245d8  0x000000ac  __TEXT,__text  objc  -[CNAssistantCommandUpdatePerson ?]
0x00000001e5224684  0x00000008  __TEXT,__text  objc  -[CNAssistantCommandUpdatePerson r{]
0x00000001e522468c  0x000003a8  __TEXT,__text  objc  -[CNAssistantCommandUpdatePerson ?]
0x00000001e5224a34  0x00000140  __TEXT,__text  objc  -[CNAssistantCommandUpdatePerson C|]
0x00000001e5224b74  0x00000014  __TEXT,__text  objc  -[CNAssistantCommandUpdatePerson  ]
0x00000001e5224b88  0x00000094  __TEXT,__text  objc  +[CNAssistantSAObjectFactory C|]
0x00000001e5224c1c  0x000000b4  __TEXT,__text  objc  +[CNAssistantSAObjectFactory ]
0x00000001e5224cd0  0x000000b8  __TEXT,__text  objc  +[CNAssistantSAObjectFactory ]
0x00000001e5224d88  0x00000094  __TEXT,__text  objc  +[CNAssistantSAObjectFactory ?]
0x00000001e5224e1c  0x00000190  __TEXT,__text  objc  +[CNAssistantSAObjectFactory ]
0x00000001e5224fac  0x00000154  __TEXT,__text  objc  +[CNAssistantSAObjectFactory ]
0x00000001e5225100  0x000000fc  __TEXT,__text  objc  +[CNAssistantSAObjectFactory ?]
0x00000001e52251fc  0x0000004c  __TEXT,__text  objc  -[CNAssistantCommandCancelPerson ?]
0x00000001e5225248  0x00000074  __TEXT,__text  objc  -[CNAssistantCommandCancelPerson ation]
0x00000001e52252bc  0x000000ac  __TEXT,__text  objc  -[CNAssistantCommandCancelPerson ?]
0x00000001e5225368  0x00000268  __TEXT,__text  objc  -[CNAssistantCommandCancelPerson ?]
0x00000001e52255d0  0x000000b0  __TEXT,__text  objc  -[CNAssistantCommandCancelPerson ]
0x00000001e5225680  0x00000014  __TEXT,__text  objc  -[CNAssistantCommandCancelPerson ?]
0x00000001e5225694  0x0000004c  __TEXT,__text  objc  -[CNAssistantCommandPunchOut A]
0x00000001e52256e0  0x00000074  __TEXT,__text  objc  -[CNAssistantCommandPunchOut H6]
0x00000001e5225754  0x000000c4  __TEXT,__text  objc  -[CNAssistantCommandPunchOut Cz]
0x00000001e5225818  0x00000008  __TEXT,__text  objc  -[CNAssistantCommandPunchOut ?]
0x00000001e5225820  0x000001c4  __TEXT,__text  objc  -[CNAssistantCommandPunchOut ?]
0x00000001e52259e4  0x00000210  __TEXT,__text  objc  -[CNAssistantCommandPunchOut ]
0x00000001e5225bf4  0x00000014  __TEXT,__text  objc  -[CNAssistantCommandPunchOut ?]
0x00000001e5225c08  0x00000044  __TEXT,__text  objc  -[CNAssistantCommandClear ?]
0x00000001e5225c4c  0x00000064  __TEXT,__text  objc  -[CNAssistantCommandClear ]
0x00000001e5225cb0  0x00000054  __TEXT,__text  objc  -[CNAssistantCommandClear ]
0x00000001e5225d04  0x0000000c  __TEXT,__text  objc  -[CNAssistantCommandClear ?]
0x00000001e5225d10  0x0000004c  __TEXT,__text  objc  -[CNAssistantCommandCommitPerson ]
0x00000001e5225d5c  0x00000074  __TEXT,__text  objc  -[CNAssistantCommandCommitPerson ?]
0x00000001e5225dd0  0x000000ac  __TEXT,__text  objc  -[CNAssistantCommandCommitPerson ?]
0x00000001e5225e7c  0x00000268  __TEXT,__text  objc  -[CNAssistantCommandCommitPerson ?]
0x00000001e52260e4  0x000002f8  __TEXT,__text  objc  -[CNAssistantCommandCommitPerson ]
0x00000001e52263dc  0x00000014  __TEXT,__text  objc  -[CNAssistantCommandCommitPerson ?]
0x00000001e52263f0  0x0000004c  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson ?]
0x00000001e522643c  0x00000074  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson ?]
0x00000001e52264b0  0x000000ac  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson ]
0x00000001e522655c  0x00000350  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson ?]
0x00000001e52268ac  0x00000254  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson ?]
0x00000001e5226b00  0x000000c8  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson ]
0x00000001e5226bc8  0x000001e4  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson ?]
0x00000001e5226dac  0x00000024  __TEXT,__text  sub  sub_1e5226dac
0x00000001e5226dd0  0x00000424  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson C|]
0x00000001e52271f4  0x00000010  __TEXT,__text  sub  sub_1e52271f4
0x00000001e5227204  0x00000008  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson |]
0x00000001e522720c  0x00000014  __TEXT,__text  objc  -[CNAssistantCommandSearchPerson  ]
0x00000001e5227220  0x0000007c  __TEXT,__text  objc  -[ABAssistantSyncHandler ]
0x00000001e522729c  0x00000098  __TEXT,__text  objc  -[ABAssistantSyncHandler ?]
0x00000001e5227334  0x0000008c  __TEXT,__text  objc  -[ABAssistantSyncHandler ]
0x00000001e52273c0  0x00000058  __TEXT,__text  objc  -[ABAssistantSyncHandler $z]
0x00000001e5227418  0x000000bc  __TEXT,__text  objc  -[ABAssistantSyncHandler ]
0x00000001e52274d4  0x00000084  __TEXT,__text  objc  -[ABAssistantSyncHandler ]
0x00000001e5227558  0x00000044  __TEXT,__text  objc  -[ABAssistantSyncHandler iLz]
0x00000001e522759c  0x00000008  __TEXT,__text  objc  -[ABAssistantSyncHandler ]
0x00000001e52275a4  0x00000044  __TEXT,__text  objc  -[ABAssistantSyncHandler ?]
0x00000001e52275e8  0x00000044  __TEXT,__text  objc  -[ABAssistantSyncHandler  ]
0x00000001e522762c  0x00000018  __TEXT,__text  sub  sub_1e522762c
0x00000001e5227644  0x00000014  __TEXT,__text  sub  sub_1e5227644
0x00000001e5227658  0x00000014  __TEXT,__text  sub  sub_1e5227658
0x00000001e522766c  0x000000e8  __TEXT,__text  objc  +[CNAssistantCache ?]
0x00000001e5227754  0x000000f0  __TEXT,__text  objc  +[CNAssistantCache ̌A|]
0x00000001e5227844  0x000000e0  __TEXT,__text  objc  +[CNAssistantCache ]
0x00000001e5227924  0x0000013c  __TEXT,__text  objc  +[CNAssistantCache ]
0x00000001e5227a60  0x000000a0  __TEXT,__text  objc  +[CNAssistantCache ]
0x00000001e5227b00  0x000000a8  __TEXT,__text  objc  +[CNAssistantCache ,z]
0x00000001e5227ba8  0x000000ac  __TEXT,__text  objc  +[CNAssistantCache ?]
0x00000001e5227c54  0x00000070  __TEXT,__text  objc  -[?(ABAddressBookAssistantAdditions) |]
0x00000001e5227cc4  0x000003a0  __TEXT,__text  objc  -[?(ABAddressBookAssistantAdditions) ]
0x00000001e5228064  0x000000cc  __TEXT,__text  objc  -[?(ABAddressBookAssistantAdditions) ]
0x00000001e5228130  0x0000007c  __TEXT,__text  objc  -[?(ABAddressBookAssistantAdditions) |]
0x00000001e52281ac  0x00000078  __TEXT,__text  objc  -[ABAssistantSyncPeople ]
0x00000001e5228224  0x00000050  __TEXT,__text  objc  -[ABAssistantSyncPeople ?]
0x00000001e5228274  0x0000000c  __TEXT,__text  objc  -[ABAssistantSyncPeople ]
0x00000001e5228280  0x0000000c  __TEXT,__text  objc  -[ABAssistantSyncPeople ?]
0x00000001e522828c  0x00000004  __TEXT,__text  objc  -[ABAssistantSyncPeople ]
0x00000001e5228290  0x0000005c  __TEXT,__text  objc  -[ABAssistantSyncPeople {]
0x00000001e52282ec  0x00000004  __TEXT,__text  objc  -[ABAssistantSyncPeople 3|]
0x00000001e52282f0  0x00000010  __TEXT,__text  objc  -[ABAssistantSyncPeople ?]
0x00000001e5228300  0x0000005c  __TEXT,__text  objc  -[ABAssistantSyncPeople ]
0x00000001e522835c  0x00000078  __TEXT,__text  objc  -[ABAssistantSyncPeople ?]
0x00000001e52283d4  0x0000010c  __TEXT,__text  objc  -[ABAssistantSyncPeople ]
0x00000001e52284e0  0x0000020c  __TEXT,__text  objc  -[ABAssistantSyncPeople ]
0x00000001e52286ec  0x0000000c  __TEXT,__text  objc  +[ABAssistantConversion ]
0x00000001e52286f8  0x0000036c  __TEXT,__text  objc  +[ABAssistantConversion ]
0x00000001e5228a64  0x0000000c  __TEXT,__text  objc  +[ABAssistantConversion |]
0x00000001e5228a70  0x00000014  __TEXT,__text  objc  +[ABAssistantConversion ]
0x00000001e5228a84  0x0000000c  __TEXT,__text  objc  +[ABAssistantConversion lC|]
0x00000001e5228a90  0x00000290  __TEXT,__text  objc  +[ABAssistantConversion |]
0x00000001e5228d20  0x00000680  __TEXT,__text  objc  +[ABAssistantConversion z]
0x00000001e52293a0  0x00000018  __TEXT,__text  objc  +[ABAssistantConversion ]
0x00000001e52293b8  0x00000018  __TEXT,__text  objc  +[ABAssistantConversion ]
