//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/ATS
// arch:    arm64e
// uuid:    FB4E0EBB-6886-3EDB-AED1-F9A63496889A
// text:    0x00000001944f9000
// count:   1394 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001944f9fa8  0x00000024  __TEXT,__text  func  ATSRegisterURLs
0x00000001944f9fcc  0x0000000c  __TEXT,__text  func  FOGetFontFamilyScriptFlags
0x00000001944f9fd8  0x0000009c  __TEXT,__text  func  ATSFontGetContainerFromFileReference
0x00000001944fa074  0x000000d0  __TEXT,__text  func  FOLazyInitialize
0x00000001944fa144  0x00000098  __TEXT,__text  func  ATSInitClient
0x00000001944fa1dc  0x000000a4  __TEXT,__text  func  ATSNewGlobalCacheAllocator
0x00000001944fa280  0x00000028  __TEXT,__text  func  InitAllocatorHeader
0x00000001944fa2a8  0x00000098  __TEXT,__text  func  ATSNewAppHeapAllocator
0x00000001944fa340  0x000000a8  __TEXT,__text  cxx  __Z21InitializeGlyphsCachem  // InitializeGlyphsCache(unsigned long)
0x00000001944fa3e8  0x000002c0  __TEXT,__text  cxx  __ZL22NewHookUpWithATSServerh  // NewHookUpWithATSServer(unsigned char)
0x00000001944fa6a8  0x00000198  __TEXT,__text  cxx  __ZL20RendezvousWithServerPc  // RendezvousWithServer(char*)
0x00000001944fa840  0x000002c4  __TEXT,__text  func  SendFontManagementMessageWithMessageStatus
0x00000001944fab04  0x00000084  __TEXT,__text  cxx  __ZL30SendSynchronizeDatabaseMessagev  // SendSynchronizeDatabaseMessage()
0x00000001944fab88  0x00000314  __TEXT,__text  cxx  __ZL30SynchronizeDatabaseInformationP19DBSynchMessageReply  // SynchronizeDatabaseInformation(DBSynchMessageReply*)
0x00000001944fae9c  0x00000070  __TEXT,__text  func  DeallocateFontFamilyArray
0x00000001944faf0c  0x00000020  __TEXT,__text  func  DeallocateStringLookup
0x00000001944faf2c  0x00000050  __TEXT,__text  func  DeallocateFontContainerList
0x00000001944faf7c  0x00000214  __TEXT,__text  func  ResetFontNamesCache
0x00000001944fb190  0x00000008  __TEXT,__text  func  SetDLCacheTreeComparator
0x00000001944fb198  0x00000074  __TEXT,__text  func  AVLRResetData
