//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/CloudKit.framework/Versions/A/CloudKit
// arch:    arm64e
// uuid:    E36022B1-863C-3E36-81A9-4EDD183F95AE
// text:    0x000000018af9c000
// count:   20979 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000018af9ebc8  0x00000718  __TEXT,__text  sub  sub_18af9ebc8
0x000000018af9f2e0  0x00000008  __TEXT,__text  sub  sub_18af9f2e0
0x000000018af9f2e8  0x00000064  __TEXT,__text  objc  -[CKContainerOptions ?]
0x000000018af9f34c  0x00000004  __TEXT,__text  objc  -[CKContainerOptions ?]
0x000000018af9f350  0x00000058  __TEXT,__text  objc  -[CKContainerOptions ?]
0x000000018af9f3a8  0x00000184  __TEXT,__text  objc  -[CKContainerOptions ?]
0x000000018af9f52c  0x000000ac  __TEXT,__text  func  CKGetGlobalQueue
0x000000018af9f5d8  0x0000022c  __TEXT,__text  sub  sub_18af9f5d8
0x000000018af9f804  0x0000000c  __TEXT,__text  sub  sub_18af9f804
0x000000018af9f810  0x00000068  __TEXT,__text  objc  +[CKBehaviorOptions -signpostID` will return 0 because it failed to create MLProgramEngine for the main function.]
0x000000018af9f878  0x00000044  __TEXT,__text  sub  sub_18af9f878
0x000000018af9f8bc  0x00000008  __TEXT,__text  objc  -[CKBehaviorOptions ]
0x000000018af9f8c4  0x00000008  __TEXT,__text  objc  -[?(CKSQLiteAdditions) ?]
0x000000018af9f8cc  0x0000000c  __TEXT,__text  objc  -[?(CKSQLiteAdditions) ?]
0x000000018af9f8d8  0x00000058  __TEXT,__text  sub  sub_18af9f8d8
0x000000018af9f930  0x00000004  __TEXT,__text  sub  sub_18af9f930
0x000000018af9f934  0x00000008  __TEXT,__text  sub  sub_18af9f934
0x000000018af9f93c  0x00000008  __TEXT,__text  sub  sub_18af9f93c
0x000000018af9f944  0x0000002c  __TEXT,__text  func  CKContainerEnvironmentString
0x000000018af9f970  0x00000058  __TEXT,__text  sub  sub_18af9f970
0x000000018af9f9c8  0x00000058  __TEXT,__text  sub  sub_18af9f9c8
0x000000018af9fa20  0x00000058  __TEXT,__text  sub  sub_18af9fa20
0x000000018af9fa78  0x000000dc  __TEXT,__text  sub  sub_18af9fa78
0x000000018af9fb54  0x000000d0  __TEXT,__text  sub  sub_18af9fb54
0x000000018af9fc24  0x000001bc  __TEXT,__text  func  _CKCheckArgument
0x000000018af9fde0  0x00000040  __TEXT,__text  sub  sub_18af9fde0
0x000000018af9fe20  0x00000040  __TEXT,__text  sub  sub_18af9fe20
0x000000018af9fe60  0x00000004  __TEXT,__text  sub  sub_18af9fe60
0x000000018af9fe64  0x00000058  __TEXT,__text  sub  sub_18af9fe64
0x000000018af9febc  0x00000024  __TEXT,__text  func  CKDatabaseScopeString
0x000000018af9fee0  0x0000002c  __TEXT,__text  sub  sub_18af9fee0
0x000000018af9ff0c  0x00000008  __TEXT,__text  sub  sub_18af9ff0c
0x000000018af9ff14  0x000000b4  __TEXT,__text  sub  sub_18af9ff14
0x000000018af9ffc8  0x00000008  __TEXT,__text  sub  sub_18af9ffc8
0x000000018af9ffd0  0x000001e4  __TEXT,__text  sub  sub_18af9ffd0
0x000000018afa01b4  0x00000174  __TEXT,__text  sub  sub_18afa01b4
0x000000018afa0328  0x00000050  __TEXT,__text  sub  sub_18afa0328
0x000000018afa0378  0x0000009c  __TEXT,__text  sub  sub_18afa0378
0x000000018afa0414  0x00000008  __TEXT,__text  sub  sub_18afa0414
