//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/GLKit.framework/Versions/A/GLKit
// arch:    arm64e
// uuid:    0549C92D-A261-30A4-84EA-2CC4DD32C76F
// text:    0x000000019890d000
// count:   1236 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019890e020  0x0000023c  __TEXT,__text  objc  +[GLKEffect initialize]  // +[GLKEffect ?]
0x000000019890e25c  0x00000044  __TEXT,__text  objc  +[GLKEffect initializeStaticMasks]  // +[GLKEffect ?]
0x000000019890e2a0  0x00000074  __TEXT,__text  objc  -[GLKShaderBlockNode init]  // -[GLKShaderBlockNode ?]
0x000000019890e314  0x00000090  __TEXT,__text  objc  +[GLKEffect parseXMLFile:rootNode:]  // +[GLKEffect ?]
0x000000019890e3a4  0x000002e4  __TEXT,__text  objc  -[GLKShaderBlockNode parser:didStartElement:namespaceURI:qualifiedName:attributes:]  // -[GLKShaderBlockNode d24]
0x000000019890e688  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setLabel:]  // -[GLKShaderBlockNode ]
0x000000019890e690  0x00000148  __TEXT,__text  objc  -[GLKShaderBlockNode parser:foundCharacters:]  // -[GLKShaderBlockNode ?]
0x000000019890e7d8  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setType:]  // -[GLKShaderBlockNode ?]
0x000000019890e7e0  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setLoopVar:]  // -[GLKShaderBlockNode ]
0x000000019890e7e8  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setPropertyClass:]  // -[GLKShaderBlockNode ?]
0x000000019890e7f0  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setParent:]  // -[GLKShaderBlockNode ]
0x000000019890e7f8  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setChildren:]  // -[GLKShaderBlockNode ?]
0x000000019890e800  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode label]  // -[GLKShaderBlockNode R]
0x000000019890e808  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setBlockText:]  // -[GLKShaderBlockNode ?]
0x000000019890e810  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode blockText]  // -[GLKShaderBlockNode ?]
0x000000019890e818  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode next]  // -[GLKShaderBlockNode ?]
0x000000019890e820  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setNext:]  // -[GLKShaderBlockNode ]
0x000000019890e828  0x00000010  __TEXT,__text  objc  -[GLKShaderBlockNode parser:didEndElement:namespaceURI:qualifiedName:]  // -[GLKShaderBlockNode ?]
0x000000019890e838  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setUnrollCt:]  // -[GLKShaderBlockNode ?]
0x000000019890e840  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setIndexedMask:]  // -[GLKShaderBlockNode ?]
0x000000019890e848  0x000002f8  __TEXT,__text  objc  +[GLKEffect unrollLoopNodesForStaticTreeWithRoot:]  // +[GLKEffect ?]
0x000000019890eb40  0x000000b8  __TEXT,__text  objc  +[GLKShaderBlockNode buildUnrollNodeArray:array:]  // +[GLKShaderBlockNode ?]
0x000000019890ebf8  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode unrollCt]  // -[GLKShaderBlockNode @]
0x000000019890ec00  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode children]  // -[GLKShaderBlockNode ?]
0x000000019890ec08  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode parent]  // -[GLKShaderBlockNode ?]
0x000000019890ec10  0x00000080  __TEXT,__text  objc  +[GLKShaderBlockNode copyTreeWithRootButNotSiblings:parent:]  // +[GLKShaderBlockNode ?]
0x000000019890ec90  0x00000110  __TEXT,__text  objc  -[GLKShaderBlockNode copyWithZone:]  // -[GLKShaderBlockNode ?]
0x000000019890eda0  0x0000000c  __TEXT,__text  objc  -[GLKShaderBlockNode mask]  // -[GLKShaderBlockNode ?]
0x000000019890edac  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setMask:]  // -[GLKShaderBlockNode ]
0x000000019890edb4  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode propertyClass]  // -[GLKShaderBlockNode ?]
0x000000019890edbc  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode type]  // -[GLKShaderBlockNode ?]
0x000000019890edc4  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode index]  // -[GLKShaderBlockNode ?]
0x000000019890edcc  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode setIndex:]  // -[GLKShaderBlockNode ?]
0x000000019890edd4  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode indexedMask]  // -[GLKShaderBlockNode ?]
0x000000019890eddc  0x00000008  __TEXT,__text  objc  -[GLKShaderBlockNode loopVar]  // -[GLKShaderBlockNode ?]
0x000000019890ede4  0x000000bc  __TEXT,__text  objc  +[GLKShaderBlockNode copyTreeWithRoot:parent:]  // +[GLKShaderBlockNode ?]
0x000000019890eea0  0x000001c4  __TEXT,__text  objc  +[GLKShaderBlockNode setIndicesForRoot:andReplaceLoopVar:baseLabel:basePropertyClass:usingIndex:indexString:]  // +[GLKShaderBlockNode ?]
0x000000019890f064  0x00000050  __TEXT,__text  objc  +[GLKShaderBlockNode insertNode:afterSibling:]  // +[GLKShaderBlockNode ?]
0x000000019890f0b4  0x00000118  __TEXT,__text  objc  +[GLKShaderBlockNode setMasksWithRoot:treeRoot:mask:]  // +[GLKShaderBlockNode ?]
0x000000019890f1cc  0x000000f8  __TEXT,__text  objc  +[GLKShaderBlockNode maskForLabel:root:index:]  // +[GLKShaderBlockNode ?]
0x000000019890f2c4  0x00000398  __TEXT,__text  objc  +[GLKEffect setStaticMasksWithVshRoot:fshRoot:]  // +[GLKEffect ?]
0x000000019890f65c  0x00000004  __TEXT,__text  objc  +[GLKEffectPropertyConstantColor setStaticMasksWithVshRoot:fshRoot:]  // +[GLKEffectPropertyConstantColor ?]
0x000000019890f660  0x00000100  __TEXT,__text  objc  +[GLKEffectPropertyFog setStaticMasksWithVshRoot:fshRoot:]  // +[GLKEffectPropertyFog ?]
0x000000019890f760  0x00000170  __TEXT,__text  objc  +[GLKEffectPropertyLight setStaticMasksWithVshRoot:fshRoot:]  // +[GLKEffectPropertyLight ?]
