//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit
// arch:    arm64e
// uuid:    13C5D661-B23A-3AD8-88BB-2DE56023B840
// text:    0x000000018484a000
// count:   3939 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000018484b178  0x000000d0  __TEXT,__text  func  IOMasterPort
0x000000018484b248  0x00000064  __TEXT,__text  func  __IOMasterPort_block_invoke
0x000000018484b2ac  0x00000180  __TEXT,__text  func  io_server_version
0x000000018484b42c  0x00000010  __TEXT,__text  func  IOServiceMatching
0x000000018484b43c  0x0000009c  __TEXT,__text  func  MakeOneStringProp
0x000000018484b4d8  0x00000154  __TEXT,__text  func  IOServiceGetMatchingService
0x000000018484b62c  0x000002bc  __TEXT,__text  func  IOCFSerialize
0x000000018484b8e8  0x00000474  __TEXT,__text  func  DoCFSerializeBinary
0x000000018484bd5c  0x000000c0  __TEXT,__text  func  IOCFSerializeBinaryAddObject
0x000000018484be1c  0x00000074  __TEXT,__text  func  IOCFSerializeBinaryCFDictionaryFunction
0x000000018484be90  0x00000238  __TEXT,__text  func  io_service_get_matching_service_bin
0x000000018484c0c8  0x0000015c  __TEXT,__text  func  IOServiceGetMatchingServices
0x000000018484c224  0x00000238  __TEXT,__text  func  io_service_get_matching_services_bin
0x000000018484c45c  0x00000034  __TEXT,__text  func  IOIteratorNext
0x000000018484c490  0x00000168  __TEXT,__text  func  io_iterator_next
0x000000018484c5f8  0x00000014  __TEXT,__text  func  IORegistryEntryCreateCFProperty
0x000000018484c60c  0x00000230  __TEXT,__text  func  IORegistryEntrySearchCFProperty
0x000000018484c83c  0x00000274  __TEXT,__text  func  io_registry_entry_get_property_bin
0x000000018484cab0  0x00000014  __TEXT,__text  func  IOObjectRelease
0x000000018484cac4  0x00000010  __TEXT,__text  func  IOServiceNameMatching
0x000000018484cad4  0x0000004c  __TEXT,__text  func  IOServiceOpen
0x000000018484cb20  0x000001b4  __TEXT,__text  func  io_service_open_extended
0x000000018484ccd4  0x00000118  __TEXT,__text  func  IOConnectCallMethod
0x000000018484cdec  0x000003e4  __TEXT,__text  func  io_connect_method
0x000000018484d1d0  0x00000150  __TEXT,__text  func  IORegistryEntryCreateCFProperties
0x000000018484d320  0x000001b4  __TEXT,__text  func  io_registry_entry_get_properties_bin
0x000000018484d4d4  0x00000050  __TEXT,__text  func  IOCFUnserializeWithSize
0x000000018484d524  0x000007f4  __TEXT,__text  func  IOCFUnserializeBinary
0x000000018484dd18  0x00000044  __TEXT,__text  func  IOConnectCallStructMethod
0x000000018484dd5c  0x0000007c  __TEXT,__text  func  IORegistryEntryGetParentEntry
0x000000018484ddd8  0x000001f0  __TEXT,__text  func  io_registry_entry_get_parent_iterator
0x000000018484dfc8  0x0000002c  __TEXT,__text  func  IORegistryEntryGetRegistryEntryID
0x000000018484dff4  0x00000180  __TEXT,__text  func  io_registry_entry_get_registry_entry_id
0x000000018484e174  0x000000a0  __TEXT,__text  func  IONotificationPortCreate
0x000000018484e214  0x00000070  __TEXT,__text  func  IOObjectRetain
0x000000018484e284  0x000000f0  __TEXT,__text  func  IONotificationPortSetDispatchQueue
0x000000018484e374  0x00000068  __TEXT,__text  func  IOServiceAddMatchingNotification
0x000000018484e3dc  0x000001a4  __TEXT,__text  func  InternalIOServiceAddNotification
0x000000018484e580  0x000002d0  __TEXT,__text  func  io_service_add_notification_bin
0x000000018484e850  0x00000070  __TEXT,__text  func  IOServiceAddInterestNotification
0x000000018484e8c0  0x0000025c  __TEXT,__text  func  io_service_add_interest_notification
0x000000018484eb1c  0x00000004  __TEXT,__text  func  IOConnectAddClient
0x000000018484eb20  0x00000128  __TEXT,__text  func  io_connect_add_client
0x000000018484ec48  0x00000008  __TEXT,__text  func  IONotificationPortGetMachPort
0x000000018484ec50  0x00000034  __TEXT,__text  func  IOConnectCallAsyncScalarMethod
