//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/ImageIO.framework/Versions/A/Resources/libGIF.dylib
// arch:    arm64e
// uuid:    D054410B-09D0-3856-B7CB-EEF320362B0B
// text:    0x0000000192bb3000
// count:   72 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000192bb3668  0x00000070  __TEXT,__text  func  reallocarray
0x0000000192bb36d8  0x00000058  __TEXT,__text  func  _cg_DGifOpenFileName
0x0000000192bb3730  0x000001c4  __TEXT,__text  func  _cg_DGifOpenFileHandle
0x0000000192bb38f4  0x000001a0  __TEXT,__text  func  _cg_DGifGetScreenDesc
0x0000000192bb3a94  0x000001dc  __TEXT,__text  func  _cg_DGifOpen
0x0000000192bb3c70  0x0000008c  __TEXT,__text  func  DGifGetWord
0x0000000192bb3cfc  0x000000dc  __TEXT,__text  func  _cg_DGifGetRecordType
0x0000000192bb3dd8  0x000002e8  __TEXT,__text  func  _cg_DGifGetImageDesc
0x0000000192bb40c0  0x0000010c  __TEXT,__text  func  DGifSetupDecompress
0x0000000192bb41cc  0x000000c4  __TEXT,__text  func  _cg_DGifGetLine
0x0000000192bb4290  0x000005fc  __TEXT,__text  func  DGifDecompressLine
0x0000000192bb488c  0x00000108  __TEXT,__text  func  _cg_DGifGetCodeNext
0x0000000192bb4994  0x000000a0  __TEXT,__text  func  _cg_DGifGetPixel
0x0000000192bb4a34  0x000000b4  __TEXT,__text  func  _cg_DGifGetExtension
0x0000000192bb4ae8  0x000000fc  __TEXT,__text  func  _cg_DGifGetExtensionNext
0x0000000192bb4be4  0x00000050  __TEXT,__text  func  _cg_DGifExtensionToGCB
0x0000000192bb4c34  0x00000078  __TEXT,__text  func  DGifSavedExtensionToGCB
0x0000000192bb4cac  0x000000f8  __TEXT,__text  func  _cg_DGifCloseFile
0x0000000192bb4da4  0x0000002c  __TEXT,__text  func  _cg_DGifGetCode
0x0000000192bb4dd0  0x000000c8  __TEXT,__text  func  _cg_DGifGetLZCodes
0x0000000192bb4e98  0x000001f4  __TEXT,__text  func  DGifDecompressInput
0x0000000192bb508c  0x00000290  __TEXT,__text  func  _cg_DGifSlurp
0x0000000192bb531c  0x0000008c  __TEXT,__text  func  _cg_EGifOpenFileName
0x0000000192bb53a8  0x0000012c  __TEXT,__text  func  _cg_EGifOpenFileHandle
0x0000000192bb54d4  0x00000120  __TEXT,__text  func  _cg_EGifOpen
0x0000000192bb55f4  0x000000e8  __TEXT,__text  func  EGifGetGifVersion
0x0000000192bb56dc  0x00000010  __TEXT,__text  func  _cg_EGifSetGifVersion
0x0000000192bb56ec  0x00000234  __TEXT,__text  func  _cg_EGifPutScreenDesc
0x0000000192bb5920  0x00000054  __TEXT,__text  func  InternalWrite
0x0000000192bb5974  0x000002fc  __TEXT,__text  func  _cg_EGifPutImageDesc
0x0000000192bb5c70  0x0000009c  __TEXT,__text  func  _cg_EGifPutLine
0x0000000192bb5d0c  0x00000180  __TEXT,__text  func  EGifCompressLine
0x0000000192bb5e8c  0x0000009c  __TEXT,__text  func  _cg_EGifPutPixel
0x0000000192bb5f28  0x0000013c  __TEXT,__text  func  _cg_EGifPutComment
