//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/IntentsUI.framework/Versions/A/IntentsUI
// arch:    arm64e
// uuid:    4F8F95E2-ADDE-3FD5-B4D9-9A5716E7E4F5
// text:    0x0000000228e17000
// count:   763 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000228e182c8  0x00000050  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController .cxx_destruct]
0x0000000228e18318  0x00000010  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController setMode:]
0x0000000228e18328  0x00000010  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController mode]
0x0000000228e18338  0x00000010  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController serviceContext]
0x0000000228e18348  0x00000014  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController setDelegate:]
0x0000000228e1835c  0x00000034  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController delegate]
0x0000000228e18390  0x00000058  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController remoteViewControllerDidCancel]
0x0000000228e183e8  0x00000078  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController remoteViewControllerDidDeleteVoiceShortcutWithIdentifier:]
0x0000000228e18460  0x00000098  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController remoteViewControllerDidUpdateVoiceShortcut:error:]
0x0000000228e184f8  0x00000098  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController remoteViewControllerDidCreateVoiceShortcut:error:]
0x0000000228e18590  0x00000080  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController setServiceContext:]
0x0000000228e18610  0x00000078  __TEXT,__text  func  -[INUIVoiceShortcutHostViewController remoteViewControllerProxy]
0x0000000228e18688  0x000002fc  __TEXT,__text  func  +[INUIVoiceShortcutHostViewController getViewControllerCompletion:]
0x0000000228e18984  0x00000100  __TEXT,__text  func  __67+[INUIVoiceShortcutHostViewController getViewControllerCompletion:]_block_invoke
0x0000000228e18a84  0x0000003c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s
0x0000000228e18ac0  0x00000048  __TEXT,__text  func  __copy_helper_block_e8_32s40b
0x0000000228e18b08  0x00000218  __TEXT,__text  func  __67+[INUIVoiceShortcutHostViewController getViewControllerCompletion:]_block_invoke_2
0x0000000228e18d20  0x0000004c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s56s
0x0000000228e18d6c  0x00000058  __TEXT,__text  func  __copy_helper_block_e8_32s40s48s56b
0x0000000228e18dc4  0x00000118  __TEXT,__text  func  __67+[INUIVoiceShortcutHostViewController getViewControllerCompletion:]_block_invoke.22
0x0000000228e18edc  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s
0x0000000228e18f20  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32s40s48b
0x0000000228e18f70  0x0000033c  __TEXT,__text  func  __67+[INUIVoiceShortcutHostViewController getViewControllerCompletion:]_block_invoke_2.23
0x0000000228e192ac  0x00000054  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s56s64s
0x0000000228e19300  0x00000060  __TEXT,__text  func  __copy_helper_block_e8_32s40s48s56s64b
0x0000000228e19360  0x000000cc  __TEXT,__text  func  +[INUIVoiceShortcutHostViewController getViewControllerForEditingVoiceShortcut:completion:]
0x0000000228e1942c  0x000000b0  __TEXT,__text  func  __91+[INUIVoiceShortcutHostViewController getViewControllerForEditingVoiceShortcut:completion:]_block_invoke
0x0000000228e194dc  0x00000314  __TEXT,__text  func  +[INUIVoiceShortcutHostViewController getViewControllerForAddingShortcut:completion:]
0x0000000228e197f0  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x0000000228e19800  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x0000000228e19808  0x00000140  __TEXT,__text  func  __85+[INUIVoiceShortcutHostViewController getViewControllerForAddingShortcut:completion:]_block_invoke
0x0000000228e19948  0x00000134  __TEXT,__text  func  __85+[INUIVoiceShortcutHostViewController getViewControllerForAddingShortcut:completion:]_block_invoke.9
0x0000000228e19a7c  0x000000f0  __TEXT,__text  func  __85+[INUIVoiceShortcutHostViewController getViewControllerForAddingShortcut:completion:]_block_invoke.11
0x0000000228e19b6c  0x00000058  __TEXT,__text  func  __destroy_helper_block_e8_32s40r48r56r
0x0000000228e19bc4  0x00000070  __TEXT,__text  func  __copy_helper_block_e8_32b40r48r56r
0x0000000228e19c34  0x0000004c  __TEXT,__text  func  __destroy_helper_block_e8_32s40r48r
0x0000000228e19c80  0x00000058  __TEXT,__text  func  __copy_helper_block_e8_32s40r48r
0x0000000228e19cd8  0x00000054  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48r56r
0x0000000228e19d2c  0x00000060  __TEXT,__text  func  __copy_helper_block_e8_32s40s48r56r
0x0000000228e19d8c  0x00000068  __TEXT,__text  func  +[INUIVoiceShortcutHostViewController _voiceShortcutUIExtension]
0x0000000228e19df4  0x00000184  __TEXT,__text  func  __64+[INUIVoiceShortcutHostViewController _voiceShortcutUIExtension]_block_invoke
0x0000000228e19f78  0x00000050  __TEXT,__text  func  +[INUIVoiceShortcutHostViewController initialize]
0x0000000228e19fc8  0x000000b4  __TEXT,__text  func  -[INUIRemoteViewController .cxx_destruct]
0x0000000228e1a07c  0x00000054  __TEXT,__text  func  -[INUIRemoteViewController setCurrentRequestIdentifier:]
0x0000000228e1a0d0  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController currentRequestIdentifier]
0x0000000228e1a0e0  0x00000054  __TEXT,__text  func  -[INUIRemoteViewController setActiveExtension:]
0x0000000228e1a134  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController activeExtension]
0x0000000228e1a144  0x00000054  __TEXT,__text  func  -[INUIRemoteViewController setExtensionHostContext:]
0x0000000228e1a198  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController extensionHostContext]
0x0000000228e1a1a8  0x00000054  __TEXT,__text  func  -[INUIRemoteViewController setWidgetDescriptor:]
0x0000000228e1a1fc  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController widgetDescriptor]
0x0000000228e1a20c  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController setWidgetHost:]
0x0000000228e1a21c  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController isWidgetHost]
0x0000000228e1a22c  0x00000034  __TEXT,__text  func  -[INUIRemoteViewController delegate]
0x0000000228e1a260  0x0000000c  __TEXT,__text  func  -[INUIRemoteViewController _setRequestInfo:]
0x0000000228e1a26c  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController requestInfo]
0x0000000228e1a27c  0x0000000c  __TEXT,__text  func  -[INUIRemoteViewController setConfiguration:]
0x0000000228e1a288  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController configuration]
0x0000000228e1a298  0x00000010  __TEXT,__text  func  -[INUIRemoteViewController needsStateUpdate]
0x0000000228e1a2a8  0x00000014  __TEXT,__text  func  -[INUIRemoteViewController setPreferredContentSize:]
0x0000000228e1a2bc  0x00000014  __TEXT,__text  func  -[INUIRemoteViewController preferredContentSize]
0x0000000228e1a2d0  0x00000008  __TEXT,__text  func  -[INUIRemoteViewController _canShowWhileLocked]
0x0000000228e1a2d8  0x000000b8  __TEXT,__text  func  -[INUIRemoteViewController configureWithInteraction:context:completion:]
0x0000000228e1a390  0x00000018  __TEXT,__text  func  __72-[INUIRemoteViewController configureWithInteraction:context:completion:]_block_invoke
0x0000000228e1a3a8  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x0000000228e1a3b0  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32b
0x0000000228e1a3c0  0x00000390  __TEXT,__text  func  -[INUIRemoteViewController configureForParameters:ofInteraction:interactiveBehavior:context:completion:]
0x0000000228e1a750  0x0000015c  __TEXT,__text  func  __104-[INUIRemoteViewController configureForParameters:ofInteraction:interactiveBehavior:context:completion:]_block_invoke
0x0000000228e1a8ac  0x0000009c  __TEXT,__text  func  __104-[INUIRemoteViewController configureForParameters:ofInteraction:interactiveBehavior:context:completion:]_block_invoke.63
0x0000000228e1a948  0x00000138  __TEXT,__text  func  __104-[INUIRemoteViewController configureForParameters:ofInteraction:interactiveBehavior:context:completion:]_block_invoke.64
0x0000000228e1aa80  0x00000048  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48r
0x0000000228e1aac8  0x00000058  __TEXT,__text  func  __copy_helper_block_e8_32s40b48r
