//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/MailKit.framework/Versions/A/MailKit
// arch:    arm64e
// uuid:    C494DC4A-A4E7-35D1-930B-F4D25528CD48
// text:    0x0000000228ed7000
// count:   1518 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000228ed83b8  0x0000009c  __TEXT,__text  func  -[MEAddressAnnotation initWithEmailAddressTokenIconType:localizedDescription:]
0x0000000228ed8454  0x00000008  __TEXT,__text  func  +[MEAddressAnnotation supportsSecureCoding]
0x0000000228ed845c  0x000000c8  __TEXT,__text  func  -[MEAddressAnnotation initWithCoder:]
0x0000000228ed8524  0x000000b8  __TEXT,__text  func  -[MEAddressAnnotation encodeWithCoder:]
0x0000000228ed85dc  0x00000028  __TEXT,__text  func  -[MEAddressAnnotation _iconTypeDescription]
0x0000000228ed8604  0x000000a4  __TEXT,__text  func  -[MEAddressAnnotation description]
0x0000000228ed86a8  0x00000074  __TEXT,__text  func  +[MEAddressAnnotation errorWithLocalizedDescription:]
0x0000000228ed871c  0x00000074  __TEXT,__text  func  +[MEAddressAnnotation warningWithLocalizedDescription:]
0x0000000228ed8790  0x00000074  __TEXT,__text  func  +[MEAddressAnnotation successWithLocalizedDescription:]
0x0000000228ed8804  0x00000008  __TEXT,__text  func  -[MEAddressAnnotation iconType]
0x0000000228ed880c  0x00000008  __TEXT,__text  func  -[MEAddressAnnotation localizedDescription]
0x0000000228ed8814  0x00000008  __TEXT,__text  func  -[MEAddressAnnotation originatorExtensionDisplayName]
0x0000000228ed881c  0x00000008  __TEXT,__text  func  -[MEAddressAnnotation setOriginatorExtensionDisplayName:]
0x0000000228ed8824  0x00000044  __TEXT,__text  func  -[MEAddressAnnotation .cxx_destruct]
0x0000000228ed8868  0x0000009c  __TEXT,__text  func  -[MEMailAppExtensionObserverCriteria initWithCapabilities:includeDisabled:]
0x0000000228ed8904  0x00000008  __TEXT,__text  func  -[MEMailAppExtensionObserverCriteria capabilities]
0x0000000228ed890c  0x00000008  __TEXT,__text  func  -[MEMailAppExtensionObserverCriteria includeDisabled]
0x0000000228ed8914  0x0000000c  __TEXT,__text  func  -[MEMailAppExtensionObserverCriteria .cxx_destruct]
0x0000000228ed8920  0x000000b4  __TEXT,__text  func  +[MEAppExtensionsController log]
0x0000000228ed89d4  0x00000084  __TEXT,__text  func  __32+[MEAppExtensionsController log]_block_invoke
0x0000000228ed8a58  0x00000058  __TEXT,__text  func  +[MEAppExtensionsController sharedInstance]
0x0000000228ed8ab0  0x00000040  __TEXT,__text  func  __43+[MEAppExtensionsController sharedInstance]_block_invoke
0x0000000228ed8af0  0x00000058  __TEXT,__text  func  +[MEAppExtensionsController _emailExtensionAttributeDictionary]
0x0000000228ed8b48  0x00000094  __TEXT,__text  func  __63+[MEAppExtensionsController _emailExtensionAttributeDictionary]_block_invoke
0x0000000228ed8bdc  0x00000210  __TEXT,__text  func  -[MEAppExtensionsController init]
0x0000000228ed8dec  0x00000288  __TEXT,__text  func  __33-[MEAppExtensionsController init]_block_invoke
0x0000000228ed9074  0x0000000c  __TEXT,__text  func  __copy_helper_block_ea8_32w
0x0000000228ed9080  0x00000008  __TEXT,__text  func  __destroy_helper_block_ea8_32w
0x0000000228ed9088  0x0000007c  __TEXT,__text  func  -[MEAppExtensionsController dealloc]
0x0000000228ed9104  0x000003a0  __TEXT,__text  func  -[MEAppExtensionsController registerMailAppExtensionsObserver:capabilities:includeDisabled:completion:]
0x0000000228ed94a4  0x000000c0  __TEXT,__text  func  __103-[MEAppExtensionsController registerMailAppExtensionsObserver:capabilities:includeDisabled:completion:]_block_invoke
0x0000000228ed9564  0x00000048  __TEXT,__text  func  __copy_helper_block_ea8_32w40w
0x0000000228ed95ac  0x0000003c  __TEXT,__text  func  __destroy_helper_block_ea8_32w40w
0x0000000228ed95e8  0x00000010  __TEXT,__text  func  __103-[MEAppExtensionsController registerMailAppExtensionsObserver:capabilities:includeDisabled:completion:]_block_invoke.46
0x0000000228ed95f8  0x0000003c  __TEXT,__text  func  __copy_helper_block_ea8_32s40s
0x0000000228ed9634  0x0000003c  __TEXT,__text  func  __destroy_helper_block_ea8_32s40s
0x0000000228ed9670  0x00000110  __TEXT,__text  func  -[MEAppExtensionsController extensionForIdentifier:]
0x0000000228ed9780  0x00000060  __TEXT,__text  func  __52-[MEAppExtensionsController extensionForIdentifier:]_block_invoke
0x0000000228ed97e0  0x00000008  __TEXT,__text  func  __copy_helper_block_ea8_32s
0x0000000228ed97e8  0x00000008  __TEXT,__text  func  __destroy_helper_block_ea8_32s
0x0000000228ed97f0  0x00000198  __TEXT,__text  func  -[MEAppExtensionsController hasSecurityExtensionsEnabled]
0x0000000228ed9988  0x000000dc  __TEXT,__text  func  -[MEAppExtensionsController _startMatchingExtensions]
0x0000000228ed9a64  0x00000108  __TEXT,__text  func  __53-[MEAppExtensionsController _startMatchingExtensions]_block_invoke
0x0000000228ed9b6c  0x000005ec  __TEXT,__text  func  __53-[MEAppExtensionsController _startMatchingExtensions]_block_invoke_2
0x0000000228eda158  0x00000080  __TEXT,__text  func  __53-[MEAppExtensionsController _startMatchingExtensions]_block_invoke_3
0x0000000228eda1d8  0x00000044  __TEXT,__text  func  __copy_helper_block_ea8_32s40w
0x0000000228eda21c  0x0000003c  __TEXT,__text  func  __destroy_helper_block_ea8_32s40w
0x0000000228eda258  0x000002ac  __TEXT,__text  func  -[MEAppExtensionsController _extensionsNewlyMatchingFromNewExtensions:currentExtensions:forCriteria:]
0x0000000228eda504  0x000002c8  __TEXT,__text  func  -[MEAppExtensionsController _extensionsNoLongerMatchingFromNewExtensions:currentExtensions:forCriteria:]
0x0000000228eda7cc  0x00000104  __TEXT,__text  func  -[MEAppExtensionsController _extension:matchesOldCriteria:]
0x0000000228eda8d0  0x000000d0  __TEXT,__text  func  -[MEAppExtensionsController _extension:matchesCriteria:]
0x0000000228eda9a0  0x000000f8  __TEXT,__text  func  -[MEAppExtensionsController _extension:matchesCapabilities:]
0x0000000228edaa98  0x00000014  __TEXT,__text  func  -[MEAppExtensionsController _stopMatchingExtensions]
0x0000000228edaaac  0x00000434  __TEXT,__text  func  -[MEAppExtensionsController _remoteEmailExtensionsForExtensions:enabledOnly:]
0x0000000228edaee0  0x000002a8  __TEXT,__text  func  -[MEAppExtensionsController _logExtensionsStateWithReason:]
0x0000000228edb188  0x00000008  __TEXT,__text  func  -[MEAppExtensionsController queue]
0x0000000228edb190  0x00000044  __TEXT,__text  func  -[MEAppExtensionsController setQueue:]
0x0000000228edb1d4  0x00000008  __TEXT,__text  func  -[MEAppExtensionsController extensionsByIdentifier]
0x0000000228edb1dc  0x00000044  __TEXT,__text  func  -[MEAppExtensionsController setExtensionsByIdentifier:]
0x0000000228edb220  0x00000008  __TEXT,__text  func  -[MEAppExtensionsController previouslyEnabledExtensionIdentifiers]
0x0000000228edb228  0x00000044  __TEXT,__text  func  -[MEAppExtensionsController setPreviouslyEnabledExtensionIdentifiers:]
0x0000000228edb26c  0x00000008  __TEXT,__text  func  -[MEAppExtensionsController stateCaptureQueue]
0x0000000228edb274  0x00000008  __TEXT,__text  func  -[MEAppExtensionsController stateCaptureCancelable]
0x0000000228edb27c  0x0000008c  __TEXT,__text  func  -[MEAppExtensionsController .cxx_destruct]
0x0000000228edb308  0x00000100  __TEXT,__text  func  -[MEComposeContext initWithAction:originalMessage:shouldSign:isSigned:shouldEncrypt:isEncrypted:]
0x0000000228edb408  0x00000008  __TEXT,__text  func  +[MEComposeContext supportsSecureCoding]
0x0000000228edb410  0x0000015c  __TEXT,__text  func  -[MEComposeContext encodeWithCoder:]
0x0000000228edb56c  0x00000184  __TEXT,__text  func  -[MEComposeContext initWithCoder:]
0x0000000228edb6f0  0x00000008  __TEXT,__text  func  -[MEComposeContext contextID]
0x0000000228edb6f8  0x00000044  __TEXT,__text  func  -[MEComposeContext setContextID:]
0x0000000228edb73c  0x00000008  __TEXT,__text  func  -[MEComposeContext originalMessage]
0x0000000228edb744  0x00000044  __TEXT,__text  func  -[MEComposeContext setOriginalMessage:]
0x0000000228edb788  0x00000008  __TEXT,__text  func  -[MEComposeContext action]
0x0000000228edb790  0x00000008  __TEXT,__text  func  -[MEComposeContext setAction:]
0x0000000228edb798  0x00000008  __TEXT,__text  func  -[MEComposeContext isEncrypted]
0x0000000228edb7a0  0x00000008  __TEXT,__text  func  -[MEComposeContext setIsEncrypted:]
0x0000000228edb7a8  0x00000008  __TEXT,__text  func  -[MEComposeContext shouldEncrypt]
0x0000000228edb7b0  0x00000008  __TEXT,__text  func  -[MEComposeContext setShouldEncrypt:]
0x0000000228edb7b8  0x00000008  __TEXT,__text  func  -[MEComposeContext isSigned]
0x0000000228edb7c0  0x00000008  __TEXT,__text  func  -[MEComposeContext setIsSigned:]
0x0000000228edb7c8  0x00000008  __TEXT,__text  func  -[MEComposeContext shouldSign]
0x0000000228edb7d0  0x00000008  __TEXT,__text  func  -[MEComposeContext setShouldSign:]
0x0000000228edb7d8  0x00000044  __TEXT,__text  func  -[MEComposeContext .cxx_destruct]
0x0000000228edb81c  0x000000b4  __TEXT,__text  func  +[MEComposeExtensionsHelper log]
0x0000000228edb8d0  0x00000084  __TEXT,__text  func  __32+[MEComposeExtensionsHelper log]_block_invoke
0x0000000228edb954  0x000003d8  __TEXT,__text  func  -[MEComposeExtensionsHelper initWithComposeSession:extensionsController:iconReloader:]
0x0000000228edbd2c  0x00000188  __TEXT,__text  func  __86-[MEComposeExtensionsHelper initWithComposeSession:extensionsController:iconReloader:]_block_invoke
0x0000000228edbeb4  0x0000000c  __TEXT,__text  func  __86-[MEComposeExtensionsHelper initWithComposeSession:extensionsController:iconReloader:]_block_invoke.9
0x0000000228edbec0  0x000001c8  __TEXT,__text  func  -[MEComposeExtensionsHelper dealloc]
0x0000000228edc088  0x000000d8  __TEXT,__text  func  -[MEComposeExtensionsHelper extensionsMatched:]
0x0000000228edc160  0x0000000c  __TEXT,__text  func  __47-[MEComposeExtensionsHelper extensionsMatched:]_block_invoke
0x0000000228edc16c  0x00000100  __TEXT,__text  func  -[MEComposeExtensionsHelper extensionsNoLongerMatching:]
0x0000000228edc26c  0x0000000c  __TEXT,__text  func  __56-[MEComposeExtensionsHelper extensionsNoLongerMatching:]_block_invoke
0x0000000228edc278  0x000000d4  __TEXT,__text  func  -[MEComposeExtensionsHelper _dispatchMailComposeSessionDidBeginForExtensions:]
0x0000000228edc34c  0x00000264  __TEXT,__text  func  __78-[MEComposeExtensionsHelper _dispatchMailComposeSessionDidBeginForExtensions:]_block_invoke
0x0000000228edc5b0  0x00000190  __TEXT,__text  func  __78-[MEComposeExtensionsHelper _dispatchMailComposeSessionDidBeginForExtensions:]_block_invoke_2
0x0000000228edc740  0x00000090  __TEXT,__text  func  __78-[MEComposeExtensionsHelper _dispatchMailComposeSessionDidBeginForExtensions:]_block_invoke.15
0x0000000228edc7d0  0x00000150  __TEXT,__text  func  -[MEComposeExtensionsHelper dispatchEmailAddressTokenIconRequestsForMailMessage:completionHandler:]
0x0000000228edc920  0x000003e0  __TEXT,__text  func  __99-[MEComposeExtensionsHelper dispatchEmailAddressTokenIconRequestsForMailMessage:completionHandler:]_block_invoke
0x0000000228edcd00  0x00000280  __TEXT,__text  func  __99-[MEComposeExtensionsHelper dispatchEmailAddressTokenIconRequestsForMailMessage:completionHandler:]_block_invoke_2
