//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/MediaToolbox.framework/Versions/A/MediaToolbox
// arch:    arm64e
// uuid:    12CC95B3-944F-309C-B13E-D16AA459F1F0
// text:    0x00000001930a1000
// count:   37956 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001930a3248  0x00000028  __TEXT,__text  func  FPSupport_GetDisplayVideoRangeNotificationSingleton
0x00000001930a3270  0x00000398  __TEXT,__text  func  FigAssetCreateWithURL
0x00000001930a3608  0x00000038  __TEXT,__text  func  FigAssetGetClassID
0x00000001930a3640  0x00000004  __TEXT,__text  func  FigAssetGetCMBaseObject
0x00000001930a3644  0x00000004  __TEXT,__text  func  FigMediaValidatorIsNonRefMovieURLStreaming
0x00000001930a3648  0x0000000c  __TEXT,__text  func  FigByteStreamFactoryTranslateReferenceSecurityOptions
0x00000001930a3654  0x0000031c  __TEXT,__text  func  FigByteStreamFactoryCreateStreamFromURLWithOptions
0x00000001930a3970  0x00000bd0  __TEXT,__text  func  FigByteStreamFactoryCreateStreamFromURLWithOptionsAsync
0x00000001930a4540  0x00000104  __TEXT,__text  func  IsReferenceMovie
0x00000001930a4644  0x00000008  __TEXT,__text  func  FigSubtitleRendererUseCoreTextRendererByDefault
0x00000001930a464c  0x00000038  __TEXT,__text  func  FigCRABSGetClassID
0x00000001930a4684  0x00000624  __TEXT,__text  func  FigPlayerSurrogateCreateWithOptions
0x00000001930a4ca8  0x00000038  __TEXT,__text  func  FigPlayerGetClassID
0x00000001930a4ce0  0x0000009c  __TEXT,__text  func  FigPlayerAirPlayCreateWithOptions
0x00000001930a4d7c  0x00000430  __TEXT,__text  func  FigPlayerCentralCreateWithOptions
0x00000001930a51ac  0x00000004  __TEXT,__text  func  FigPlayerGetFigBaseObject
0x00000001930a51b0  0x000001fc  __TEXT,__text  func  FigPlayerAsyncCreateWithOptions
0x00000001930a53ac  0x00000038  __TEXT,__text  func  FigPlaybackItemGetClassID
0x00000001930a53e4  0x00000004  __TEXT,__text  func  FigPlaybackItemGetFigBaseObject
0x00000001930a53e8  0x000009fc  __TEXT,__text  func  FigPlayerFileCreateWithOptions
0x00000001930a5de4  0x00000028  __TEXT,__text  func  FigPlaybackRateChangeReasonGetDescription
0x00000001930a5e0c  0x00000424  __TEXT,__text  func  FigFormatReaderCreateForStreamReturningResults
0x00000001930a6230  0x000002ac  __TEXT,__text  func  QTMovieFormatReaderCreateFromStream
0x00000001930a64dc  0x00000038  __TEXT,__text  func  FigFormatReaderGetClassID
0x00000001930a6514  0x00000038  __TEXT,__text  func  FigTrackReaderGetClassID
0x00000001930a654c  0x00000038  __TEXT,__text  func  FigAssetTrackGetClassID
0x00000001930a6584  0x00000004  __TEXT,__text  func  FigFormatReaderGetFigBaseObject
0x00000001930a6588  0x000003c8  __TEXT,__text  func  FPSupport_GetDefaultTrackIDForMediaType
