//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/libCVMSPluginSupport.dylib
// arch:    arm64e
// uuid:    B2CF6AE8-6BAA-3374-BF7E-311343B0104D
// text:    0x00000002259e9000
// count:   65 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002259e9870  0x00000324  __TEXT,__text  func  cvmPreInit
0x00000002259e9b94  0x00000080  __TEXT,__text  func  cvm_hash_set_new
0x00000002259e9c14  0x000000bc  __TEXT,__text  func  cvm_function_new
0x00000002259e9cd0  0x00000034  __TEXT,__text  func  cvmStartWork
0x00000002259e9d04  0x00000014  __TEXT,__text  func  cvmAddWork
0x00000002259e9d18  0x000000a4  __TEXT,__text  cxx  __ZL17cvmInitializeCVMSPv  // cvmInitializeCVMS(void*)
0x00000002259e9dbc  0x0000001c  __TEXT,__text  func  cvmGetDummyFunction
0x00000002259e9dd8  0x00000008  __TEXT,__text  func  cvmGetFunctionKey
0x00000002259e9de0  0x0000007c  __TEXT,__text  func  cvmCreateHashMachine
0x00000002259e9e5c  0x00000024  __TEXT,__text  func  cvm_hash_set_init
0x00000002259e9e80  0x0000002c  __TEXT,__text  func  cvmHashMachineFindObject
0x00000002259e9eac  0x000000dc  __TEXT,__text  func  cvm_hash_set_find
0x00000002259e9f88  0x00000030  __TEXT,__text  func  cvm_hash_object_hash_value_6
0x00000002259e9fb8  0x0000003c  __TEXT,__text  func  cvmHashObjectCreate
0x00000002259e9ff4  0x00000064  __TEXT,__text  func  cvm_hash_object_new
0x00000002259ea058  0x000000d8  __TEXT,__text  func  cvmHashMachineAddObject
0x00000002259ea130  0x00000008  __TEXT,__text  func  cvm_hash_set_elements
0x00000002259ea138  0x000000a8  __TEXT,__text  func  cvm_hash_set_add
0x00000002259ea1e0  0x00000008  __TEXT,__text  func  cvmHashObjectGetKey
0x00000002259ea1e8  0x0000003c  __TEXT,__text  func  cvmReleaseFunction
0x00000002259ea224  0x00000078  __TEXT,__text  func  cvmGetModularFunctionFromCache
0x00000002259ea29c  0x00000030  __TEXT,__text  func  cvm_function_hash_value_6
0x00000002259ea2cc  0x0000002c  __TEXT,__text  func  cvmCreateModularFunction
0x00000002259ea2f8  0x00000090  __TEXT,__text  func  cvmBuildModularFunctionDeferred
0x00000002259ea388  0x00000300  __TEXT,__text  cxx  __Z26cvm_deferred_build_modularPv  // cvm_deferred_build_modular(void*)
0x00000002259ea688  0x00000098  __TEXT,__text  func  cvmAddModularFunctionToCache
0x00000002259ea720  0x000000c0  __TEXT,__text  cxx  __Z19cvm_hash_set_reduceP13_cvm_hash_set  // cvm_hash_set_reduce(_cvm_hash_set*)
0x00000002259ea7e0  0x00000040  __TEXT,__text  func  cvm_function_hash_function_matches_key
0x00000002259ea820  0x00000054  __TEXT,__text  func  cvmHashObjectRelease
0x00000002259ea874  0x00000040  __TEXT,__text  func  cvm_hash_object_object_matches_key
0x00000002259ea8b4  0x00000008  __TEXT,__text  func  cvmHashObjectGetObject
0x00000002259ea8bc  0x0000002c  __TEXT,__text  func  cvm_function_hash_value_8
0x00000002259ea8e8  0x00000088  __TEXT,__text  func  cvmDestroyHashMachine
0x00000002259ea970  0x0000001c  __TEXT,__text  func  cvm_hash_set_iterator_first
0x00000002259ea98c  0x00000004  __TEXT,__text  func  cvm_hash_object_delete
0x00000002259ea990  0x00000028  __TEXT,__text  func  cvm_hash_set_iterator_next
0x00000002259ea9b8  0x00000078  __TEXT,__text  func  cvm_hash_set_term
0x00000002259eaa30  0x00000010  __TEXT,__text  func  cvmHashMachineRemoveObject
0x00000002259eaa40  0x00000038  __TEXT,__text  func  cvm_hash_set_free
0x00000002259eaa78  0x000000ac  __TEXT,__text  func  cvm_hash_set_find_and_remove
0x00000002259eab24  0x00000080  __TEXT,__text  func  cvm_hash_set_iterator_remove
0x00000002259eaba4  0x0000003c  __TEXT,__text  func  cvmEndWork
0x00000002259eabe0  0x00000004  __TEXT,__text  func  __cvmEndWork_block_invoke
0x00000002259eabe4  0x00000044  __TEXT,__text  func  cvm_object_new
0x00000002259eac28  0x00000004  __TEXT,__text  func  cvm_object_free
0x00000002259eac2c  0x00000044  __TEXT,__text  func  cvm_function_free
0x00000002259eac70  0x00000030  __TEXT,__text  func  cvm_function_hash_value_4
0x00000002259eaca0  0x00000070  __TEXT,__text  cxx  __Z17cvm_deferred_freePv  // cvm_deferred_free(void*)
0x00000002259ead10  0x000000fc  __TEXT,__text  func  cvmObtainMonolithicFunction
0x00000002259eae0c  0x00000010  __TEXT,__text  func  cvmRetainFunction
0x00000002259eae1c  0x0000005c  __TEXT,__text  func  cvmGetFunctionPointer
0x00000002259eae78  0x00000084  __TEXT,__text  func  cvmGetFunctionStatus
0x00000002259eaefc  0x00000158  __TEXT,__text  func  cvmRequestFunctionPointerArrayWrite
0x00000002259eb054  0x0000009c  __TEXT,__text  func  cvmCancelFunctionPointerArrayWrite
0x00000002259eb0f0  0x00000004  __TEXT,__text  cxx  __Z21_cvms_element_releaseP18_cvms_connection_sP15_cvms_element_s  // _cvms_element_release(_cvms_connection_s*, _cvms_element_s*)
0x00000002259eb0f4  0x00000004  __TEXT,__text  cxx  __Z27_cvms_element_release_asyncP18_cvms_connection_sP15_cvms_element_s  // _cvms_element_release_async(_cvms_connection_s*, _cvms_element_s*)
0x00000002259eb0f8  0x00000004  __TEXT,__text  cxx  __Z31_cvms_element_build_from_sourceP18_cvms_connection_sPP15_cvms_element_sPKPKvPKmmj  // _cvms_element_build_from_source(_cvms_connection_s*, _cvms_element_s**, void const* const*, unsigned long const*, unsigned long, unsigned int)
0x00000002259eb0fc  0x00000004  __TEXT,__text  cxx  __Z25_cvms_element_get_contentP18_cvms_connection_sP15_cvms_element_sPPKvPm  // _cvms_element_get_content(_cvms_connection_s*, _cvms_element_s*, void const**, unsigned long*)
0x00000002259eb100  0x00000004  __TEXT,__text  cxx  __Z27_cvms_element_build_and_getP18_cvms_connection_sPP15_cvms_element_sPKPKvPKmmjPS5_Pm  // _cvms_element_build_and_get(_cvms_connection_s*, _cvms_element_s**, void const* const*, unsigned long const*, unsigned long, unsigned int, void const**, unsigned long*)
0x00000002259eb104  0x00000004  __TEXT,__text  cxx  __Z21cvmInitSyncConnectionv  // cvmInitSyncConnection()
0x00000002259eb108  0x00000164  __TEXT,__text  func  cvmPostTerm
0x00000002259eb26c  0x00000010  __TEXT,__text  cxx  __ZL16cvmTerminateCVMSPv  // cvmTerminateCVMS(void*)
0x00000002259eb27c  0x00000024  __TEXT,__text  func  cvmCreateCVMObject
0x00000002259eb2a0  0x00000074  __TEXT,__text  func  cvmReleaseCVMObject
0x00000002259eb314  0x00000000  __TEXT,__text  func  cvmBuildModularFunctionSync
