//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/QuickLook.framework/Versions/A/QuickLook
// arch:    arm64e
// uuid:    FBDB7CE7-4A17-3010-81B8-D30B00BADC96
// text:    0x0000000196562000
// count:   2663 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000196563828  0x00000050  __TEXT,__text  func  _QLRegisterForQuickLookGlobalNotification
0x0000000196563878  0x0000007c  __TEXT,__text  func  ql_dispatch_once
0x00000001965638f4  0x00000008  __TEXT,__text  func  __ql_dispatch_once_block_invoke
0x00000001965638fc  0x000000b0  __TEXT,__text  cxx  __Z18QLTryCatchAndCrashU13block_pointerFvvE  // QLTryCatchAndCrash(void () block_pointer)
0x00000001965639ac  0x00000078  __TEXT,__text  func  ___QLGeneratorRegisterForNotificationsIfNecessary_block_invoke
0x0000000196563a24  0x0000002c  __TEXT,__text  func  QLInitInternalLogging
0x0000000196563a50  0x00000060  __TEXT,__text  func  __QLInitInternalLogging_block_invoke
0x0000000196563ab0  0x0000006c  __TEXT,__text  func  ql_dispatch_async
0x0000000196563b1c  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32b
0x0000000196563b2c  0x0000007c  __TEXT,__text  func  _QLAppPreferencesBooleanValueForKey
0x0000000196563ba8  0x00000008  __TEXT,__text  func  __ql_dispatch_async_block_invoke
0x0000000196563bb0  0x00000050  __TEXT,__text  func  _QLRegisterGlobalChangeObserver
0x0000000196563c00  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32b
0x0000000196563c0c  0x0000002c  __TEXT,__text  func  QLInitLogging
0x0000000196563c38  0x0000005c  __TEXT,__text  func  __QLInitLogging_block_invoke
0x0000000196563c94  0x00000058  __TEXT,__text  func  qlstaticqueue
0x0000000196563cec  0x0000006c  __TEXT,__text  func  ql_dispatch_sync
0x0000000196563d58  0x00000008  __TEXT,__text  func  __ql_dispatch_sync_block_invoke
0x0000000196563d60  0x0000009c  __TEXT,__text  func  _QLLSChangeNotification
0x0000000196563dfc  0x00000104  __TEXT,__text  func  ___QLLSChangeNotification_block_invoke
0x0000000196563f00  0x00000098  __TEXT,__text  func  _QLDatabaseHasToBeReset
0x0000000196563f98  0x00000064  __TEXT,__text  objc  +[QLGeneratorUTIManager isUsingTestDatabase]  // +[QLGeneratorUTIManager ?]
0x0000000196563ffc  0x00000140  __TEXT,__text  func  _QLMainLocalizedString
0x000000019656413c  0x0000006c  __TEXT,__text  func  ql_dispatch_source_set_event_handler
0x00000001965641a8  0x0000006c  __TEXT,__text  func  ql_dispatch_source_set_cancel_handler
0x0000000196564214  0x00000100  __TEXT,__text  func  _QLCreateQLURLFromCFURLForMIG
0x0000000196564314  0x000001bc  __TEXT,__text  func  QLUIHelperExecuteMachBlock
0x00000001965644d0  0x00000054  __TEXT,__text  func  QLUIHelperServerPort
0x0000000196564524  0x00000094  __TEXT,__text  func  __QLUIHelperServerPort_block_invoke
0x00000001965645b8  0x000000a0  __TEXT,__text  func  _QLAppPreferencesIntValueForKey
0x0000000196564658  0x000000dc  __TEXT,__text  func  QLUIHelperRegisterForHelperDeath
0x0000000196564734  0x00000178  __TEXT,__text  func  __QLUIHelperRegisterForHelperDeath_block_invoke
0x00000001965648ac  0x00000008  __TEXT,__text  func  _QLBlockRetainCallback
0x00000001965648b4  0x00000010  __TEXT,__text  func  _QLFreeQLURLForMIG
0x00000001965648c4  0x00000130  __TEXT,__text  func  _QLCreateDictionaryFromPlistBytesFromMIG
0x00000001965649f4  0x000000e0  __TEXT,__text  func  _QLCreateImageFromBitmapDataFromMIG
