//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/QuickLookUI.framework/Versions/A/QuickLookUI
// arch:    arm64e
// uuid:    B33BF9E7-0B6D-3010-88AD-54E5A13CE94A
// text:    0x000000022bfde000
// count:   9412 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000022bfe03d0  0x0000005c  __TEXT,__text  sub  sub_22bfe03d0
0x000000022bfe042c  0x0000007c  __TEXT,__text  sub  sub_22bfe042c
0x000000022bfe04a8  0x0000017c  __TEXT,__text  sub  sub_22bfe04a8
0x000000022bfe0624  0x00000004  __TEXT,__text  func  -[NSURL(QLPreviewConvenienceAdditions) previewItemURL]
0x000000022bfe0628  0x0000008c  __TEXT,__text  func  +[QLPreviewView(QLPreviewItemVirtualNode) _registerVNodeSchemeHandler]
0x000000022bfe06b4  0x00000118  __TEXT,__text  func  _QLPreviewItemGeneratorCopyThumbnailUsingSchemeHandler
0x000000022bfe07cc  0x00000298  __TEXT,__text  func  _QLPreviewItemGeneratorGetPreviewUsingSchemeHandler
0x000000022bfe0a64  0x000001d8  __TEXT,__text  func  _QLPreviewItemGeneratorGetPreviewUsingSchemeHandlerForURL
0x000000022bfe0c3c  0x000000ec  __TEXT,__text  func  +[NSURL(QLPreviewItemVirtualNode) previewItemVirtualNodeURLWithPath:]
0x000000022bfe0d28  0x00000048  __TEXT,__text  func  -[NSURL(QLPreviewItemVirtualNode) isPreviewItemVirtualNodeURL]
0x000000022bfe0d70  0x000001fc  __TEXT,__text  func  -[QLPreviewSchemeHandler_vnode calculatePreviewURL:previewData:previewProperties:previewType:]
0x000000022bfe0f6c  0x0000007c  __TEXT,__text  func  -[QLPreviewSchemeHandler_vnode createImageForMaximumSize:options:]
0x000000022bfe0fe8  0x00000194  __TEXT,__text  func  QLPreviewItemLaunchURL
0x000000022bfe117c  0x00000054  __TEXT,__text  func  QLGeneralLog
0x000000022bfe11d0  0x0000018c  __TEXT,__text  func  QLPreviewItemCopyThumbnailUsingSchemeHandler
0x000000022bfe135c  0x000001c4  __TEXT,__text  func  QLPreviewItemGetDefaultOpenButtonInfo
