//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/Frameworks/iTunesLibrary.framework/Versions/A/iTunesLibrary
// arch:    arm64e
// uuid:    65BA713C-62E6-343D-B7E4-4505FFF17FB1
// text:    0x00000001c10a3000
// count:   1884 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001c10a4af0  0x00000014  __TEXT,__text  sub  sub_1c10a4af0
0x00000001c10a4b04  0x00000014  __TEXT,__text  sub  sub_1c10a4b04
0x00000001c10a4b18  0x000000f4  __TEXT,__text  sub  sub_1c10a4b18
0x00000001c10a4c0c  0x00000290  __TEXT,__text  sub  sub_1c10a4c0c
0x00000001c10a4e9c  0x0000057c  __TEXT,__text  sub  sub_1c10a4e9c
0x00000001c10a5418  0x00000080  __TEXT,__text  sub  sub_1c10a5418
0x00000001c10a5498  0x00000080  __TEXT,__text  sub  sub_1c10a5498
0x00000001c10a5518  0x0000061c  __TEXT,__text  sub  sub_1c10a5518
0x00000001c10a5b34  0x00000108  __TEXT,__text  sub  sub_1c10a5b34
0x00000001c10a5c3c  0x00000054  __TEXT,__text  sub  sub_1c10a5c3c
0x00000001c10a5c90  0x00000104  __TEXT,__text  sub  sub_1c10a5c90
0x00000001c10a5d94  0x00000108  __TEXT,__text  sub  sub_1c10a5d94
0x00000001c10a5e9c  0x00000030  __TEXT,__text  sub  sub_1c10a5e9c
0x00000001c10a5ecc  0x00000018  __TEXT,__text  sub  sub_1c10a5ecc
0x00000001c10a5ee4  0x00000018  __TEXT,__text  sub  sub_1c10a5ee4
0x00000001c10a5efc  0x00000010  __TEXT,__text  sub  sub_1c10a5efc
0x00000001c10a5f0c  0x00000060  __TEXT,__text  sub  sub_1c10a5f0c
0x00000001c10a5f6c  0x00000050  __TEXT,__text  sub  sub_1c10a5f6c
0x00000001c10a5fbc  0x00000014  __TEXT,__text  sub  sub_1c10a5fbc
0x00000001c10a5fd0  0x00000050  __TEXT,__text  sub  sub_1c10a5fd0
0x00000001c10a6020  0x00000050  __TEXT,__text  sub  sub_1c10a6020
0x00000001c10a6070  0x0000001c  __TEXT,__text  sub  sub_1c10a6070
0x00000001c10a608c  0x0000005c  __TEXT,__text  sub  sub_1c10a608c
0x00000001c10a60e8  0x0000019c  __TEXT,__text  sub  sub_1c10a60e8
