//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AMPDesktopUI.framework/Versions/A/AMPDesktopUI
// arch:    arm64e
// uuid:    66011E14-D3A8-36C5-B23C-908CFE9A989F
// text:    0x000000022fe38000
// count:   7639 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000022fe3a6c8  0x00000060  __TEXT,__text  sub  sub_22fe3a6c8
0x000000022fe3a728  0x00000094  __TEXT,__text  sub  sub_22fe3a728
0x000000022fe3a7bc  0x00000030  __TEXT,__text  sub  sub_22fe3a7bc
0x000000022fe3a7ec  0x00000030  __TEXT,__text  sub  sub_22fe3a7ec
0x000000022fe3a81c  0x0000000c  __TEXT,__text  sub  sub_22fe3a81c
0x000000022fe3a828  0x00000020  __TEXT,__text  sub  sub_22fe3a828
0x000000022fe3a848  0x00000028  __TEXT,__text  sub  sub_22fe3a848
0x000000022fe3a870  0x00000004  __TEXT,__text  sub  sub_22fe3a870
0x000000022fe3a874  0x00000018  __TEXT,__text  sub  sub_22fe3a874
0x000000022fe3a88c  0x0000001c  __TEXT,__text  sub  sub_22fe3a88c
0x000000022fe3a8a8  0x00000028  __TEXT,__text  sub  sub_22fe3a8a8
0x000000022fe3a8d0  0x0000001c  __TEXT,__text  sub  sub_22fe3a8d0
0x000000022fe3a8ec  0x0000001c  __TEXT,__text  sub  sub_22fe3a8ec
0x000000022fe3a908  0x0000001c  __TEXT,__text  sub  sub_22fe3a908
0x000000022fe3a924  0x0000000c  __TEXT,__text  sub  sub_22fe3a924
0x000000022fe3a930  0x00000024  __TEXT,__text  sub  sub_22fe3a930
0x000000022fe3a954  0x00000008  __TEXT,__text  sub  sub_22fe3a954
0x000000022fe3a95c  0x00000004  __TEXT,__text  sub  sub_22fe3a95c
0x000000022fe3a960  0x00000004  __TEXT,__text  sub  sub_22fe3a960
0x000000022fe3a964  0x0000002c  __TEXT,__text  sub  sub_22fe3a964
0x000000022fe3a990  0x0000000c  __TEXT,__text  sub  sub_22fe3a990
0x000000022fe3a99c  0x0000002c  __TEXT,__text  sub  sub_22fe3a99c
0x000000022fe3a9c8  0x0000000c  __TEXT,__text  sub  sub_22fe3a9c8
0x000000022fe3a9d4  0x0000002c  __TEXT,__text  sub  sub_22fe3a9d4
0x000000022fe3aa00  0x0000000c  __TEXT,__text  sub  sub_22fe3aa00
0x000000022fe3aa0c  0x00000004  __TEXT,__text  sub  sub_22fe3aa0c
0x000000022fe3aa10  0x0000000c  __TEXT,__text  sub  sub_22fe3aa10
0x000000022fe3aa1c  0x00000004  __TEXT,__text  sub  sub_22fe3aa1c
0x000000022fe3aa20  0x00000064  __TEXT,__text  sub  sub_22fe3aa20
0x000000022fe3aa84  0x0000000c  __TEXT,__text  sub  sub_22fe3aa84
0x000000022fe3aa90  0x0000001c  __TEXT,__text  sub  sub_22fe3aa90
0x000000022fe3aaac  0x00000004  __TEXT,__text  sub  sub_22fe3aaac
0x000000022fe3aab0  0x0000000c  __TEXT,__text  sub  sub_22fe3aab0
0x000000022fe3aabc  0x0000002c  __TEXT,__text  sub  sub_22fe3aabc
0x000000022fe3aae8  0x00000004  __TEXT,__text  sub  sub_22fe3aae8
0x000000022fe3aaec  0x00000048  __TEXT,__text  sub  sub_22fe3aaec
0x000000022fe3ab34  0x00000038  __TEXT,__text  sub  sub_22fe3ab34
0x000000022fe3ab6c  0x00000004  __TEXT,__text  sub  sub_22fe3ab6c
0x000000022fe3ab70  0x00000004  __TEXT,__text  sub  sub_22fe3ab70
0x000000022fe3ab74  0x00000014  __TEXT,__text  sub  sub_22fe3ab74
0x000000022fe3ab88  0x00000014  __TEXT,__text  sub  sub_22fe3ab88
0x000000022fe3ab9c  0x00000054  __TEXT,__text  sub  sub_22fe3ab9c
0x000000022fe3abf0  0x00000004  __TEXT,__text  sub  sub_22fe3abf0
0x000000022fe3abf4  0x0000000c  __TEXT,__text  sub  sub_22fe3abf4
0x000000022fe3ac00  0x00000004  __TEXT,__text  sub  sub_22fe3ac00
0x000000022fe3ac04  0x00000004  __TEXT,__text  sub  sub_22fe3ac04
0x000000022fe3ac08  0x00000004  __TEXT,__text  sub  sub_22fe3ac08
0x000000022fe3ac0c  0x00000034  __TEXT,__text  sub  sub_22fe3ac0c
0x000000022fe3ac40  0x00000028  __TEXT,__text  sub  sub_22fe3ac40
0x000000022fe3ac68  0x00000004  __TEXT,__text  sub  sub_22fe3ac68
0x000000022fe3ac6c  0x00000028  __TEXT,__text  sub  sub_22fe3ac6c
0x000000022fe3ac94  0x00000004  __TEXT,__text  sub  sub_22fe3ac94
0x000000022fe3ac98  0x00000034  __TEXT,__text  sub  sub_22fe3ac98
0x000000022fe3accc  0x00000004  __TEXT,__text  sub  sub_22fe3accc
0x000000022fe3acd0  0x0000002c  __TEXT,__text  sub  sub_22fe3acd0
0x000000022fe3acfc  0x00000028  __TEXT,__text  sub  sub_22fe3acfc
0x000000022fe3ad24  0x00000058  __TEXT,__text  sub  sub_22fe3ad24
0x000000022fe3ad7c  0x00000044  __TEXT,__text  sub  sub_22fe3ad7c
