//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AccelerateGPU.framework/Versions/A/AccelerateGPU
// arch:    arm64e
// uuid:    26E9BCE0-A43C-3312-ACCF-4371CF749ABD
// text:    0x0000000230ebe000
// count:   96 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000230ebe908  0x000000f4  __TEXT,__text  func  gpuImageBufferCreate
0x0000000230ebe9fc  0x00000040  __TEXT,__text  func  gpuImageBufferDestroy
0x0000000230ebea3c  0x00000040  __TEXT,__text  func  gpuImageBufferGetInfo
0x0000000230ebea7c  0x00000008  __TEXT,__text  func  gpuImageBufferGetHeight
0x0000000230ebea84  0x00000008  __TEXT,__text  func  gpuImageBufferGetWidth
0x0000000230ebea8c  0x00000008  __TEXT,__text  func  gpuImageBufferGetRowBytes
0x0000000230ebea94  0x00000008  __TEXT,__text  func  gpuImageBufferGetData
0x0000000230ebea9c  0x0000027c  __TEXT,__text  func  gpuImageMatrixMultiply_ARGB8888
0x0000000230ebed18  0x0000023c  __TEXT,__text  func  gpuImagePiecewisePolynomial_PlanarF
0x0000000230ebef54  0x00001154  __TEXT,__text  func  gpuCreateSession
0x0000000230ec00a8  0x00000008  __TEXT,__text  func  gpuBlockInfoGetSession
0x0000000230ec00b0  0x000000a4  __TEXT,__text  func  gpuExecuteBlockBegin
0x0000000230ec0154  0x00000074  __TEXT,__text  func  gpuExecuteBlockEnd
0x0000000230ec01c8  0x00000114  __TEXT,__text  func  gpuExecuteBlockEndWithCompletionHandler
0x0000000230ec02dc  0x00000010  __TEXT,__text  func  __gpuExecuteBlockEndWithCompletionHandler_block_invoke
0x0000000230ec02ec  0x00000010  __TEXT,__text  func  __copy_helper_block_ea8_32b
0x0000000230ec02fc  0x00000008  __TEXT,__text  func  __destroy_helper_block_ea8_32s
0x0000000230ec0304  0x0000042c  __TEXT,__text  func  gpuImageRotate90_ARGB8888
0x0000000230ec0730  0x0000024c  __TEXT,__text  func  gpuImagePiecewiseGamma_Planar8
0x0000000230ec097c  0x0000018c  __TEXT,__text  func  gpuImagePiecewiseGamma_PlanarF
0x0000000230ec0b08  0x00000488  __TEXT,__text  func  gpuImageHistogramCalculation_ARGB8888
0x0000000230ec0f90  0x000001bc  __TEXT,__text  func  gpuImageConvert_ARGB8888toPlanar8
0x0000000230ec114c  0x000001bc  __TEXT,__text  func  gpuImageConvert_Planar8toARGB8888
0x0000000230ec1308  0x00000180  __TEXT,__text  func  gpuImagePermuteChannels_ARGB8888
0x0000000230ec1488  0x00000034  __TEXT,__text  func  gpuImageAlphaBlend_ARGB8888
0x0000000230ec14bc  0x0000015c  __TEXT,__text  cxx  __ZL13gpuImageBlendPU34objcproto23MTLComputePipelineState11objc_objectPU35objcproto24MTLComputeCommandEncoder11objc_objectP16gpuImageBuffer_sS4_S4_13GPUImageFlags  // gpuImageBlend(id<MTLComputePipelineState>, id<MTLComputeCommandEncoder>, gpuImageBuffer_s*, id<MTLComputeCommandEncoder>, id<MTLComputeCommandEncoder>, GPUImageFlags)
0x0000000230ec1618  0x00000034  __TEXT,__text  func  gpuImagePremultipliedAlphaBlend_ARGB8888
0x0000000230ec164c  0x00000034  __TEXT,__text  func  gpuImageNonpremultipliedToPremultiplied_ARGB8888
0x0000000230ec1680  0x000000a8  __TEXT,__text  func  gpuImagePremultipliedConstAlphaBlend_ARGB8888
0x0000000230ec1728  0x00000020  __TEXT,__text  func  gpuIsAppleFamily
0x0000000230ec1748  0x000000f4  __TEXT,__text  func  gpuGetLibrary
0x0000000230ec183c  0x00000004  __TEXT,__text  func  gpuMaxBufferLength
0x0000000230ec1840  0x000001b8  __TEXT,__text  func  gpuImageTentConvolve_ARGB8888
0x0000000230ec19f8  0x00000030  __TEXT,__text  func  gpuImagePremultiplyData_ARGB8888
0x0000000230ec1a28  0x00000130  __TEXT,__text  cxx  __ZL32gpuImagePremultiplyUnpremultiplyPU34objcproto23MTLComputePipelineState11objc_objectPU35objcproto24MTLComputeCommandEncoder11objc_objectP16gpuImageBuffer_sS4_13GPUImageFlags  // gpuImagePremultiplyUnpremultiply(id<MTLComputePipelineState>, id<MTLComputeCommandEncoder>, gpuImageBuffer_s*, id<MTLComputeCommandEncoder>, GPUImageFlags)
0x0000000230ec1b58  0x00000030  __TEXT,__text  func  gpuImagePremultiplyData_RGBA8888
0x0000000230ec1b88  0x00000030  __TEXT,__text  func  gpuImageUnpremultiplyData_ARGB8888
0x0000000230ec1bb8  0x00000030  __TEXT,__text  func  gpuImageUnpremultiplyData_RGBA8888
0x0000000230ec1be8  0x00000518  __TEXT,__text  func  gpuImageConvolution_ARGB8888
0x0000000230ec2100  0x000006bc  __TEXT,__text  func  gpuImageSeparableConvolution_ARGB8888
0x0000000230ec27bc  0x00000850  __TEXT,__text  func  gpuImageBoxConvolve_ARGB8888
0x0000000230ec300c  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec3020  0x00000020  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec3040  0x0000004c  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec308c  0x00000558  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec35e4  0x00000030  __TEXT,__gcc_except_tab  func  GCC_except_table4
0x0000000230ec3614  0x00000034  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec3648  0x00000048  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec3690  0x00000030  __TEXT,__gcc_except_tab  func  GCC_except_table1
0x0000000230ec36c0  0x0000003c  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec36fc  0x00000030  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec372c  0x00000030  __TEXT,__gcc_except_tab  func  GCC_except_table1
0x0000000230ec375c  0x00000030  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec378c  0x0000002c  __TEXT,__gcc_except_tab  func  GCC_except_table1
0x0000000230ec37b8  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table4
0x0000000230ec37cc  0x0000002c  __TEXT,__gcc_except_tab  func  GCC_except_table1
0x0000000230ec37f8  0x00000040  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec3838  0x00000064  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec389c  0x00000ea4  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x0000000230ec4740  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$URLWithString:
0x0000000230ec4760  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$addCompletedHandler:
0x0000000230ec4780  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$blitCommandEncoder
0x0000000230ec47a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$bundleWithIdentifier:
0x0000000230ec47c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$commandBuffer
0x0000000230ec47e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$commit
0x0000000230ec4800  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$commitAndWaitUntilSubmitted
0x0000000230ec4820  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$computeCommandEncoderWithDispatchType:
0x0000000230ec4840  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$contents
0x0000000230ec4860  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$copyFromBuffer:sourceOffset:toBuffer:destinationOffset:size:
0x0000000230ec4880  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$count
0x0000000230ec48a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$countByEnumeratingWithState:objects:count:
0x0000000230ec48c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dispatchThreadgroups:threadsPerThreadgroup:
0x0000000230ec48e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dispatchThreads:threadsPerThreadgroup:
0x0000000230ec4900  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$endEncoding
0x0000000230ec4920  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$isHeadless
0x0000000230ec4940  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$maxBufferLength
0x0000000230ec4960  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$maxTotalThreadsPerThreadgroup
0x0000000230ec4980  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$minimumLinearTextureAlignmentForPixelFormat:
0x0000000230ec49a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$newBufferWithBytesNoCopy:length:options:deallocator:
0x0000000230ec49c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$newBufferWithLength:options:
0x0000000230ec49e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$newCommandQueue
0x0000000230ec4a00  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$newComputePipelineStateWithFunction:error:
0x0000000230ec4a20  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$newFunctionWithName:
