//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Frameworks/AccessibilityEvents.framework/Versions/A/AccessibilityEvents
// arch:    arm64e
// uuid:    601B7410-C2B3-3BD0-8F1D-49593429549C
// text:    0x00000001caf26000
// count:   1546 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001caf272c0  0x00000080  __TEXT,__text  objc  -[_AXEEventTapListenerWrapper initWithListener:eventMask:]  // -[_AXEEventTapListenerWrapper ?]
0x00000001caf27340  0x0000002c  __TEXT,__text  objc  -[_AXEEventTapListenerWrapper listener]  // -[_AXEEventTapListenerWrapper ]
0x00000001caf2736c  0x0000000c  __TEXT,__text  objc  -[_AXEEventTapListenerWrapper setListener:]  // -[_AXEEventTapListenerWrapper 9s]
0x00000001caf27378  0x00000008  __TEXT,__text  objc  -[_AXEEventTapListenerWrapper eventMask]  // -[_AXEEventTapListenerWrapper ?]
0x00000001caf27380  0x00000008  __TEXT,__text  objc  -[_AXEEventTapListenerWrapper setEventMask:]  // -[_AXEEventTapListenerWrapper B]
0x00000001caf27388  0x00000008  __TEXT,__text  objc  -[_AXEEventTapListenerWrapper .cxx_destruct]  // -[_AXEEventTapListenerWrapper ?]
0x00000001caf27390  0x00000004  __TEXT,__text  objc  +[AXEEventTapManager shared]  // +[AXEEventTapManager ]
0x00000001caf27394  0x000000b4  __TEXT,__text  objc  +[AXEEventTapManager sharedHIDTapManager]  // +[AXEEventTapManager ?]
0x00000001caf27448  0x0000004c  __TEXT,__text  func  __41+[AXEEventTapManager sharedHIDTapManager]_block_invoke
0x00000001caf27494  0x000000b4  __TEXT,__text  objc  +[AXEEventTapManager sharedSessionTapManager]  // +[AXEEventTapManager ?]
0x00000001caf27548  0x0000004c  __TEXT,__text  func  __45+[AXEEventTapManager sharedSessionTapManager]_block_invoke
0x00000001caf27594  0x000000b4  __TEXT,__text  objc  +[AXEEventTapManager sharedAnnotatedSessionTapManager]  // +[AXEEventTapManager ?]
0x00000001caf27648  0x0000004c  __TEXT,__text  func  __54+[AXEEventTapManager sharedAnnotatedSessionTapManager]_block_invoke
0x00000001caf27694  0x00000110  __TEXT,__text  objc  +[AXEEventTapManager sharedTapManagerAtLevel:]  // +[AXEEventTapManager ?]
0x00000001caf277a4  0x00000044  __TEXT,__text  func  __46+[AXEEventTapManager sharedTapManagerAtLevel:]_block_invoke
0x00000001caf277e8  0x00000084  __TEXT,__text  objc  +[AXEEventTapManager sharedTapForLocation:]  // +[AXEEventTapManager ?]
0x00000001caf2786c  0x000001b4  __TEXT,__text  objc  -[AXEEventTapManager registerListener:listenOnly:forEventMask:]  // -[AXEEventTapManager ?]
0x00000001caf27a20  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager registerGestureEventListener:listenOnly:]  // -[AXEEventTapManager ?]
0x00000001caf27a28  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager registerKeyboardEventListener:listenOnly:]  // -[AXEEventTapManager ?]
0x00000001caf27a30  0x0000000c  __TEXT,__text  objc  -[AXEEventTapManager registerMouseEventListener:listenOnly:]  // -[AXEEventTapManager ]
0x00000001caf27a3c  0x00000004  __TEXT,__text  objc  -[AXEEventTapManager unregisterListener:listenOnly:forEventMask:]  // -[AXEEventTapManager ?]
0x00000001caf27a40  0x00000250  __TEXT,__text  objc  -[AXEEventTapManager _unregisterListener:listenOnly:forEventMask:]  // -[AXEEventTapManager ?]
0x00000001caf27c90  0x0000008c  __TEXT,__text  objc  -[AXEEventTapManager unregisterGestureEventListener:listenOnly:]  // -[AXEEventTapManager ]
0x00000001caf27d1c  0x00000014  __TEXT,__text  func  __64-[AXEEventTapManager unregisterGestureEventListener:listenOnly:]_block_invoke
0x00000001caf27d30  0x00000008  __TEXT,__text  func  __copy_helper_block_e8_32s
0x00000001caf27d38  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x00000001caf27d40  0x0000008c  __TEXT,__text  objc  -[AXEEventTapManager unregisterKeyboardEventListener:listenOnly:]  // -[AXEEventTapManager  ]
0x00000001caf27dcc  0x00000014  __TEXT,__text  func  __65-[AXEEventTapManager unregisterKeyboardEventListener:listenOnly:]_block_invoke
0x00000001caf27de0  0x0000008c  __TEXT,__text  objc  -[AXEEventTapManager unregisterMouseEventListener:listenOnly:]  // -[AXEEventTapManager ?]
0x00000001caf27e6c  0x00000018  __TEXT,__text  func  __62-[AXEEventTapManager unregisterMouseEventListener:listenOnly:]_block_invoke
0x00000001caf27e84  0x00000088  __TEXT,__text  objc  -[AXEEventTapManager unregisterListenerForAllEvents:]  // -[AXEEventTapManager ?]
0x00000001caf27f0c  0x0000000c  __TEXT,__text  func  __53-[AXEEventTapManager unregisterListenerForAllEvents:]_block_invoke
0x00000001caf27f18  0x000001b4  __TEXT,__text  objc  -[AXEEventTapManager _unregisterListenerForAllEvents:]  // -[AXEEventTapManager ?]
0x00000001caf280cc  0x000005e0  __TEXT,__text  objc  -[AXEEventTapManager eventTap:handleEvent:type:withProxy:]  // -[AXEEventTapManager ?]
0x00000001caf286ac  0x00000090  __TEXT,__text  objc  +[AXEEventTapManager _cgPriorityStringForAXEPriority:]  // +[AXEEventTapManager ?]
0x00000001caf2873c  0x000000bc  __TEXT,__text  func  __54+[AXEEventTapManager _cgPriorityStringForAXEPriority:]_block_invoke
0x00000001caf287f8  0x000000b8  __TEXT,__text  objc  -[AXEEventTapManager _initWithPlacement:location:priority:]  // -[AXEEventTapManager ?]
0x00000001caf288b0  0x00000108  __TEXT,__text  objc  -[AXEEventTapManager _eventsOfInterestAcrossAllListeners:]  // -[AXEEventTapManager ?]
0x00000001caf289b8  0x00000150  __TEXT,__text  objc  -[AXEEventTapManager _findWrapperForListener:inListeners:]  // -[AXEEventTapManager ?]
0x00000001caf28b08  0x000000c4  __TEXT,__text  objc  -[AXEEventTapManager _createEventTapWithEventsOfInterest:listenOnly:]  // -[AXEEventTapManager ?]
0x00000001caf28bcc  0x000001a0  __TEXT,__text  objc  -[AXEEventTapManager _recreateEventTapAsNeededForListenerWrappers:listenOnly:]  // -[AXEEventTapManager h]
0x00000001caf28d6c  0x0000004c  __TEXT,__text  objc  +[AXEEventTapManager _createEventTapManagerAtLevel:]  // +[AXEEventTapManager v]
0x00000001caf28db8  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager location]  // -[AXEEventTapManager j]
0x00000001caf28dc0  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager _tapPlacement]  // -[AXEEventTapManager ?]
0x00000001caf28dc8  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager _priority]  // -[AXEEventTapManager ?]
0x00000001caf28dd0  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager _listenerLock]  // -[AXEEventTapManager ?]
0x00000001caf28dd8  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager _passiveListeners]  // -[AXEEventTapManager ?]
0x00000001caf28de0  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager set_passiveListeners:]  // -[AXEEventTapManager @qa]
0x00000001caf28de8  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager _activeListeners]  // -[AXEEventTapManager ]
0x00000001caf28df0  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager set_activeListeners:]  // -[AXEEventTapManager ?]
0x00000001caf28df8  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager _passiveEventTap]  // -[AXEEventTapManager ?]
0x00000001caf28e00  0x00000044  __TEXT,__text  objc  -[AXEEventTapManager set_passiveEventTap:]  // -[AXEEventTapManager ?]
0x00000001caf28e44  0x00000008  __TEXT,__text  objc  -[AXEEventTapManager _activeEventTap]  // -[AXEEventTapManager ?]
0x00000001caf28e4c  0x00000044  __TEXT,__text  objc  -[AXEEventTapManager set_activeEventTap:]  // -[AXEEventTapManager ?]
0x00000001caf28e90  0x00000068  __TEXT,__text  objc  -[AXEEventTapManager .cxx_destruct]  // -[AXEEventTapManager ?]
0x00000001caf28ef8  0x000001e0  __TEXT,__text  objc  +[AXEMouseEvent eventFromCGEvent:]  // +[AXEMouseEvent ?]
0x00000001caf290d8  0x00000034  __TEXT,__text  objc  +[AXEMouseEvent isMouseEvent:]  // +[AXEMouseEvent ]
0x00000001caf2910c  0x00000118  __TEXT,__text  objc  -[AXEMouseEvent copyWithZone:]  // -[AXEMouseEvent ]
0x00000001caf29224  0x000001b8  __TEXT,__text  objc  -[AXEMouseEvent description]  // -[AXEMouseEvent ?]
0x00000001caf293dc  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent location]  // -[AXEMouseEvent ]
0x00000001caf293e4  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setLocation:]  // -[AXEMouseEvent ShiftDown=%d isRightShiftDown=%d isFnDown=%d unicodeCharacter=%@]
0x00000001caf293ec  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent clickState]  // -[AXEMouseEvent ?]
0x00000001caf293f4  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setClickState:]  // -[AXEMouseEvent ?]
0x00000001caf293fc  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent eventType]  // -[AXEMouseEvent ]
0x00000001caf29404  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setEventType:]  // -[AXEMouseEvent ]
0x00000001caf2940c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent delta]  // -[AXEMouseEvent ?]
0x00000001caf29414  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setDelta:]  // -[AXEMouseEvent ?]
0x00000001caf2941c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent scrollWheelDelta]  // -[AXEMouseEvent 	KH]
0x00000001caf29424  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setScrollWheelDelta:]  // -[AXEMouseEvent (]
0x00000001caf2942c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent isScrollWheelEventContinuous]  // -[AXEMouseEvent ]
0x00000001caf29434  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setIsScrollWheelEventContinuous:]  // -[AXEMouseEvent ]
0x00000001caf2943c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent scrollMomentumPhase]  // -[AXEMouseEvent ?]
0x00000001caf29444  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setScrollMomentumPhase:]  // -[AXEMouseEvent ]
0x00000001caf2944c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent isMoveEvent]  // -[AXEMouseEvent ]
0x00000001caf29454  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setIsMoveEvent:]  // -[AXEMouseEvent ?]
0x00000001caf2945c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent isDragEvent]  // -[AXEMouseEvent ?]
0x00000001caf29464  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setIsDragEvent:]  // -[AXEMouseEvent ?]
0x00000001caf2946c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent isLeftButtonDown]  // -[AXEMouseEvent $]
0x00000001caf29474  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setIsLeftButtonDown:]  // -[AXEMouseEvent ]
0x00000001caf2947c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent isRightButtonDown]  // -[AXEMouseEvent ?]
0x00000001caf29484  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setIsRightButtonDown:]  // -[AXEMouseEvent ?]
0x00000001caf2948c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent isOtherButtonDown]  // -[AXEMouseEvent ?]
0x00000001caf29494  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setIsOtherButtonDown:]  // -[AXEMouseEvent 	?%@qa]
0x00000001caf2949c  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent isSynthesized]  // -[AXEMouseEvent ]
0x00000001caf294a4  0x00000008  __TEXT,__text  objc  -[AXEMouseEvent setIsSynthesized:]  // -[AXEMouseEvent ?]
0x00000001caf294ac  0x00000144  __TEXT,__text  objc  -[AXEPhysicalMouse init]  // -[AXEPhysicalMouse ?]
0x00000001caf295f0  0x00000050  __TEXT,__text  objc  -[AXEPhysicalMouse dealloc]  // -[AXEPhysicalMouse ?]
0x00000001caf29640  0x00000090  __TEXT,__text  objc  -[AXEPhysicalMouse activate]  // -[AXEPhysicalMouse ?]
0x00000001caf296d0  0x00000008  __TEXT,__text  func  __28-[AXEPhysicalMouse activate]_block_invoke
0x00000001caf296d8  0x00000090  __TEXT,__text  objc  -[AXEPhysicalMouse deactivate]  // -[AXEPhysicalMouse _replaceSelectionWithFragment:selectReplacement:smartReplace:matchStyle:]
0x00000001caf29768  0x00000008  __TEXT,__text  func  __30-[AXEPhysicalMouse deactivate]_block_invoke
0x00000001caf29770  0x000000a4  __TEXT,__text  objc  -[AXEPhysicalMouse move::]  // -[AXEPhysicalMouse ?]
0x00000001caf29814  0x00000010  __TEXT,__text  func  __26-[AXEPhysicalMouse move::]_block_invoke
0x00000001caf29824  0x000000f8  __TEXT,__text  objc  +[AXEPhysicalMouse _mouseHIDDeviceProperties]  // +[AXEPhysicalMouse ]
0x00000001caf2991c  0x000000dc  __TEXT,__text  objc  +[AXEPhysicalMouse _reportWithLeftButtonDown:rightButtonDown:xMovement:yMovement:]  // +[AXEPhysicalMouse ]
0x00000001caf299f8  0x00000058  __TEXT,__text  objc  +[AXEPhysicalMouse _mouseHIDReportDescriptorData]  // +[AXEPhysicalMouse ?]
0x00000001caf29a50  0x00000094  __TEXT,__text  func  __49+[AXEPhysicalMouse _mouseHIDReportDescriptorData]_block_invoke
0x00000001caf29ae4  0x000001c4  __TEXT,__text  objc  -[AXEPhysicalMouse _activateOnReportingQueue]  // -[AXEPhysicalMouse ?]
0x00000001caf29ca8  0x00000120  __TEXT,__text  objc  -[AXEPhysicalMouse _moveOnReportingQueue::]  // -[AXEPhysicalMouse ]
0x00000001caf29dc8  0x000000b4  __TEXT,__text  objc  -[AXEPhysicalMouse _deactivateOnReportingQueue]  // -[AXEPhysicalMouse ?]
0x00000001caf29e7c  0x00000008  __TEXT,__text  objc  -[AXEPhysicalMouse _activated]  // -[AXEPhysicalMouse ?]
0x00000001caf29e84  0x00000008  __TEXT,__text  objc  -[AXEPhysicalMouse set_activated:]  // -[AXEPhysicalMouse ]
0x00000001caf29e8c  0x00000008  __TEXT,__text  objc  -[AXEPhysicalMouse _hidUserDevice]  // -[AXEPhysicalMouse ?]
