//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AccountPolicy.framework/Frameworks/CFAccountPolicy.framework/Versions/A/CFAccountPolicy
// arch:    arm64e
// uuid:    3BF1DD45-8A79-31FB-8BAE-2B75B91F3016
// text:    0x00000001d9a16000
// count:   52 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001d9a16838  0x00000098  __TEXT,__text  func  APInvalidateCacheForPolicySet
0x00000001d9a168d0  0x00000088  __TEXT,__text  func  _APAutoreleasePoolAlloc
0x00000001d9a16958  0x00000098  __TEXT,__text  func  _APAutoreleasePoolRelease
0x00000001d9a169f0  0x000000a8  __TEXT,__text  func  APAttributesUsedByPolicies
0x00000001d9a16a98  0x000000dc  __TEXT,__text  func  APAuthenticationAllowed
0x00000001d9a16b74  0x000000e0  __TEXT,__text  func  APPasswordChangeAllowed
0x00000001d9a16c54  0x000000b8  __TEXT,__text  func  APCopyLocalizedEvaluationDetails
0x00000001d9a16d0c  0x000000b4  __TEXT,__text  func  APWillPasswordExpire
0x00000001d9a16dc0  0x000000b4  __TEXT,__text  func  APWillAuthenticationsExpire
0x00000001d9a16e74  0x000000b0  __TEXT,__text  func  APSecondsUntilPasswordExpiration
0x00000001d9a16f24  0x000000b0  __TEXT,__text  func  APSecondsUntilAuthenticationExpiration
0x00000001d9a16fd4  0x000000c0  __TEXT,__text  func  APCopyLocalizedPasswordContentSummary
0x00000001d9a17094  0x0000004c  __TEXT,__text  func  APPolicySetWithLegacyPolicies
0x00000001d9a170e0  0x0000004c  __TEXT,__text  func  APLegacyPoliciesWithPolicySet
0x00000001d9a1712c  0x00000004  __TEXT,__text  func  APCategoryAndIdentifierForLegacyPolicyName
0x00000001d9a17130  0x00000010  __TEXT,__text  func  _APPolicyFinalize
0x00000001d9a17140  0x00000038  __TEXT,__text  func  APPolicyGetTypeID
0x00000001d9a17178  0x00000028  __TEXT,__text  func  __APPolicyGetTypeID_block_invoke
0x00000001d9a171a0  0x0000005c  __TEXT,__text  func  _APPolicyCreate
0x00000001d9a171fc  0x00000084  __TEXT,__text  func  _isValidAPPolicy
0x00000001d9a17280  0x00000088  __TEXT,__text  func  APPolicyCreate
0x00000001d9a17308  0x000000d0  __TEXT,__text  func  APPolicyCreateWithDetails
0x00000001d9a173d8  0x000000a0  __TEXT,__text  func  APPolicyCreateWithDictionary
0x00000001d9a17478  0x00000060  __TEXT,__text  func  APPolicyCopyDictionaryRepresentation
0x00000001d9a174d8  0x00000060  __TEXT,__text  func  APPolicyCopyIdentifier
0x00000001d9a17538  0x00000060  __TEXT,__text  func  APPolicyCopyContent
0x00000001d9a17598  0x00000060  __TEXT,__text  func  APPolicyCopyContentDescriptions
0x00000001d9a175f8  0x00000060  __TEXT,__text  func  APPolicyCopyParameters
0x00000001d9a17658  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x00000001d9a1766c  0x00000010  __TEXT,__text  func  _APPolicySetFinalize
0x00000001d9a1767c  0x00000038  __TEXT,__text  func  APPolicySetGetTypeID
0x00000001d9a176b4  0x00000028  __TEXT,__text  func  __APPolicySetGetTypeID_block_invoke
0x00000001d9a176dc  0x0000005c  __TEXT,__text  func  _APPolicySetCreate
0x00000001d9a17738  0x00000084  __TEXT,__text  func  _isValidAPPolicySet
0x00000001d9a177bc  0x00000088  __TEXT,__text  func  APPolicySetCreate
0x00000001d9a17844  0x00000090  __TEXT,__text  func  APPolicySetCreateWithDictionary
0x00000001d9a178d4  0x00000004  __TEXT,__text  func  APPolicySetCreateWithAccountPolicies
0x00000001d9a178d8  0x00000060  __TEXT,__text  func  APPolicySetCopyDictionaryRepresentation
0x00000001d9a17938  0x00000004  __TEXT,__text  func  APPolicySetCopyAccountPolicies
0x00000001d9a1793c  0x00000060  __TEXT,__text  func  APPolicySetCopyAllPasswordContentSummaries
0x00000001d9a1799c  0x00000068  __TEXT,__text  func  APPolicySetCopyLocalizedPasswordContentSummary
0x00000001d9a17a04  0x00000060  __TEXT,__text  func  APPolicySetCopyAttributesUsed
0x00000001d9a17a64  0x000000c4  __TEXT,__text  func  APPolicySetAddPolicy
0x00000001d9a17b28  0x000000c4  __TEXT,__text  func  APPolicySetRemovePolicy
0x00000001d9a17bec  0x00000004  __TEXT,__text  func  APPolicySetCreateWithLegacyPolicies
0x00000001d9a17bf0  0x00000060  __TEXT,__text  func  APPolicySetCopyLegacyPolicies
0x00000001d9a17c50  0x000000a8  __TEXT,__text  func  APPolicySetCategoryAndIdentifierForLegacyPolicyName
0x00000001d9a17cf8  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x00000001d9a17d0c  0x00000004  __TEXT,__text  func  _APPolicyCreate.cold.1  // aliases: _isValidAPPolicy.cold.1, APPolicyGetTypeID.cold.1
0x00000001d9a17d10  0x00000b50  __TEXT,__text  func  _APPolicySetCreate.cold.1  // aliases: _isValidAPPolicySet.cold.1, APPolicySetGetTypeID.cold.1
0x00000001d9a18860  0x00000008  __TEXT,__const  func  kAPExpirationTimeExpired
0x00000001d9a18868  0x00000000  __TEXT,__const  func  kAPExpirationTimeNeverExpires
