//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AirPlaySupport.framework/Versions/A/AirPlaySupport
// arch:    arm64e
// uuid:    A9AA0B81-A3D5-3058-8F8F-8E50F8E0E883
// text:    0x00000001b492b000
// count:   2135 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001b492c600  0x00000174  __TEXT,__text  sub  sub_1b492c600
0x00000001b492c774  0x00000174  __TEXT,__text  sub  sub_1b492c774
0x00000001b492c8e8  0x0000004c  __TEXT,__text  sub  sub_1b492c8e8
0x00000001b492c934  0x00000174  __TEXT,__text  sub  sub_1b492c934
0x00000001b492caa8  0x00000130  __TEXT,__text  sub  sub_1b492caa8
0x00000001b492cbd8  0x00000030  __TEXT,__text  sub  sub_1b492cbd8
0x00000001b492cc08  0x00000174  __TEXT,__text  sub  sub_1b492cc08
0x00000001b492cd7c  0x00000174  __TEXT,__text  sub  sub_1b492cd7c
0x00000001b492cef0  0x000000a8  __TEXT,__text  func  APSPacketLossConcealerSaveData
0x00000001b492cf98  0x00000064  __TEXT,__text  func  APSPacketLossConcealerReset
0x00000001b492cffc  0x00000308  __TEXT,__text  func  APSPacketLossConcealerConceal
0x00000001b492d304  0x000000c0  __TEXT,__text  func  APSVideoFormatDescriptionCopyAsBlockBuffer
0x00000001b492d3c4  0x00000038  __TEXT,__text  func  __useLegacySerialization_block_invoke
0x00000001b492d3fc  0x000000c4  __TEXT,__text  func  APSVideoFormatDescriptionCreateFromBlockBuffer
0x00000001b492d4c0  0x00000058  __TEXT,__text  func  APSWirelessCoexManagerGetClassID
0x00000001b492d518  0x00000048  __TEXT,__text  func  coexManager_RegisterClass
0x00000001b492d560  0x00000040  __TEXT,__text  func  coexManager_CopyFormattingDescription
0x00000001b492d5a0  0x00000064  __TEXT,__text  func  APSWirelessCoexManagerGetTypeID
0x00000001b492d604  0x0000026c  __TEXT,__text  func  APSWirelessCoexManagerCreateWithOptions
0x00000001b492d870  0x00000040  __TEXT,__text  func  coexManager_CopyDebugDescription
0x00000001b492d8b0  0x000000a0  __TEXT,__text  func  coexManager_Finalize
0x00000001b492d950  0x000000d8  __TEXT,__text  func  APSWirelessCoexManagerNotifyCriticalBuffering
0x00000001b492da28  0x00000054  __TEXT,__text  func  APSRealTimeReadableRingBufferGetTypeID
0x00000001b492da7c  0x00000028  __TEXT,__text  func  _APSRealTimeReadableRingBufferGetTypeID
0x00000001b492daa4  0x00000088  __TEXT,__text  func  _APSRealTimeReadableRingBufferFinalize
0x00000001b492db2c  0x00000184  __TEXT,__text  func  APSRealTimeReadableRingBufferCreate
0x00000001b492dcb0  0x0000016c  __TEXT,__text  func  APSRealTimeReadableRingBufferRead
0x00000001b492de1c  0x00000028  __TEXT,__text  func  APSRealTimeReadableRingBufferReadWithBlock
0x00000001b492de44  0x0000000c  __TEXT,__text  func  rtRing_invokeBlock
0x00000001b492de50  0x000000fc  __TEXT,__text  func  APSRealTimeReadableRingBufferWrite
0x00000001b492df4c  0x00000054  __TEXT,__text  func  APSRealTimeDispatcherGetTypeID
0x00000001b492dfa0  0x00000028  __TEXT,__text  func  _APSRealTimeDispatcherGetTypeID
0x00000001b492dfc8  0x0000005c  __TEXT,__text  func  _APSRealTimeDispatcherFinalize
0x00000001b492e024  0x00000194  __TEXT,__text  func  APSRealTimeDispatcherCreate
0x00000001b492e1b8  0x0000005c  __TEXT,__text  func  rtDispatcher_signalFinalizer
0x00000001b492e214  0x00000048  __TEXT,__text  func  rtDispatcher_signalHandler
0x00000001b492e25c  0x00000080  __TEXT,__text  func  APSRealTimeDispatcherAsync
0x00000001b492e2dc  0x000007b8  __TEXT,__text  func  APSRTPPacketProcessorProcessPacket
0x00000001b492ea94  0x000000e8  __TEXT,__text  func  APSAtomicMessageQueueCreate
0x00000001b492eb7c  0x00000068  __TEXT,__text  cxx  __ZL29registerAPSAtomicMessageQueuePv  // registerAPSAtomicMessageQueue(void*)
