//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AppPredictionUI.framework/Versions/A/AppPredictionUI
// arch:    arm64e
// uuid:    0809FE6D-69F7-3B25-87B4-2C293391C5C3
// text:    0x00000002332bf000
// count:   256 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002332c0138  0x00000090  __TEXT,__text  func  -[APUIActionCardRequest initWithCardViewConfig:]
0x00000002332c01c8  0x00000010  __TEXT,__text  func  -[APUIActionCardRequest cardViewConfig]
0x00000002332c01d8  0x00000014  __TEXT,__text  func  -[APUIActionCardRequest .cxx_destruct]
0x00000002332c01ec  0x00000070  __TEXT,__text  func  -[APUIActionCardViewConfig init]
0x00000002332c025c  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig style]
0x00000002332c0264  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setStyle:]
0x00000002332c026c  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig bundleId]
0x00000002332c0274  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setBundleId:]
0x00000002332c027c  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig showThumbnailImage]
0x00000002332c0284  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setShowThumbnailImage:]
0x00000002332c028c  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig useAppIconAsThumbnail]
0x00000002332c0294  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setUseAppIconAsThumbnail:]
0x00000002332c029c  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig showActionButton]
0x00000002332c02a4  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setShowActionButton:]
0x00000002332c02ac  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig showAppFootnote]
0x00000002332c02b4  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setShowAppFootnote:]
0x00000002332c02bc  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig showAppFootnoteIcon]
0x00000002332c02c4  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setShowAppFootnoteIcon:]
0x00000002332c02cc  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig useTinyIconVariant]
0x00000002332c02d4  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setUseTinyIconVariant:]
0x00000002332c02dc  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig maxLinesForTitle]
0x00000002332c02e4  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setMaxLinesForTitle:]
0x00000002332c02ec  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig maxLinesForSubtitle]
0x00000002332c02f4  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setMaxLinesForSubtitle:]
0x00000002332c02fc  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig maxLinesForFootnote]
0x00000002332c0304  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setMaxLinesForFootnote:]
0x00000002332c030c  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig fallbackToCustomResponseString]
0x00000002332c0314  0x00000008  __TEXT,__text  func  -[APUIActionCardViewConfig setFallbackToCustomResponseString:]
0x00000002332c031c  0x0000000c  __TEXT,__text  func  -[APUIActionCardViewConfig .cxx_destruct]
0x00000002332c0328  0x00000058  __TEXT,__text  func  __atxlog_handle_default
0x00000002332c0380  0x00000048  __TEXT,__text  func  ____atxlog_handle_default_block_invoke
0x00000002332c03c8  0x00000058  __TEXT,__text  func  __atxlog_handle_xpc
