//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/AppSandbox.framework/Versions/A/AppSandbox
// arch:    arm64e
// uuid:    93EB1ACE-6516-303F-A23F-FF64BB4BE749
// text:    0x000000019a75d000
// count:   763 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019a75e960  0x000000ac  __TEXT,__text  func  AppSandboxUtilAddressBookLockPathURL
0x000000019a75ea0c  0x00000144  __TEXT,__text  func  AppSandboxUtilLockPathURLWithError
0x000000019a75eb50  0x0000003c  __TEXT,__text  func  AppSandboxUtilRealPathForPath
0x000000019a75eb8c  0x00000244  __TEXT,__text  func  AppSandboxUtilRealPathForUTF8StringPath
0x000000019a75edd0  0x0000005c  __TEXT,__text  func  AppSandboxUtilEntitlementsRequireSandbox
0x000000019a75ee2c  0x00000088  __TEXT,__text  objc  +[AppSandboxEntitlements entitlementsWithDictionary:forAppWithSigningIdentifier:error:]  // +[AppSandboxEntitlements ?]
0x000000019a75eeb4  0x000003f0  __TEXT,__text  objc  -[AppSandboxEntitlements initWithDictionary:forAppWithSigningIdentifier:error:]  // -[AppSandboxEntitlements ?]
0x000000019a75f2a4  0x000000a4  __TEXT,__text  objc  -[AppSandboxEntitlements requestsAppSandboxWithInheritance:error:]  // -[AppSandboxEntitlements ?]
0x000000019a75f348  0x000000bc  __TEXT,__text  objc  -[AppSandboxEntitlements __requestsAppSandbox:]  // -[AppSandboxEntitlements ]
0x000000019a75f404  0x000000dc  __TEXT,__text  objc  -[AppSandboxEntitlements hasEntitlement:ofType:value:error:]  // -[AppSandboxEntitlements ?]
0x000000019a75f4e0  0x0000018c  __TEXT,__text  objc  -[AppSandboxEntitlements __requestsInheritanceOfSandbox:]  // -[AppSandboxEntitlements ?]
0x000000019a75f66c  0x000000a4  __TEXT,__text  objc  -[AppSandboxEntitlements boolValueForEntitlement:]  // -[AppSandboxEntitlements hb]
0x000000019a75f710  0x000000a8  __TEXT,__text  objc  -[AppSandboxEntitlements boolValueForEntitlement:error:]  // -[AppSandboxEntitlements ?]
