//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/AppSystemSettingsUI.framework/Versions/A/AppSystemSettingsUI
// arch:    arm64e
// uuid:    72A61E98-C387-3C5B-946E-B14CD3719390
// text:    0x000000023392a000
// count:   14 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000023392b278  0x00000058  __TEXT,__text  func  _AULoggingFacility
0x000000023392b2d0  0x00000048  __TEXT,__text  func  ___AULoggingFacility_block_invoke
0x000000023392b318  0x00000008  __TEXT,__text  func  -[LSApplicationRecord(PSAdditions) au_supportsJournalingSuggestions]
0x000000023392b320  0x0000004c  __TEXT,__text  sub  sub_23392b320
0x000000023392b36c  0x00000034  __TEXT,__text  sub  sub_23392b36c
0x000000023392b3a0  0x00000024  __TEXT,__text  sub  sub_23392b3a0
0x000000023392b3c4  0x00000094  __TEXT,__text  func  _AULoggingFacility.cold.1
0x000000023392b458  0x00000018  __TEXT,__objc_methlist  func  _INSTANCE_METHODS__TtC19AppSystemSettingsUI17AUHelperFunctions
0x000000023392b470  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_INSTANCE_METHODS_LSApplicationRecord_$_PSAdditions
0x000000023392b490  0x00000048  __TEXT,__const  func  AppSystemSettingsUIVersionString
0x000000023392b4d8  0x00000050  __TEXT,__const  func  AppSystemSettingsUIVersionNumber
0x000000023392b528  0x000000b8  __TEXT,__const  func  __swift_reflection_version
0x000000023392b5e0  0x0000000e  __TEXT,__swift5_typeref  func  symbolic So8NSObjectC
0x000000023392b5ee  0x00000000  __TEXT,__swift5_typeref  func  symbolic _____ 19AppSystemSettingsUI17AUHelperFunctionsC
