//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AppleIDSSOAuthentication.framework/Versions/A/AppleIDSSOAuthentication
// arch:    arm64e
// uuid:    C8B04C74-4545-3FE9-B302-F769ED0E15CA
// text:    0x000000019d42c000
// count:   403 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019d42d0e8  0x000001f0  __TEXT,__text  sub  sub_19d42d0e8
0x000000019d42d2d8  0x000002c8  __TEXT,__text  sub  sub_19d42d2d8
0x000000019d42d5a0  0x000001a4  __TEXT,__text  sub  sub_19d42d5a0
0x000000019d42d744  0x000001e4  __TEXT,__text  sub  sub_19d42d744
0x000000019d42d928  0x00000004  __TEXT,__text  sub  sub_19d42d928
0x000000019d42d92c  0x000000a0  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) aida_tokenForService:]  // -[?(AppleIDAuthentication) ?]
0x000000019d42d9cc  0x000000a4  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) aida_tokenWithExpiryCheckForService:]  // -[?(AppleIDAuthentication) ?]
0x000000019d42da70  0x00000118  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) aida_tokenForService:completionHandler:]  // -[?(AppleIDAuthentication) ?]
0x000000019d42db88  0x0000009c  __TEXT,__text  func  __75-[ACAccount(AppleIDAuthentication) aida_tokenForService:completionHandler:]_block_invoke
0x000000019d42dc24  0x00000048  __TEXT,__text  func  __copy_helper_block_e8_32s40b
0x000000019d42dc6c  0x0000003c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s
0x000000019d42dca8  0x00000064  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) aida_tokenWithExpirationCheck]  // -[?(AppleIDAuthentication) |	]
0x000000019d42dd0c  0x00000068  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) aida_alternateDSID]  // -[?(AppleIDAuthentication) ]
0x000000019d42dd74  0x00000094  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) aida_dsid]  // -[?(AppleIDAuthentication) ?]
0x000000019d42de08  0x00000308  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) aida_deviceProvisioningInfo]  // -[?(AppleIDAuthentication) ?]
0x000000019d42e110  0x000000bc  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) _expirationCheckedTokenForCredential:]  // -[?(AppleIDAuthentication) ]
0x000000019d42e1cc  0x00000154  __TEXT,__text  objc  -[ACAccount(AppleIDAuthentication) _performSilentReauthForAccount:completionHandler:]  // -[?(AppleIDAuthentication) ]
0x000000019d42e320  0x00000090  __TEXT,__text  func  __85-[ACAccount(AppleIDAuthentication) _performSilentReauthForAccount:completionHandler:]_block_invoke
0x000000019d42e3b0  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32b
0x000000019d42e3c0  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x000000019d42e3c8  0x000000b8  __TEXT,__text  objc  +[AAFAnalyticsEvent(AppleIDAuthentication) aida_analyticsStartEventForAIDAServiceType:accountManager:authenticationResults:]  // +[?(AppleIDAuthentication) ?]
0x000000019d42e480  0x000000e8  __TEXT,__text  objc  +[AAFAnalyticsEvent(AppleIDAuthentication) aida_analyticsFinishEventForAIDAServiceType:accountManager:authenticationResults:success:error:]  // +[?(AppleIDAuthentication) ?]
0x000000019d42e568  0x000000b8  __TEXT,__text  objc  +[AAFAnalyticsEvent(AppleIDAuthentication) aida_analyticsDurationEventForAIDAServiceType:accountManager:authenticationResults:]  // +[?(AppleIDAuthentication) ?]
