//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AppleLOM.framework/Versions/A/AppleLOM
// arch:    arm64e
// uuid:    C9C76FBB-2E60-35ED-B3F9-1422AC3BF684
// text:    0x00000002343d7000
// count:   914 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002343d81c8  0x000000b8  __TEXT,__text  func  -[LOMDeviceConnectionRemote activate]
0x00000002343d8280  0x000000b8  __TEXT,__text  func  -[LOMDeviceConnectionRemote cancel]
0x00000002343d8338  0x00000070  __TEXT,__text  func  -[LOMDeviceConnectionRemote teardownXPCListener]
0x00000002343d83a8  0x00000008  __TEXT,__text  func  __48-[LOMDeviceConnectionRemote teardownXPCListener]_block_invoke
0x00000002343d83b0  0x00000198  __TEXT,__text  func  -[LOMDeviceConnectionRemote setupXPCListener]
0x00000002343d8548  0x0000019c  __TEXT,__text  func  __45-[LOMDeviceConnectionRemote setupXPCListener]_block_invoke
0x00000002343d86e4  0x000001ac  __TEXT,__text  func  __45-[LOMDeviceConnectionRemote setupXPCListener]_block_invoke.1
0x00000002343d8890  0x0000003c  __TEXT,__text  func  __copy_helper_block_e8_32s40s
0x00000002343d88cc  0x0000003c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s
0x00000002343d8908  0x0000000c  __TEXT,__text  func  __copy_helper_block_e8_32w
0x00000002343d8914  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32w
0x00000002343d891c  0x00000054  __TEXT,__text  func  -[LOMDeviceConnectionRemote .cxx_destruct]
0x00000002343d8970  0x000000d8  __TEXT,__text  func  -[LOMDeviceServerRemote getBridgeOSVersion]
0x00000002343d8a48  0x00000174  __TEXT,__text  func  __43-[LOMDeviceServerRemote getBridgeOSVersion]_block_invoke
0x00000002343d8bbc  0x00000300  __TEXT,__text  func  -[LOMDeviceServerRemote updateBootVolumeUUID:]
0x00000002343d8ebc  0x000001a8  __TEXT,__text  func  -[LOMDeviceServerRemote handleSMCNotification:bootState:]
0x00000002343d9064  0x000001c8  __TEXT,__text  func  -[LOMDeviceServerRemote registerBootVolumeNotification]
0x00000002343d922c  0x00000058  __TEXT,__text  func  __55-[LOMDeviceServerRemote registerBootVolumeNotification]_block_invoke
0x00000002343d9284  0x000000e8  __TEXT,__text  func  -[LOMDeviceServerRemote serialize]
0x00000002343d936c  0x00000004  __TEXT,__text  func  -[LOMDeviceServerRemote loadCertsAndKey]
0x00000002343d9370  0x000001f0  __TEXT,__text  func  -[LOMDeviceServerRemote takeIdleSleepPowerAssertion]
0x00000002343d9560  0x0000005c  __TEXT,__text  func  -[LOMDeviceServerRemote stop]
0x00000002343d95bc  0x0000037c  __TEXT,__text  func  -[LOMDeviceServerRemote shouldUpdateKeychain:]
0x00000002343d9938  0x00000394  __TEXT,__text  func  -[LOMDeviceServerRemote install:error:]
0x00000002343d9ccc  0x00000244  __TEXT,__text  func  -[LOMDeviceServerRemote getInfo:error:]
0x00000002343d9f10  0x00000014  __TEXT,__text  func  -[LOMDeviceServerRemote description]
0x00000002343d9f24  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_1  // aliases: OUTLINED_FUNCTION_0
0x00000002343d9f38  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_2  // aliases: OUTLINED_FUNCTION_3, OUTLINED_FUNCTION_1
0x00000002343d9f48  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x00000002343d9f5c  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x00000002343d9f70  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_4
