//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AppleScript.framework/Versions/A/AppleScript
// arch:    arm64e
// uuid:    1D5D8FFA-4332-3D73-A19A-5A903209470B
// text:    0x0000000234d23000
// count:   2405 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000234d24340  0x0000002c  __TEXT,__text  sub  sub_234d24340
0x0000000234d2436c  0x000000b8  __TEXT,__text  sub  sub_234d2436c
0x0000000234d24424  0x0000077c  __TEXT,__text  sub  sub_234d24424
0x0000000234d24ba0  0x00000488  __TEXT,__text  sub  sub_234d24ba0
0x0000000234d25028  0x00000368  __TEXT,__text  sub  sub_234d25028
0x0000000234d25390  0x000007ac  __TEXT,__text  sub  sub_234d25390
0x0000000234d25b3c  0x000001fc  __TEXT,__text  sub  sub_234d25b3c
0x0000000234d25d38  0x00000130  __TEXT,__text  sub  sub_234d25d38
0x0000000234d25e68  0x00000030  __TEXT,__text  sub  sub_234d25e68
0x0000000234d25e98  0x000001f4  __TEXT,__text  sub  sub_234d25e98
0x0000000234d2608c  0x0000002c  __TEXT,__text  sub  sub_234d2608c
0x0000000234d260b8  0x000001e8  __TEXT,__text  sub  sub_234d260b8
0x0000000234d262a0  0x00000128  __TEXT,__text  sub  sub_234d262a0
0x0000000234d263c8  0x00000030  __TEXT,__text  sub  sub_234d263c8
0x0000000234d263f8  0x00000080  __TEXT,__text  sub  sub_234d263f8
0x0000000234d26478  0x00000050  __TEXT,__text  sub  sub_234d26478
0x0000000234d264c8  0x000000b0  __TEXT,__text  sub  sub_234d264c8
0x0000000234d26578  0x000000c4  __TEXT,__text  sub  sub_234d26578
0x0000000234d2663c  0x00000050  __TEXT,__text  sub  sub_234d2663c
0x0000000234d2668c  0x00000068  __TEXT,__text  sub  sub_234d2668c
0x0000000234d266f4  0x00000190  __TEXT,__text  sub  sub_234d266f4
0x0000000234d26884  0x00000190  __TEXT,__text  sub  sub_234d26884
0x0000000234d26a14  0x00000070  __TEXT,__text  sub  sub_234d26a14
0x0000000234d26a84  0x00000090  __TEXT,__text  func  AppletComponent
0x0000000234d26b14  0x00000058  __TEXT,__text  func  AppleScriptEmergencyShutdown
0x0000000234d26b6c  0x000000fc  __TEXT,__text  func  AppleScriptOpen
0x0000000234d26c68  0x0000099c  __TEXT,__text  func  AppleScriptComponent
0x0000000234d27604  0x000000e4  __TEXT,__text  func  AppleScriptClose
0x0000000234d276e8  0x000000c4  __TEXT,__text  func  AppleScriptCanDo
0x0000000234d277ac  0x00000030  __TEXT,__text  cxx  __ZNSt3__16vectorIPvNS_9allocatorIS1_EEE6resizeEm  // std::__1::vector<void*, std::__1::allocator<void*>>::resize(unsigned long)
0x0000000234d277dc  0x00000110  __TEXT,__text  cxx  __ZNSt3__16vectorIPvNS_9allocatorIS1_EEE8__appendEm  // std::__1::vector<void*, std::__1::allocator<void*>>::__append(unsigned long)
0x0000000234d278ec  0x00000014  __TEXT,__text  func  __clang_call_terminate
0x0000000234d27900  0x00000018  __TEXT,__text  cxx  __ZNSt3__16vectorIlNS_9allocatorIlEEE20__throw_length_errorB9nqe210106Ev  // std::__1::vector<long, std::__1::allocator<long>>::__throw_length_error[abi:nqe210106]()  // aliases: __ZNSt3__16vectorI10ASTokenRecNS_9allocatorIS1_EEE20__throw_length_errorB9nqe210106Ev, __ZNSt3__16vectorItNS_9allocatorItEEE20__throw_length_errorB9nqe210106Ev, __ZNSt3__16vectorI7CFRangeNS_9allocatorIS1_EEE20__throw_length_errorB9nqe210106Ev, __ZNSt3__16vectorIP12TTerminologyNS_9allocatorIS2_EEE20__throw_length_errorB9nqe210106Ev, __ZNSt3__16vectorIPvNS_9allocatorIS1_EEE20__throw_length_errorB9nqe210106Ev
0x0000000234d27918  0x0000005c  __TEXT,__text  cxx  __ZNSt3__120__throw_length_errorB9nqe210106EPKc  // std::__1::__throw_length_error[abi:nqe210106](char const*)
0x0000000234d27974  0x00000034  __TEXT,__text  cxx  __ZNSt12length_errorC1B9nqe210106EPKc  // std::length_error::length_error[abi:nqe210106](char const*)
0x0000000234d279a8  0x00000048  __TEXT,__text  cxx  __ZNSt3__119__allocate_at_leastB9nqe210106INS_9allocatorIPvEEEENS_19__allocation_resultINS_16allocator_traitsIT_E7pointerEEERS6_m  // std::__1::__allocation_result<std::__1::allocator_traits<std::__1::allocator<void*>>::pointer> std::__1::__allocate_at_least[abi:nqe210106]<std::__1::allocator<void*>>(std::__1::allocator<void*>&, unsigned long)
0x0000000234d279f0  0x00000034  __TEXT,__text  cxx  __ZSt28__throw_bad_array_new_lengthB9nqe210106v  // std::__throw_bad_array_new_length[abi:nqe210106]()
0x0000000234d27a24  0x00000034  __TEXT,__text  cxx  __ZN11auto_handleIcED2Ev  // auto_handle<char>::~auto_handle()
0x0000000234d27a58  0x000000c0  __TEXT,__text  cxx  __ZN10ASDGlobalsC2EPPc  // ASDGlobals::ASDGlobals(char**)
0x0000000234d27b18  0x00000078  __TEXT,__text  cxx  __ZN10ASDGlobalsD2Ev  // ASDGlobals::~ASDGlobals()
