//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/BinaryAssetTag.framework/Versions/A/BinaryAssetTag
// arch:    arm64e
// uuid:    9AC54C7D-5E0E-3611-803E-5FA84C777200
// text:    0x0000000235a0f000
// count:   53 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000235a0fd68  0x00000008  __TEXT,__text  func  +[PVAppIdentityDigest supportsSecureCoding]
0x0000000235a0fd70  0x0000018c  __TEXT,__text  func  -[PVAppIdentityDigest initWithVersion:data0:data1:data2:data3:data4:data5:]
0x0000000235a0fefc  0x00000108  __TEXT,__text  func  -[PVAppIdentityDigest initWithError:version:]
0x0000000235a10004  0x00000080  __TEXT,__text  func  +[PVAppIdentityDigest digestWithErrorCode:]
0x0000000235a10084  0x00000010  __TEXT,__text  func  +[PVAppIdentityDigest digestWithTimeoutError]
0x0000000235a10094  0x000000ec  __TEXT,__text  func  -[PVAppIdentityDigest encodeWithCoder:]
0x0000000235a10180  0x00000214  __TEXT,__text  func  -[PVAppIdentityDigest initWithCoder:]
0x0000000235a10394  0x00000240  __TEXT,__text  func  -[PVAppIdentityDigest asDictionary]
0x0000000235a105d4  0x0000003c  __TEXT,__text  func  -[PVAppIdentityDigest getError]
0x0000000235a10610  0x0000008c  __TEXT,__text  func  -[PVAppIdentityDigest .cxx_destruct]
0x0000000235a1069c  0x00000250  __TEXT,__text  func  PVAppIdentity_GenerateDigestWithCompletion
0x0000000235a108ec  0x00000120  __TEXT,__text  func  __PVAppIdentity_GenerateDigestWithCompletion_block_invoke
0x0000000235a10a0c  0x00000048  __TEXT,__text  func  __PVAppIdentity_GenerateDigestWithCompletion_block_invoke.6
0x0000000235a10a54  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32s40s48b
0x0000000235a10aa4  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s
0x0000000235a10ae8  0x000000dc  __TEXT,__text  func  __PVAppIdentity_GenerateDigestWithCompletion_block_invoke.11
0x0000000235a10bc4  0x00000048  __TEXT,__text  func  __PVAppIdentity_GenerateDigestWithCompletion_block_invoke_2
0x0000000235a10c0c  0x00000058  __TEXT,__text  func  _PVAppIdentityLogSystem
0x0000000235a10c64  0x00000048  __TEXT,__text  func  ___PVAppIdentityLogSystem_block_invoke
0x0000000235a10cac  0x00000008  __TEXT,__text  func  +[NSError(BinaryAssetTag) pvai_errorWithCode:]
0x0000000235a10cb4  0x0000001c  __TEXT,__text  func  +[NSError(BinaryAssetTag) pvai_errorWithCode:userInfo:]
0x0000000235a10cd0  0x000000f4  __TEXT,__text  func  +[NSError(BinaryAssetTag) pvai_wrappedError:error:]
0x0000000235a10dc4  0x00000104  __TEXT,__text  func  _PVAppIdentityLogSystem.cold.1
0x0000000235a10ec8  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_CLASS_METHODS_NSError_$_BinaryAssetTag
0x0000000235a10ef8  0x00000030  __TEXT,__objc_methlist  func  _OBJC_$_CLASS_METHODS_PVAppIdentityDigest
0x0000000235a10f28  0x00000060  __TEXT,__objc_methlist  func  _OBJC_$_INSTANCE_METHODS_PVAppIdentityDigest
0x0000000235a10f88  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_CLASS_METHODS_NSSecureCoding
0x0000000235a10fa0  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCoding
0x0000000235a10fc0  0x00000018  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_PVAppIdentityServiceProtocol
0x0000000235a10fd8  0x00000040  __TEXT,__const  func  BinaryAssetTagVersionString
0x0000000235a11018  0x000005e8  __TEXT,__const  func  BinaryAssetTagVersionNumber
0x0000000235a11600  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$base64EncodedStringWithOptions:
0x0000000235a11620  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$code
0x0000000235a11640  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$decodeObjectOfClass:forKey:
0x0000000235a11660  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dictionaryWithObjects:forKeys:count:
0x0000000235a11680  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$digestWithErrorCode:
0x0000000235a116a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$domain
0x0000000235a116c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$encodeObject:forKey:
0x0000000235a116e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$errorWithDomain:code:userInfo:
0x0000000235a11700  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$generateDigest:ppqAppId:withReply:
0x0000000235a11720  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initWithError:version:
0x0000000235a11740  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initWithServiceName:
0x0000000235a11760  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$interfaceWithProtocol:
0x0000000235a11780  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$invalidate
0x0000000235a117a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$isEqualToString:
0x0000000235a117c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$numberWithInteger:
0x0000000235a117e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$pvai_errorWithCode:
0x0000000235a11800  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$pvai_errorWithCode:userInfo:
0x0000000235a11820  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$pvai_wrappedError:error:
0x0000000235a11840  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$remoteObjectProxyWithErrorHandler:
0x0000000235a11860  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$resume
0x0000000235a11880  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setObject:forKeyedSubscript:
0x0000000235a118a0  0x00000000  __TEXT,__objc_stubs  func  objc_msgSend$setRemoteObjectInterface:
