//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/Bom.framework/Versions/A/Bom
// arch:    arm64e
// uuid:    901BB89C-28BA-3CDF-B088-6484E180B2E5
// text:    0x000000019225a000
// count:   1146 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019225aaa0  0x00000008  __TEXT,__text  func  BOMCopierNew
0x000000019225aaa8  0x000000d4  __TEXT,__text  func  BOMCopierNewWithSys
0x000000019225ab7c  0x00000098  __TEXT,__text  func  BOM_malloczero
0x000000019225ac14  0x00000008  __TEXT,__text  func  BOMHardLinkTableNew
0x000000019225ac1c  0x00000058  __TEXT,__text  func  BOMStackNew
0x000000019225ac74  0x0000007c  __TEXT,__text  func  BOM_calloc
0x000000019225acf0  0x0000000c  __TEXT,__text  func  BomSys_default
0x000000019225acfc  0x0000000c  __TEXT,__text  func  BOMCopierSetUserData
0x000000019225ad08  0x0000000c  __TEXT,__text  func  BOMCopierSetFatalErrorHandler
0x000000019225ad14  0x0000000c  __TEXT,__text  func  BOMCopierSetFatalFileErrorHandler
0x000000019225ad20  0x0000000c  __TEXT,__text  func  BOMCopierSetFileErrorHandler
0x000000019225ad2c  0x0000000c  __TEXT,__text  func  BOMCopierSetCopyFileStartedHandler
0x000000019225ad38  0x0000000c  __TEXT,__text  func  BOMCopierSetCopyFileFinishedHandler
0x000000019225ad44  0x0000000c  __TEXT,__text  func  BOMCopierSetCopyFileUpdateHandler
0x000000019225ad50  0x000004a0  __TEXT,__text  func  BOMCopierCountFilesInDirectory
0x000000019225b1f0  0x0000000c  __TEXT,__text  func  BomSys_lstat
0x000000019225b1fc  0x0000000c  __TEXT,__text  func  BOMCopierUserData
0x000000019225b208  0x000004c4  __TEXT,__text  func  BOMCopierCopyWithOptions
0x000000019225b6cc  0x000000fc  __TEXT,__text  func  BOMCFGetBoolValue
0x000000019225b7c8  0x00000128  __TEXT,__text  func  BOMCFStringGetUTF8String
0x000000019225b8f0  0x0000007c  __TEXT,__text  func  BOM_malloc
0x000000019225b96c  0x0000003c  __TEXT,__text  func  _initGroupList
0x000000019225b9a8  0x00000098  __TEXT,__text  func  BOMFileNewFromCFReadStream
0x000000019225ba40  0x000004ac  __TEXT,__text  func  _BOMFileInit
0x000000019225beec  0x00000024  __TEXT,__text  func  BOMStackIsEmpty
0x000000019225bf10  0x0000000c  __TEXT,__text  func  BomSys_stat
0x000000019225bf1c  0x000000b8  __TEXT,__text  func  _initializeAFSCData
0x000000019225bfd4  0x00000060  __TEXT,__text  func  BOMAppleDoubleIsADFile
0x000000019225c034  0x0000007c  __TEXT,__text  func  BOMPKZipNew
0x000000019225c0b0  0x00000268  __TEXT,__text  func  BOMPKZipLoadCentralDirectory
0x000000019225c318  0x0000000c  __TEXT,__text  func  BOMFileOffset
0x000000019225c324  0x00000244  __TEXT,__text  func  BOMPKZipSeekToCentralDirectory
0x000000019225c568  0x00000284  __TEXT,__text  func  BOMFileSeek
0x000000019225c7ec  0x000007e4  __TEXT,__text  func  _copyFromPKZip
0x000000019225cfd0  0x000001ec  __TEXT,__text  func  BOMPKZipReadNextSignature
0x000000019225d1bc  0x0000002c  __TEXT,__text  func  BOMFileRead
0x000000019225d1e8  0x000003b4  __TEXT,__text  func  _BOMFileDirectRead
0x000000019225d59c  0x000000b4  __TEXT,__text  func  _BOMFileReadRaw
0x000000019225d650  0x00000448  __TEXT,__text  func  BOMPKZipReadLocalHeader
0x000000019225da98  0x000000d4  __TEXT,__text  func  BOMStreamWithAddress
0x000000019225db6c  0x00000020  __TEXT,__text  func  BOMStreamSetByteOrder
0x000000019225db8c  0x000000a4  __TEXT,__text  func  BOMStreamReadUInt16
