//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CSCSupport.framework/Versions/A/CSCSupport
// arch:    arm64e
// uuid:    8CBE4E68-E919-3B83-8100-AC23206F7371
// text:    0x00000002371e8000
// count:   17 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002371e8a98  0x000001b8  __TEXT,__text  func  CSCEnableMobileStorageMounting
0x00000002371e8c50  0x00000034  __TEXT,__text  func  __CSCEnableMobileStorageMounting_block_invoke
0x00000002371e8c84  0x00000034  __TEXT,__text  func  __CSCEnableMobileStorageMounting_block_invoke_2
0x00000002371e8cb8  0x00000084  __TEXT,__text  func  __CSCEnableMobileStorageMounting_block_invoke_3
0x00000002371e8d3c  0x000000ac  __TEXT,__text  func  __CSCEnableMobileStorageMounting_block_invoke_4
0x00000002371e8de8  0x00000338  __TEXT,__objc_methlist  func  _OBJC_$_PROTOCOL_INSTANCE_METHODS_CSCMountServiceProtocol
0x00000002371e9120  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$code
0x00000002371e9140  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dictionaryWithObjects:forKeys:count:
0x00000002371e9160  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$enableMobileStorageMountingWithReply:
0x00000002371e9180  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$errorWithDomain:code:userInfo:
0x00000002371e91a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$initWithServiceName:
0x00000002371e91c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$interfaceWithProtocol:
0x00000002371e91e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$remoteObjectProxyWithErrorHandler:
0x00000002371e9200  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$resume
0x00000002371e9220  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setInterruptionHandler:
0x00000002371e9240  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$setInvalidationHandler:
0x00000002371e9260  0x00000000  __TEXT,__objc_stubs  func  objc_msgSend$setRemoteObjectInterface:
