//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CallsUtilities.framework/Versions/A/CallsUtilities
// arch:    arm64e
// uuid:    A3A065B0-10D7-34DD-B15B-760899DF035C
// text:    0x00000002378a2000
// count:   232 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002378a3418  0x000000b4  __TEXT,__text  sub  sub_2378a3418
0x00000002378a34cc  0x00000058  __TEXT,__text  sub  sub_2378a34cc
0x00000002378a3524  0x00000038  __TEXT,__text  sub  sub_2378a3524
0x00000002378a355c  0x0000008c  __TEXT,__text  sub  sub_2378a355c
0x00000002378a35e8  0x00000004  __TEXT,__text  sub  sub_2378a35e8
0x00000002378a35ec  0x00000004  __TEXT,__text  sub  sub_2378a35ec
0x00000002378a35f0  0x00000004  __TEXT,__text  sub  sub_2378a35f0
0x00000002378a35f4  0x000000a8  __TEXT,__text  sub  sub_2378a35f4
0x00000002378a369c  0x0000020c  __TEXT,__text  sub  sub_2378a369c
0x00000002378a38a8  0x00000014  __TEXT,__text  sub  sub_2378a38a8
0x00000002378a38bc  0x00000014  __TEXT,__text  sub  sub_2378a38bc
0x00000002378a38d0  0x00000014  __TEXT,__text  sub  sub_2378a38d0
0x00000002378a38e4  0x00000014  __TEXT,__text  sub  sub_2378a38e4
0x00000002378a38f8  0x00000014  __TEXT,__text  sub  sub_2378a38f8
0x00000002378a390c  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x00000002378a3944  0x000002bc  __TEXT,__text  sub  sub_2378a3944
0x00000002378a3c00  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_1Tm  // aliases: __swift_destroy_boxed_opaque_existential_0
0x00000002378a3c44  0x00000250  __TEXT,__text  sub  sub_2378a3c44
0x00000002378a3e94  0x0000024c  __TEXT,__text  sub  sub_2378a3e94
0x00000002378a40e0  0x00000064  __TEXT,__text  sub  sub_2378a40e0
0x00000002378a4144  0x0000010c  __TEXT,__text  sub  sub_2378a4144
0x00000002378a4250  0x00000104  __TEXT,__text  sub  sub_2378a4250
0x00000002378a4354  0x00000078  __TEXT,__text  sub  sub_2378a4354
0x00000002378a43cc  0x000000b0  __TEXT,__text  sub  sub_2378a43cc
0x00000002378a447c  0x00000374  __TEXT,__text  sub  sub_2378a447c
0x00000002378a47f0  0x000000ac  __TEXT,__text  sub  sub_2378a47f0
0x00000002378a489c  0x00000030  __TEXT,__text  sub  sub_2378a489c
0x00000002378a48cc  0x00000030  __TEXT,__text  sub  sub_2378a48cc
0x00000002378a48fc  0x000000fc  __TEXT,__text  sub  sub_2378a48fc
0x00000002378a49f8  0x00000114  __TEXT,__text  sub  sub_2378a49f8
0x00000002378a4b0c  0x00000910  __TEXT,__text  sub  sub_2378a4b0c
0x00000002378a541c  0x000001f0  __TEXT,__text  sub  sub_2378a541c
0x00000002378a560c  0x000002c4  __TEXT,__text  sub  sub_2378a560c
0x00000002378a58d0  0x00000674  __TEXT,__text  sub  sub_2378a58d0
0x00000002378a5f44  0x00000054  __TEXT,__text  sub  sub_2378a5f44
0x00000002378a5f98  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x00000002378a5fec  0x00000004  __TEXT,__text  func  _swift_stdlib_malloc_size
0x00000002378a5ff0  0x000001e0  __TEXT,__text  sub  sub_2378a5ff0
0x00000002378a61d0  0x00000338  __TEXT,__text  sub  sub_2378a61d0
0x00000002378a6508  0x000000bc  __TEXT,__text  sub  sub_2378a6508
0x00000002378a65c4  0x00000028  __TEXT,__text  sub  sub_2378a65c4
0x00000002378a65ec  0x000000b4  __TEXT,__text  sub  sub_2378a65ec
0x00000002378a66a0  0x00000004  __TEXT,__text  func  __swift_memcpy0_1
0x00000002378a66a4  0x00000004  __TEXT,__text  func  __swift_noop_void_return
0x00000002378a66a8  0x00000050  __TEXT,__text  sub  sub_2378a66a8
0x00000002378a66f8  0x0000007c  __TEXT,__text  sub  sub_2378a66f8
0x00000002378a6774  0x00000008  __TEXT,__text  sub  sub_2378a6774
0x00000002378a677c  0x00000004  __TEXT,__text  sub  sub_2378a677c
0x00000002378a6780  0x00000010  __TEXT,__text  sub  sub_2378a6780
0x00000002378a6790  0x00000070  __TEXT,__text  sub  sub_2378a6790
0x00000002378a6800  0x0000005c  __TEXT,__text  sub  sub_2378a6800
0x00000002378a685c  0x00000140  __TEXT,__text  sub  sub_2378a685c
0x00000002378a699c  0x00000028  __TEXT,__text  sub  sub_2378a699c
0x00000002378a69c4  0x0000010c  __TEXT,__text  sub  sub_2378a69c4
0x00000002378a6ad0  0x00000100  __TEXT,__text  sub  sub_2378a6ad0
0x00000002378a6bd0  0x00000018  __TEXT,__text  sub  sub_2378a6bd0
0x00000002378a6be8  0x000001fc  __TEXT,__text  sub  sub_2378a6be8
0x00000002378a6de4  0x0000000c  __TEXT,__text  sub  sub_2378a6de4
0x00000002378a6df0  0x00000060  __TEXT,__text  sub  sub_2378a6df0
