//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CallsXPC.framework/Versions/A/CallsXPC
// arch:    arm64e
// uuid:    6ED7211B-5BFB-3626-BCEA-5B5473080DF8
// text:    0x00000002378ae000
// count:   710 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002378af1e8  0x000000c8  __TEXT,__text  sub  sub_2378af1e8
0x00000002378af2b0  0x0000008c  __TEXT,__text  sub  sub_2378af2b0
0x00000002378af33c  0x00000030  __TEXT,__text  sub  sub_2378af33c
0x00000002378af36c  0x00000038  __TEXT,__text  sub  sub_2378af36c
0x00000002378af3a4  0x00000040  __TEXT,__text  sub  sub_2378af3a4
0x00000002378af3e4  0x00000058  __TEXT,__text  sub  sub_2378af3e4
0x00000002378af43c  0x00000090  __TEXT,__text  sub  sub_2378af43c
0x00000002378af4cc  0x00000114  __TEXT,__text  sub  sub_2378af4cc
0x00000002378af5e0  0x00000038  __TEXT,__text  sub  sub_2378af5e0
0x00000002378af618  0x00000004  __TEXT,__text  sub  sub_2378af618
0x00000002378af61c  0x00000044  __TEXT,__text  sub  sub_2378af61c
0x00000002378af660  0x00000038  __TEXT,__text  sub  sub_2378af660
0x00000002378af698  0x00000004  __TEXT,__text  sub  sub_2378af698
0x00000002378af69c  0x00000010  __TEXT,__text  sub  sub_2378af69c
0x00000002378af6ac  0x00000004  __TEXT,__text  sub  sub_2378af6ac
0x00000002378af6b0  0x00000004  __TEXT,__text  sub  sub_2378af6b0
0x00000002378af6b4  0x00000004  __TEXT,__text  sub  sub_2378af6b4
0x00000002378af6b8  0x00000004  __TEXT,__text  sub  sub_2378af6b8
0x00000002378af6bc  0x00000004  __TEXT,__text  sub  sub_2378af6bc
0x00000002378af6c0  0x00000004  __TEXT,__text  sub  sub_2378af6c0
0x00000002378af6c4  0x00000004  __TEXT,__text  sub  sub_2378af6c4
0x00000002378af6c8  0x00000004  __TEXT,__text  sub  sub_2378af6c8
0x00000002378af6cc  0x00000004  __TEXT,__text  sub  sub_2378af6cc
0x00000002378af6d0  0x00000004  __TEXT,__text  sub  sub_2378af6d0
0x00000002378af6d4  0x00000004  __TEXT,__text  sub  sub_2378af6d4
0x00000002378af6d8  0x00000038  __TEXT,__text  sub  sub_2378af6d8
0x00000002378af710  0x00000038  __TEXT,__text  sub  sub_2378af710
0x00000002378af748  0x00000100  __TEXT,__text  sub  sub_2378af748
0x00000002378af848  0x00000030  __TEXT,__text  sub  sub_2378af848
0x00000002378af878  0x0000008c  __TEXT,__text  sub  sub_2378af878
0x00000002378af904  0x000000c8  __TEXT,__text  sub  sub_2378af904
0x00000002378af9cc  0x00000038  __TEXT,__text  sub  sub_2378af9cc
0x00000002378afa04  0x00000040  __TEXT,__text  sub  sub_2378afa04
0x00000002378afa44  0x00000038  __TEXT,__text  sub  sub_2378afa44
0x00000002378afa7c  0x00000038  __TEXT,__text  sub  sub_2378afa7c
0x00000002378afab4  0x00000058  __TEXT,__text  sub  sub_2378afab4
0x00000002378afb0c  0x00000004  __TEXT,__text  sub  sub_2378afb0c
0x00000002378afb10  0x00000004  __TEXT,__text  sub  sub_2378afb10
0x00000002378afb14  0x00000004  __TEXT,__text  sub  sub_2378afb14
0x00000002378afb18  0x00000004  __TEXT,__text  sub  sub_2378afb18
0x00000002378afb1c  0x00000004  __TEXT,__text  sub  sub_2378afb1c
0x00000002378afb20  0x00000004  __TEXT,__text  sub  sub_2378afb20
0x00000002378afb24  0x00000004  __TEXT,__text  sub  sub_2378afb24
0x00000002378afb28  0x00000004  __TEXT,__text  sub  sub_2378afb28
0x00000002378afb2c  0x00000004  __TEXT,__text  sub  sub_2378afb2c
0x00000002378afb30  0x00000028  __TEXT,__text  sub  sub_2378afb30
0x00000002378afb58  0x00000004  __TEXT,__text  sub  sub_2378afb58
0x00000002378afb5c  0x00000034  __TEXT,__text  sub  sub_2378afb5c
0x00000002378afb90  0x00000004  __TEXT,__text  sub  sub_2378afb90
0x00000002378afb94  0x00000004  __TEXT,__text  sub  sub_2378afb94
0x00000002378afb98  0x0000004c  __TEXT,__text  sub  sub_2378afb98
0x00000002378afbe4  0x00000008  __TEXT,__text  sub  sub_2378afbe4
0x00000002378afbec  0x00000008  __TEXT,__text  sub  sub_2378afbec
0x00000002378afbf4  0x00000008  __TEXT,__text  sub  sub_2378afbf4
0x00000002378afbfc  0x00000070  __TEXT,__text  sub  sub_2378afbfc
0x00000002378afc6c  0x0000003c  __TEXT,__text  sub  sub_2378afc6c
0x00000002378afca8  0x00000074  __TEXT,__text  sub  sub_2378afca8
0x00000002378afd1c  0x00000060  __TEXT,__text  sub  sub_2378afd1c
0x00000002378afd7c  0x000001e8  __TEXT,__text  sub  sub_2378afd7c
0x00000002378aff64  0x000000e0  __TEXT,__text  sub  sub_2378aff64
0x00000002378b0044  0x000001b0  __TEXT,__text  sub  sub_2378b0044
0x00000002378b01f4  0x00000118  __TEXT,__text  sub  sub_2378b01f4
0x00000002378b030c  0x0000009c  __TEXT,__text  sub  sub_2378b030c
0x00000002378b03a8  0x0000009c  __TEXT,__text  sub  sub_2378b03a8
0x00000002378b0444  0x00000494  __TEXT,__text  sub  sub_2378b0444
0x00000002378b08d8  0x0000000c  __TEXT,__text  sub  sub_2378b08d8
0x00000002378b08e4  0x00000388  __TEXT,__text  sub  sub_2378b08e4
0x00000002378b0c6c  0x000000e4  __TEXT,__text  sub  sub_2378b0c6c
0x00000002378b0d50  0x000001d0  __TEXT,__text  sub  sub_2378b0d50
0x00000002378b0f20  0x00000118  __TEXT,__text  sub  sub_2378b0f20
0x00000002378b1038  0x0000009c  __TEXT,__text  sub  sub_2378b1038
0x00000002378b10d4  0x0000009c  __TEXT,__text  sub  sub_2378b10d4
0x00000002378b1170  0x000004e0  __TEXT,__text  sub  sub_2378b1170
0x00000002378b1650  0x0000000c  __TEXT,__text  sub  sub_2378b1650
0x00000002378b165c  0x0000055c  __TEXT,__text  sub  sub_2378b165c
0x00000002378b1bb8  0x0000007c  __TEXT,__text  sub  sub_2378b1bb8
0x00000002378b1c34  0x00000058  __TEXT,__text  sub  sub_2378b1c34
0x00000002378b1c8c  0x00000048  __TEXT,__text  sub  sub_2378b1c8c
0x00000002378b1cd4  0x00000024  __TEXT,__text  sub  sub_2378b1cd4
0x00000002378b1cf8  0x00000004  __TEXT,__text  sub  sub_2378b1cf8
0x00000002378b1cfc  0x000000a8  __TEXT,__text  sub  sub_2378b1cfc
0x00000002378b1da4  0x00000018  __TEXT,__text  sub  sub_2378b1da4
0x00000002378b1dbc  0x00000018  __TEXT,__text  sub  sub_2378b1dbc
0x00000002378b1dd4  0x00000014  __TEXT,__text  sub  sub_2378b1dd4
0x00000002378b1de8  0x00000004  __TEXT,__text  func  __swift_noop_void_return
0x00000002378b1dec  0x0000000c  __TEXT,__text  func  __swift_memcpy32_4
0x00000002378b1df8  0x00000020  __TEXT,__text  sub  sub_2378b1df8
0x00000002378b1e18  0x0000002c  __TEXT,__text  sub  sub_2378b1e18
0x00000002378b1e44  0x00000014  __TEXT,__text  sub  sub_2378b1e44
0x00000002378b1e58  0x0000005c  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameAbstractV2
0x00000002378b1eb4  0x000000e8  __TEXT,__text  sub  sub_2378b1eb4
0x00000002378b1f9c  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x00000002378b1fd4  0x00000060  __TEXT,__text  sub  sub_2378b1fd4
0x00000002378b2034  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x00000002378b2088  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_0Tm  // aliases: __swift_destroy_boxed_opaque_existential_1, __swift_destroy_boxed_opaque_existential_0
0x00000002378b20cc  0x00000054  __TEXT,__text  sub  sub_2378b20cc
0x00000002378b2120  0x00000068  __TEXT,__text  sub  sub_2378b2120
0x00000002378b2188  0x00000048  __TEXT,__text  sub  sub_2378b2188
0x00000002378b21d0  0x0000007c  __TEXT,__text  sub  sub_2378b21d0
0x00000002378b224c  0x00000064  __TEXT,__text  sub  sub_2378b224c
0x00000002378b22b0  0x00000030  __TEXT,__text  func  __swift_instantiateGenericMetadata
0x00000002378b22e0  0x00000014  __TEXT,__text  sub  sub_2378b22e0
0x00000002378b22f4  0x0000004c  __TEXT,__text  sub  sub_2378b22f4
0x00000002378b2340  0x000000c0  __TEXT,__text  sub  sub_2378b2340
0x00000002378b2400  0x00000064  __TEXT,__text  func  __swift_allocate_boxed_opaque_existential_1  // aliases: __swift_allocate_boxed_opaque_existential_2
0x00000002378b2464  0x00000050  __TEXT,__text  func  __swift_deallocate_boxed_opaque_existential_2
0x00000002378b24b4  0x00000004  __TEXT,__text  sub  sub_2378b24b4
0x00000002378b24b8  0x00000028  __TEXT,__text  sub  sub_2378b24b8
0x00000002378b24e0  0x00000028  __TEXT,__text  sub  sub_2378b24e0
0x00000002378b2508  0x00000004  __TEXT,__text  func  __swift_memcpy0_1
0x00000002378b250c  0x00000050  __TEXT,__text  sub  sub_2378b250c
0x00000002378b255c  0x0000007c  __TEXT,__text  sub  sub_2378b255c
0x00000002378b25d8  0x00000018  __TEXT,__text  sub  sub_2378b25d8
0x00000002378b25f0  0x00000058  __TEXT,__text  sub  sub_2378b25f0
0x00000002378b2648  0x000003bc  __TEXT,__text  sub  sub_2378b2648
