//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CloudSharing.framework/Versions/A/CloudSharing
// arch:    arm64e
// uuid:    36B04C41-E68E-333C-A5BA-8A043ACF0CC8
// text:    0x00000002385bc000
// count:   822 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002385bd5b0  0x0000000c  __TEXT,__text  func  CSLogCategoryForCategory
0x00000002385bd5bc  0x00000060  __TEXT,__text  func  CSLogForCategory
0x00000002385bd61c  0x00000048  __TEXT,__text  func  __CSLogForCategory_block_invoke
0x00000002385bd664  0x00000080  __TEXT,__text  func  +[CSCloudSharing sharingStatusForFileOrFolderURL:completionHandler:]
0x00000002385bd6e4  0x000000e0  __TEXT,__text  func  +[CSCloudSharing shareFileOrFolderURL:emailAddresses:phoneNumbers:accessType:permissionType:allowOthersToInvite:completionHandler:]
0x00000002385bd7c4  0x000000d0  __TEXT,__text  func  +[CSCloudSharing shareFileOrFolderURL:emailAddresses:phoneNumbers:optionsGroups:completionHandler:]
0x00000002385bd894  0x000000a8  __TEXT,__text  func  +[CSCloudSharing shareFileOrFolderURL:oneTimeParticipantCount:optionsGroups:completionHandler:]
0x00000002385bd93c  0x00000100  __TEXT,__text  func  +[CSCloudSharing completeShare:containerSetupInfo:emailAddresses:phoneNumbers:accessType:permissionType:allowOthersToInvite:completionHandler:]
0x00000002385bda3c  0x000000f0  __TEXT,__text  func  +[CSCloudSharing completeShare:containerSetupInfo:emailAddresses:phoneNumbers:optionsGroups:completionHandler:]
0x00000002385bdb2c  0x00000100  __TEXT,__text  func  +[CSCloudSharing shareOrUpdateShareURL:containerSetupInfo:emailAddresses:phoneNumbers:accessType:permissionType:allowOthersToInvite:completionHandler:]
0x00000002385bdc2c  0x00000098  __TEXT,__text  func  +[CSCloudSharing removeFromShareURL:containerSetupInfo:completionHandler:]
0x00000002385bdcc4  0x00000098  __TEXT,__text  func  +[CSCloudSharing removeFromShare:containerSetupInfo:completionHandler:]
0x00000002385bdd5c  0x00000080  __TEXT,__text  func  +[CSCloudSharing removeFromShareFileURL:completionHandler:]
0x00000002385bdddc  0x000000f0  __TEXT,__text  func  +[CSCloudSharing messageContentForMail:share:fileURL:appName:appIconData:completionHandler:]
0x00000002385bdecc  0x00000098  __TEXT,__text  func  +[CSCloudSharing ckMetadataFromShareURL:containerSetupInfo:completionHandler:]
0x00000002385bdf64  0x00000098  __TEXT,__text  func  +[CSCloudSharing updateShare:containerSetupInfo:completionHandler:]
0x00000002385bdffc  0x00000080  __TEXT,__text  func  +[CSCloudSharing sharingStatusForShare:completionHandler:]
0x00000002385be07c  0x000000d0  __TEXT,__text  func  +[CSCloudSharing addParticipantsToShare:containerSetupInfo:emailAddresses:phoneNumbers:completionHandler:]
0x00000002385be14c  0x000000f0  __TEXT,__text  func  +[CSCloudSharing addParticipantsToShareWithURLWrapper:share:emailAddresses:phoneNumbers:permissionType:allowOthersToInvite:completionHandler:]
0x00000002385be23c  0x000000f0  __TEXT,__text  func  +[CSCloudSharing addParticipantsToShareWithURLWrapper:share:emailAddresses:phoneNumbers:optionsGroups:completionHandler:]
0x00000002385be32c  0x000000f0  __TEXT,__text  func  +[CSCloudSharing addParticipantsToShareWithFileOrFolderURL:share:emailAddresses:phoneNumbers:optionsGroups:completionHandler:]
0x00000002385be41c  0x000000c0  __TEXT,__text  func  +[CSCloudSharing addParticipantsToShareWithFileOrFolderURL:share:oneTimeParticipantCount:optionsGroups:completionHandler:]
0x00000002385be4dc  0x000000f0  __TEXT,__text  func  +[CSCloudSharing addParticipantsToShare:containerSetupInfo:emailAddresses:phoneNumbers:permissionType:allowOthersToInvite:completionHandler:]
0x00000002385be5cc  0x000000f0  __TEXT,__text  func  +[CSCloudSharing addParticipantsToShare:containerSetupInfo:emailAddresses:phoneNumbers:optionsGroups:completionHandler:]
0x00000002385be6bc  0x00000080  __TEXT,__text  func  +[CSCloudSharing existingShareForFileOrFolderURL:completionHandler:]
0x00000002385be73c  0x00000098  __TEXT,__text  func  +[CSCloudSharing userNameAndEmail:containerSetupInfo:completionHandler:]
0x00000002385be7d4  0x000000e0  __TEXT,__text  func  +[CSCloudSharing shareFolderRemovingSubshares:emailAddresses:phoneNumbers:accessType:permissionType:allowOthersToInvite:completionHandler:]
0x00000002385be8b4  0x000000d0  __TEXT,__text  func  +[CSCloudSharing shareFolderRemovingSubshares:emailAddresses:phoneNumbers:optionsGroups:completionHandler:]
0x00000002385be984  0x00000120  __TEXT,__text  sub  sub_2385be984
0x00000002385beaa4  0x00000008  __TEXT,__text  sub  sub_2385beaa4
0x00000002385beaac  0x00000078  __TEXT,__text  sub  sub_2385beaac
0x00000002385beb24  0x00000080  __TEXT,__text  sub  sub_2385beb24
0x00000002385beba4  0x00000044  __TEXT,__text  sub  sub_2385beba4
0x00000002385bebe8  0x0000003c  __TEXT,__text  sub  sub_2385bebe8
0x00000002385bec24  0x00000054  __TEXT,__text  sub  sub_2385bec24
0x00000002385bec78  0x00000074  __TEXT,__text  sub  sub_2385bec78
0x00000002385becec  0x00000088  __TEXT,__text  sub  sub_2385becec
0x00000002385bed74  0x00000048  __TEXT,__text  sub  sub_2385bed74
0x00000002385bedbc  0x0000002c  __TEXT,__text  sub  sub_2385bedbc
0x00000002385bede8  0x00000098  __TEXT,__text  sub  sub_2385bede8
0x00000002385bee80  0x000000c0  __TEXT,__text  sub  sub_2385bee80
0x00000002385bef40  0x00000054  __TEXT,__text  sub  sub_2385bef40
0x00000002385bef94  0x00000054  __TEXT,__text  sub  sub_2385bef94
0x00000002385befe8  0x00000014  __TEXT,__text  sub  sub_2385befe8
0x00000002385beffc  0x00000014  __TEXT,__text  sub  sub_2385beffc
0x00000002385bf010  0x00000014  __TEXT,__text  sub  sub_2385bf010
0x00000002385bf024  0x00000014  __TEXT,__text  sub  sub_2385bf024
0x00000002385bf038  0x0000004c  __TEXT,__text  sub  sub_2385bf038
0x00000002385bf084  0x00000034  __TEXT,__text  sub  sub_2385bf084
0x00000002385bf0b8  0x00000034  __TEXT,__text  sub  sub_2385bf0b8
0x00000002385bf0ec  0x00000044  __TEXT,__text  sub  sub_2385bf0ec
0x00000002385bf130  0x00000034  __TEXT,__text  sub  sub_2385bf130
0x00000002385bf164  0x00000020  __TEXT,__text  sub  sub_2385bf164
0x00000002385bf184  0x000008fc  __TEXT,__text  sub  sub_2385bf184
0x00000002385bfa80  0x00000060  __TEXT,__text  sub  sub_2385bfa80
0x00000002385bfae0  0x000008f8  __TEXT,__text  sub  sub_2385bfae0
0x00000002385c03d8  0x00000064  __TEXT,__text  sub  sub_2385c03d8
0x00000002385c043c  0x0000014c  __TEXT,__text  sub  sub_2385c043c
0x00000002385c0588  0x00000008  __TEXT,__text  sub  sub_2385c0588
0x00000002385c0590  0x00000018  __TEXT,__text  sub  sub_2385c0590
0x00000002385c05a8  0x00001008  __TEXT,__text  sub  sub_2385c05a8
0x00000002385c15b0  0x00000178  __TEXT,__text  sub  sub_2385c15b0
0x00000002385c1728  0x00000038  __TEXT,__text  sub  sub_2385c1728
0x00000002385c1760  0x00000174  __TEXT,__text  sub  sub_2385c1760
0x00000002385c18d4  0x00000e14  __TEXT,__text  sub  sub_2385c18d4
0x00000002385c26e8  0x0000048c  __TEXT,__text  sub  sub_2385c26e8
0x00000002385c2b74  0x00000018  __TEXT,__text  sub  sub_2385c2b74
0x00000002385c2b8c  0x00000bc0  __TEXT,__text  sub  sub_2385c2b8c
0x00000002385c374c  0x00000164  __TEXT,__text  sub  sub_2385c374c
0x00000002385c38b0  0x00000ed0  __TEXT,__text  sub  sub_2385c38b0
0x00000002385c4780  0x00000124  __TEXT,__text  sub  sub_2385c4780
0x00000002385c48a4  0x00000ce8  __TEXT,__text  sub  sub_2385c48a4
0x00000002385c558c  0x00000034  __TEXT,__text  sub  sub_2385c558c
0x00000002385c55c0  0x00000f7c  __TEXT,__text  sub  sub_2385c55c0
0x00000002385c653c  0x00000408  __TEXT,__text  sub  sub_2385c653c
0x00000002385c6944  0x000000a0  __TEXT,__text  sub  sub_2385c6944
0x00000002385c69e4  0x000001a4  __TEXT,__text  sub  sub_2385c69e4
0x00000002385c6b88  0x00000078  __TEXT,__text  sub  sub_2385c6b88
0x00000002385c6c00  0x000008fc  __TEXT,__text  sub  sub_2385c6c00
