//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CloudSharingUI.framework/Versions/A/CloudSharingUI
// arch:    arm64e
// uuid:    8A1362F2-DE58-3599-896C-10C78A2BD20E
// text:    0x00000002385f4000
// count:   3451 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002385f64c8  0x0000009c  __TEXT,__text  func  -[TChooseParticipantsViewController configureView]
0x00000002385f6564  0x00000060  __TEXT,__text  func  -[TChooseParticipantsViewController receivedControlTextDidChangeNotification]
0x00000002385f65c4  0x00000044  __TEXT,__text  func  -[TChooseParticipantsViewController delegate]
0x00000002385f6608  0x0000004c  __TEXT,__text  func  -[TChooseParticipantsViewController setDelegate:]
0x00000002385f6654  0x00000010  __TEXT,__text  func  -[TChooseParticipantsViewController setPlaceholderString:]
0x00000002385f6664  0x00000010  __TEXT,__text  func  -[TChooseParticipantsViewController isEnabled]
0x00000002385f6674  0x00000010  __TEXT,__text  func  -[TChooseParticipantsViewController setEnabled:]
0x00000002385f6684  0x0000008c  __TEXT,__text  func  -[TChooseParticipantsViewController showing]
0x00000002385f6710  0x000000a8  __TEXT,__text  func  -[TChooseParticipantsViewController addressingComplete]
0x00000002385f67b8  0x000000cc  __TEXT,__text  func  -[TChooseParticipantsViewController recipients]
0x00000002385f6884  0x00000010  __TEXT,__text  func  -[TChooseParticipantsViewController makeFirstResponder]
0x00000002385f6894  0x0000007c  __TEXT,__text  func  -[TChooseParticipantsViewController .cxx_destruct]
0x00000002385f6910  0x0000006c  __TEXT,__text  func  -[TChooseParticipantsView init]
0x00000002385f697c  0x000000e4  __TEXT,__text  func  -[TChooseParticipantsView accessibilityAttributeValue:]
0x00000002385f6a60  0x000002dc  __TEXT,__text  func  +[CSAddParticipantsRemoteViewController serviceViewControllerInterface]
0x00000002385f6d3c  0x000001d4  __TEXT,__text  func  +[CSAddParticipantsRemoteViewController exportedInterface]
0x00000002385f6f10  0x000000b0  __TEXT,__text  func  -[CSAddParticipantsRemoteViewController viewServiceDidTerminateWithError:]
0x00000002385f6fc0  0x0000009c  __TEXT,__text  func  -[CSAddParticipantsRemoteViewController dismissViewControllerWithError:shareURL:ckShare:]
0x00000002385f705c  0x00000064  __TEXT,__text  func  -[CSAddParticipantsRemoteViewController showContactPickerFromSourceRect:]
0x00000002385f70c0  0x00000034  __TEXT,__text  func  -[CSAddParticipantsRemoteViewController publicController]
0x00000002385f70f4  0x00000014  __TEXT,__text  func  -[CSAddParticipantsRemoteViewController setPublicController:]
0x00000002385f7108  0x00000010  __TEXT,__text  func  -[CSAddParticipantsRemoteViewController .cxx_destruct]
0x00000002385f7118  0x00000148  __TEXT,__text  func  -[CSAddressingViewModel initWithHeaderImageData:headerTitle:loadingText:supplementaryText:userInfoText:primaryButtonText:secondaryButtonText:]
0x00000002385f7260  0x00000008  __TEXT,__text  func  +[CSAddressingViewModel supportsSecureCoding]
0x00000002385f7268  0x000000d8  __TEXT,__text  func  -[CSAddressingViewModel encodeWithCoder:]
0x00000002385f7340  0x000001e0  __TEXT,__text  func  -[CSAddressingViewModel initWithCoder:]
0x00000002385f7520  0x00000008  __TEXT,__text  func  -[CSAddressingViewModel headerImageData]
0x00000002385f7528  0x00000044  __TEXT,__text  func  -[CSAddressingViewModel setHeaderImageData:]
0x00000002385f756c  0x00000008  __TEXT,__text  func  -[CSAddressingViewModel headerTitle]
0x00000002385f7574  0x00000044  __TEXT,__text  func  -[CSAddressingViewModel setHeaderTitle:]
0x00000002385f75b8  0x00000008  __TEXT,__text  func  -[CSAddressingViewModel loadingText]
0x00000002385f75c0  0x00000044  __TEXT,__text  func  -[CSAddressingViewModel setLoadingText:]
0x00000002385f7604  0x00000008  __TEXT,__text  func  -[CSAddressingViewModel supplementaryText]
0x00000002385f760c  0x00000044  __TEXT,__text  func  -[CSAddressingViewModel setSupplementaryText:]
0x00000002385f7650  0x00000008  __TEXT,__text  func  -[CSAddressingViewModel userInfoText]
0x00000002385f7658  0x00000044  __TEXT,__text  func  -[CSAddressingViewModel setUserInfoText:]
0x00000002385f769c  0x00000008  __TEXT,__text  func  -[CSAddressingViewModel primaryButtonText]
0x00000002385f76a4  0x00000044  __TEXT,__text  func  -[CSAddressingViewModel setPrimaryButtonText:]
0x00000002385f76e8  0x00000008  __TEXT,__text  func  -[CSAddressingViewModel secondaryButtonText]
0x00000002385f76f0  0x00000044  __TEXT,__text  func  -[CSAddressingViewModel setSecondaryButtonText:]
0x00000002385f7734  0x00000080  __TEXT,__text  func  -[CSAddressingViewModel .cxx_destruct]
0x00000002385f77b4  0x00000158  __TEXT,__text  func  -[CSAddressingViewController updateWithViewModel:]
0x00000002385f790c  0x0000006c  __TEXT,__text  func  -[CSAddressingViewController loadView]
0x00000002385f7978  0x00000014  __TEXT,__text  func  -[CSAddressingViewController .cxx_destruct]
0x00000002385f798c  0x00000008  __TEXT,__text  func  -[TCPTokenAddressTextStorage stripsFontAndColorFromAttachments]
0x00000002385f7994  0x00000068  __TEXT,__text  func  -[TCPTokenAddressTextView initWithFrame:]
0x00000002385f79fc  0x00000094  __TEXT,__text  func  -[TCPTokenAddressTextView initWithCoder:]
0x00000002385f7a90  0x00000090  __TEXT,__text  func  -[TCPTokenAddressTextView _tcpTokenAddressTextViewCommonInit]
0x00000002385f7b20  0x000000c4  __TEXT,__text  func  -[TCPTokenAddressTextView performDragOperation:]
0x00000002385f7be4  0x00000004  __TEXT,__text  func  -[TCPTokenAddressTextView designatedFocusRingView]
0x00000002385f7be8  0x0000005c  __TEXT,__text  func  -[TCPTokenAddressTextView noteFocusRingMaskChanged]
0x00000002385f7c44  0x000000f0  __TEXT,__text  func  -[TCPTokenAddressTextView mouseDown:]
0x00000002385f7d34  0x000000f0  __TEXT,__text  func  -[TCPTokenAddressTextView mouseUp:]
0x00000002385f7e24  0x00000010  __TEXT,__text  func  -[TCPTokenAddressTextView addressField]
0x00000002385f7e34  0x00000010  __TEXT,__text  func  -[TCPTokenAddressTextView setAddressField:]
0x00000002385f7e44  0x00000244  __TEXT,__text  func  +[TCPTokenAddress addressIsExternal:]
0x00000002385f8088  0x00000080  __TEXT,__text  func  +[TCPTokenAddress tokenWithAddress:]
0x00000002385f8108  0x00000124  __TEXT,__text  func  +[TCPTokenAddress tokenWithAddress:isRecent:contact:]
0x00000002385f822c  0x00000040  __TEXT,__text  func  __53+[TCPTokenAddress tokenWithAddress:isRecent:contact:]_block_invoke
0x00000002385f826c  0x00000220  __TEXT,__text  func  -[TCPTokenAddress refetchContact:]
0x00000002385f848c  0x000002e4  __TEXT,__text  func  -[TCPTokenAddress initWithAddress:isRecent:contact:]
0x00000002385f8770  0x000001d4  __TEXT,__text  func  -[TCPTokenAddress initWithName:rawAddress:addressType:isRecent:contact:]
0x00000002385f8944  0x000000a8  __TEXT,__text  func  -[TCPTokenAddress initWithGroup:]
0x00000002385f89ec  0x00000068  __TEXT,__text  func  -[TCPTokenAddress init]
0x00000002385f8a54  0x000000a4  __TEXT,__text  func  -[TCPTokenAddress _tcpTokenAddressCommonInit]
0x00000002385f8af8  0x000000d8  __TEXT,__text  func  -[TCPTokenAddress dealloc]
0x00000002385f8bd0  0x00000014  __TEXT,__text  func  __clang_call_terminate
0x00000002385f8be4  0x00000118  __TEXT,__text  func  -[TCPTokenAddress copyWithZone:]
0x00000002385f8cfc  0x000000bc  __TEXT,__text  func  -[TCPTokenAddress _formattedCurrentAddress]
