//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/ConfigurationProfiles.framework/Versions/A/ConfigurationProfiles
// arch:    arm64e
// uuid:    72DF65CA-9F2F-3F60-8215-7B954173268F
// text:    0x000000019e86c000
// count:   2655 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019e86d958  0x000000a4  __TEXT,__text  func  CP_CreatePersistentStoreDirectory
0x000000019e86d9fc  0x000009e0  __TEXT,__text  func  __CP_CreatePersistentStoreDirectory_block_invoke
0x000000019e86e3dc  0x00000248  __TEXT,__text  func  CP_GetPathForAuditToken
0x000000019e86e624  0x00000110  __TEXT,__text  func  SecCodeGetPath
0x000000019e86e734  0x00000044  __TEXT,__text  objc  +[CPProfileManager sharedProfileManager:]  // +[CPProfileManager ?]
0x000000019e86e778  0x00000050  __TEXT,__text  objc  -[CPProfileManager initWithData:]  // -[CPProfileManager ?]
0x000000019e86e7c8  0x0000002c  __TEXT,__text  func  MCXLoggingInit
0x000000019e86e7f4  0x000000a4  __TEXT,__text  func  __MCXLoggingInit_block_invoke
0x000000019e86e898  0x000000ec  __TEXT,__text  objc  -[CPProfileManager profilesForUserRecord:error:]  // -[CPProfileManager ?]
0x000000019e86e984  0x00000038  __TEXT,__text  func  GetMCXLogging
0x000000019e86e9bc  0x00000030  __TEXT,__text  func  __GetMCXLogging_block_invoke
0x000000019e86e9ec  0x0000034c  __TEXT,__text  func  SendToMCXLog
0x000000019e86ed38  0x00000234  __TEXT,__text  func  ReadDebugLevel
0x000000019e86ef6c  0x00000050  __TEXT,__text  objc  -[CPProfileManager(ProfileManagerUtils) guidForUser:]  // -[CPProfileManager ?]
0x000000019e86efbc  0x000000ec  __TEXT,__text  objc  -[CPProfileManager profilesForUser:error:]  // -[CPProfileManager ?]
0x000000019e86f0a8  0x00000008  __TEXT,__text  func  MIG_ProfilesForUserAsCPProfile
0x000000019e86f0b0  0x00000200  __TEXT,__text  func  GetMCXAgentPort
0x000000019e86f2b0  0x00000128  __TEXT,__text  func  GetMCXAgentPort
0x000000019e86f3d8  0x00000004  __TEXT,__text  func  DataAndBytesAndLengthFromArray_VM  // aliases: DataAndBytesAndLengthFromDictionary_VM
0x000000019e86f3dc  0x000000a0  __TEXT,__text  func  DataAndBytesAndLengthFromPropertyList_VM
0x000000019e86f47c  0x000001dc  __TEXT,__text  func  DataAndBytesAndLengthFromData_VM
0x000000019e86f658  0x000001d8  __TEXT,__text  func  mcxUsr_persistentstorecmd
0x000000019e86f830  0x000000b4  __TEXT,__text  func  DictionaryCreateFromBytesAndLength
0x000000019e86f8e4  0x00000078  __TEXT,__text  func  DictionaryCreateFromBytesAndLength
0x000000019e86f95c  0x00000150  __TEXT,__text  func  PropertyListCreateFromBytesAndLength
0x000000019e86faac  0x000000a4  __TEXT,__text  objc  -[CPProfile initWithConfigurationProfileDictionary:error:]  // -[CPProfile ?]
0x000000019e86fb50  0x0000031c  __TEXT,__text  objc  -[CPProfile _initFromDict:error:]  // -[CPProfile ?]
0x000000019e86fe6c  0x000003a4  __TEXT,__text  objc  -[CPProfile validateKeys]  // -[CPProfile ?]
0x000000019e870210  0x0000000c  __TEXT,__text  objc  -[CPProfile profileUUID]  // -[CPProfile ?]
0x000000019e87021c  0x0000000c  __TEXT,__text  objc  -[CPProfile profileIdentifier]  // -[CPProfile @0]
0x000000019e870228  0x0000000c  __TEXT,__text  objc  -[CPProfile name]  // -[CPProfile ?]
0x000000019e870234  0x0000000c  __TEXT,__text  objc  -[CPProfile profileType]  // -[CPProfile ?]
0x000000019e870240  0x0000000c  __TEXT,__text  objc  -[CPProfile configurationItems]  // -[CPProfile ?]
0x000000019e87024c  0x00000090  __TEXT,__text  objc  -[CPProfile setUserData:forKey:]  // -[CPProfile R]
0x000000019e8702dc  0x00000158  __TEXT,__text  func  AddExtraProfileDictFieldsToCPProfile
0x000000019e870434  0x00000058  __TEXT,__text  objc  -[CPProfile setInternalData:]  // -[CPProfile ?]
0x000000019e87048c  0x00000008  __TEXT,__text  objc  -[CPProfile setAssignedUserName:]  // -[CPProfile ?]
0x000000019e870494  0x00000008  __TEXT,__text  objc  -[CPProfile setAssignedUserGUID:]  // -[CPProfile ?]
0x000000019e87049c  0x00000008  __TEXT,__text  objc  -[CPProfile setInstallationDate:]  // -[CPProfile ?]
0x000000019e8704a4  0x00000038  __TEXT,__text  objc  -[CPProfile installedFromDEP]  // -[CPProfile ?]
0x000000019e8704dc  0x000000d0  __TEXT,__text  objc  -[CPProfile effectiveRemovalDate]  // -[CPProfile ?]
0x000000019e8705ac  0x00000028  __TEXT,__text  objc  -[CPProfile isFinalOTAProfile]  // -[CPProfile ?]
0x000000019e8705d4  0x00000030  __TEXT,__text  objc  -[CPProfile userDataForKey:]  // -[CPProfile ?]
0x000000019e870604  0x0000000c  __TEXT,__text  objc  -[CPProfile installationDate]  // -[CPProfile ?]
0x000000019e870610  0x0000000c  __TEXT,__text  objc  -[CPProfile organization]  // -[CPProfile uL]
0x000000019e87061c  0x00000038  __TEXT,__text  objc  -[CPProfile installedByMDM]  // -[CPProfile ?]
0x000000019e870654  0x00000074  __TEXT,__text  func  CP_SetXPCSuccess
0x000000019e8706c8  0x000000b0  __TEXT,__text  objc  -[CPProfile dealloc]  // -[CPProfile ?]
0x000000019e870778  0x00000040  __TEXT,__text  objc  -[CPProfile setAuthorizationRef:]  // -[CPProfile ]
0x000000019e8707b8  0x0000006c  __TEXT,__text  func  CP_GetXPCSuccess
0x000000019e870824  0x0000000c  __TEXT,__text  objc  +[CPProfileManager getMode]  // +[CPProfileManager ?]
0x000000019e870830  0x00000004  __TEXT,__text  objc  -[CPProfile configurationProfileDictionary]  // -[CPProfile ?]
0x000000019e870834  0x000001b0  __TEXT,__text  objc  -[CPProfile configurationProfileMutableDictionary]  // -[CPProfile ?]
0x000000019e8709e4  0x00000008  __TEXT,__text  objc  -[CPProfile internalData]  // -[CPProfile ?]
0x000000019e8709ec  0x00000014  __TEXT,__text  func  CP_CloudConfigRecordNotFoundHintFlagFileLocation
0x000000019e870a00  0x00000014  __TEXT,__text  func  CP_CloudConfigNoActivationRecordHintFlagFileLocation
0x000000019e870a14  0x0000004c  __TEXT,__text  objc  -[NSArray(MCXExtensions) firstObject]  // -[?(MCXExtensions) ?]
0x000000019e870a60  0x00000388  __TEXT,__text  objc  +[MCXPlugInKitManagement allowUseOfPlugIn:byPid:flags:]  // +[MCXPlugInKitManagement ?]
0x000000019e870de8  0x00000038  __TEXT,__text  objc  +[MCXPlugInKitManagementCache sharedObject]  // +[MCXPlugInKitManagementCache dbp->used_bytes<=dbp->size]
0x000000019e870e20  0x00000028  __TEXT,__text  func  __43+[MCXPlugInKitManagementCache sharedObject]_block_invoke
0x000000019e870e48  0x00000078  __TEXT,__text  objc  -[MCXPlugInKitManagementCache init]  // -[MCXPlugInKitManagementCache ?]
0x000000019e870ec0  0x000000ac  __TEXT,__text  func  __InitListenForMCXChanges_block_invoke
0x000000019e870f6c  0x0000000c  __TEXT,__text  objc  +[MCXPlugInKitManagement managementChangedNotificationName]  // +[MCXPlugInKitManagement ?]
0x000000019e870f78  0x00000140  __TEXT,__text  objc  -[MCXPlugInKitManagementCache reloadIfNeeded]  // -[MCXPlugInKitManagementCache ?]
0x000000019e8710b8  0x0000027c  __TEXT,__text  func  __PerformShareKitMigrationIfNeeded_block_invoke
0x000000019e871334  0x00000008  __TEXT,__text  objc  -[MCXPlugInKitManagementCache ourFamilyControlsChangeCount]  // -[MCXPlugInKitManagementCache ?]
0x000000019e87133c  0x000000a0  __TEXT,__text  objc  -[MCXPlugInKitManagementCache reloadFamilyControls]  // -[MCXPlugInKitManagementCache ?]
0x000000019e8713dc  0x00000008  __TEXT,__text  objc  -[MCXPlugInKitManagementCache setOurFamilyControlsChangeCount:]  // -[MCXPlugInKitManagementCache ?]
0x000000019e8713e4  0x00000008  __TEXT,__text  objc  -[MCXPlugInKitManagementCache setHaveAppLaunchRestrictions:]  // -[MCXPlugInKitManagementCache ?]
0x000000019e8713ec  0x0000000c  __TEXT,__text  objc  -[MCXPlugInKitManagementCache lastLSPlugInQueryDate]  // -[MCXPlugInKitManagementCache ?]
0x000000019e8713f8  0x00000008  __TEXT,__text  objc  -[MCXPlugInKitManagementCache ourPlugInKitPayloadChangeCount]  // -[MCXPlugInKitManagementCache ?]
0x000000019e871400  0x0000006c  __TEXT,__text  objc  -[MCXPlugInKitManagementCache setAllLSPlugIns:]  // -[MCXPlugInKitManagementCache ?]
0x000000019e87146c  0x0000000c  __TEXT,__text  objc  -[MCXPlugInKitManagementCache localizedNamesByExtensionID]  // -[MCXPlugInKitManagementCache ?]
0x000000019e871478  0x00000008  __TEXT,__text  objc  -[MCXPlugInKitManagementCache setRules:]  // -[MCXPlugInKitManagementCache removeAllNotifications]
0x000000019e871480  0x0000011c  __TEXT,__text  objc  -[MCXPlugInKitManagementCache reloadPlugInKitSettings]  // -[MCXPlugInKitManagementCache ?]
0x000000019e87159c  0x00000008  __TEXT,__text  objc  -[MCXPlugInKitManagementCache setOurPlugInKitPayloadChangeCount:]  // -[MCXPlugInKitManagementCache ?]
0x000000019e8715a4  0x00000010  __TEXT,__text  func  CP_ReadSecureSettingsForDevice
0x000000019e8715b4  0x00000054  __TEXT,__text  objc  +[CPMCXTools secureSettingsForDeviceDomain:]  // +[CPMCXTools ?]
0x000000019e871608  0x00000038  __TEXT,__text  objc  +[CPMCXTools secureSettingsPathForDeviceDomain:]  // +[CPMCXTools ?]
0x000000019e871640  0x0000000c  __TEXT,__text  objc  +[CPMCXTools secureSettingsFolderForDevice]  // +[CPMCXTools ?]
0x000000019e87164c  0x0000007c  __TEXT,__text  func  SecureSettingsPathForDomain
0x000000019e8716c8  0x00000018  __TEXT,__text  objc  +[CPMCXTools secureSettingsCleanPathComponent:]  // +[CPMCXTools ?]
0x000000019e8716e0  0x00000014  __TEXT,__text  func  CP_ReadSecureSettingsForUser
0x000000019e8716f4  0x00000054  __TEXT,__text  objc  +[CPMCXTools secureSettingsForUID:domain:]  // +[CPMCXTools ?]
0x000000019e871748  0x00000038  __TEXT,__text  objc  +[CPMCXTools secureSettingsPathForUID:domain:]  // +[CPMCXTools ?]
0x000000019e871780  0x000001cc  __TEXT,__text  objc  +[CPMCXTools secureSettingsFolderForUID:]  // +[CPMCXTools ?]
0x000000019e87194c  0x00000274  __TEXT,__text  objc  +[CPMCXTools secureSettingsFolderForUIDNew:]  // +[CPMCXTools ?]
0x000000019e871bc0  0x00000080  __TEXT,__text  objc  +[CPMCXTools secureSettingsFolderForUIDLegacy:]  // +[CPMCXTools ?]
0x000000019e871c40  0x00000144  __TEXT,__text  objc  -[MCXPlugInKitManagementCache denyExtensionID:extensionPoint:]  // -[MCXPlugInKitManagementCache 
.]
0x000000019e871d84  0x0000000c  __TEXT,__text  objc  -[MCXPlugInKitManagementCache rules]  // -[MCXPlugInKitManagementCache ?]
0x000000019e871d90  0x0000000c  __TEXT,__text  objc  -[MCXPlugInKitManagementCache haveAppLaunchRestrictions]  // -[MCXPlugInKitManagementCache ?]
0x000000019e871d9c  0x0000000c  __TEXT,__text  func  __InitListenForMCXChanges_block_invoke_2
0x000000019e871da8  0x00000014  __TEXT,__text  func  CP_ProfilesAreInstalledHintFlagFileLocation
0x000000019e871dbc  0x00000014  __TEXT,__text  func  CP_PasscodePoliciesAreInstalledHintFlagFileLocation
0x000000019e871dd0  0x00000008  __TEXT,__text  func  DisableMCXDebug
