//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/ContextSync.framework/Versions/A/ContextSync
// arch:    arm64e
// uuid:    D465BD69-3A17-3B9D-80F8-B1E1440953F2
// text:    0x0000000239477000
// count:   635 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000239478290  0x000000d0  __TEXT,__text  func  -[BMDistributedContextTranslatedEventMessage initWithStreamIdentifier:eventData:eventDataVersion:]
0x0000000239478360  0x00000008  __TEXT,__text  func  -[BMDistributedContextTranslatedEventMessage streamIdentifier]
0x0000000239478368  0x00000044  __TEXT,__text  func  -[BMDistributedContextTranslatedEventMessage setStreamIdentifier:]
0x00000002394783ac  0x00000008  __TEXT,__text  func  -[BMDistributedContextTranslatedEventMessage eventData]
0x00000002394783b4  0x00000044  __TEXT,__text  func  -[BMDistributedContextTranslatedEventMessage setEventData:]
0x00000002394783f8  0x00000008  __TEXT,__text  func  -[BMDistributedContextTranslatedEventMessage eventDataVersion]
0x0000000239478400  0x00000044  __TEXT,__text  func  -[BMDistributedContextTranslatedEventMessage setEventDataVersion:]
0x0000000239478444  0x00000050  __TEXT,__text  func  -[BMDistributedContextTranslatedEventMessage .cxx_destruct]
0x0000000239478494  0x00000078  __TEXT,__text  func  -[BMDistributedContextEventTranslation initWithLocalDeviceIdentifier:]
0x000000023947850c  0x000005c8  __TEXT,__text  func  -[BMDistributedContextEventTranslation translateEvent:]
0x0000000239478ad4  0x00000110  __TEXT,__text  func  getBMContextSyncLOIIdentifier
0x0000000239478be4  0x00000110  __TEXT,__text  func  getBMContextSyncDeviceActivityLevelIdentifier
0x0000000239478cf4  0x00000110  __TEXT,__text  func  getBMContextSyncCellularAvailabilityStatusIdentifier
0x0000000239478e04  0x00000110  __TEXT,__text  func  getBMContextSyncWalletTransactionIdentifier
0x0000000239478f14  0x000000e0  __TEXT,__text  func  getBMAppInFocusClass
0x0000000239478ff4  0x00000110  __TEXT,__text  func  getBMContextSyncAppInFocusIdentifier
0x0000000239479104  0x000000d4  __TEXT,__text  func  -[BMDistributedContextEventTranslation contextSyncLOIFromSemanticLocationEvent:]
0x00000002394791d8  0x000000e0  __TEXT,__text  func  getBMContextSyncLOIClass
0x00000002394792b8  0x000001c0  __TEXT,__text  func  -[BMDistributedContextEventTranslation contextSyncActivityLevelEventFromEvent:]
0x0000000239479478  0x000000e0  __TEXT,__text  func  getBMContextSyncDeviceActivityLevelDeviceActivityStateClass
0x0000000239479558  0x000000e0  __TEXT,__text  func  getBMContextSyncDeviceActivityLevelClass
0x0000000239479638  0x00000174  __TEXT,__text  func  -[BMDistributedContextEventTranslation contextSyncCellularStatusFromEvent:]
0x00000002394797ac  0x000000e0  __TEXT,__text  func  getBMContextSyncCellularAvailabilityStatusClass
