//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CoreCaptureDaemon.framework/Versions/A/CoreCaptureDaemon
// arch:    arm64e
// uuid:    D5EBEAD7-0014-3DDF-BAC9-D1CBB443B875
// text:    0x00000001e4b7b000
// count:   606 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001e4b7c020  0x000003f8  __TEXT,__text  func  CoreCaptureStart
0x00000001e4b7c418  0x000001ec  __TEXT,__text  cxx  __ZL12getOsVersionPc  // getOsVersion(char*)
0x00000001e4b7c604  0x00000238  __TEXT,__text  cxx  __ZN16CCServiceMonitor17servicesPublishedEj  // CCServiceMonitor::servicesPublished(unsigned int)
0x00000001e4b7c83c  0x00000028  __TEXT,__text  cxx  __ZN19CCIOReportDumpQueue15processorThreadEPv  // CCIOReportDumpQueue::processorThread(void*)
0x00000001e4b7c864  0x00000fd0  __TEXT,__text  cxx  __ZN19CCIOReportDumpQueue16_processorThreadEv  // CCIOReportDumpQueue::_processorThread()
0x00000001e4b7d834  0x00000710  __TEXT,__text  cxx  __ZN13CCPipeMonitor16servicePublishedEj  // CCPipeMonitor::servicePublished(unsigned int)
0x00000001e4b7df44  0x000001ec  __TEXT,__text  cxx  __ZN9CCDataTap21initWithRegistryEntryEj  // CCDataTap::initWithRegistryEntry(unsigned int)
0x00000001e4b7e130  0x0000000c  __TEXT,__text  cxx  __ZN19CCDataPipeInterface15getUserClientIDEv  // CCDataPipeInterface::getUserClientID()
0x00000001e4b7e13c  0x0000001c  __TEXT,__text  cxx  __ZN19CCDataPipeInterface14openUserClientEv  // CCDataPipeInterface::openUserClient()
0x00000001e4b7e158  0x000001bc  __TEXT,__text  cxx  __ZN5CCTap21initWithRegistryEntryEj  // CCTap::initWithRegistryEntry(unsigned int)
0x00000001e4b7e314  0x00000020  __TEXT,__text  cxx  __ZNK8CCObject6retainEv  // CCObject::retain() const
0x00000001e4b7e334  0x0000004c  __TEXT,__text  cxx  __ZN5CCTap14runDrainThreadEPv  // CCTap::runDrainThread(void*)
0x00000001e4b7e380  0x00000428  __TEXT,__text  cxx  __ZN9CCDataTap7tapLoopEv  // CCDataTap::tapLoop()
0x00000001e4b7e7a8  0x000006e8  __TEXT,__text  cxx  __ZN15CCPipeInterface19setNotificationPortEv  // CCPipeInterface::setNotificationPort()
0x00000001e4b7ee90  0x00000460  __TEXT,__text  cxx  __ZN8CCLogTap21initWithRegistryEntryEj  // CCLogTap::initWithRegistryEntry(unsigned int)
0x00000001e4b7f2f0  0x0000000c  __TEXT,__text  cxx  __ZN18CCLogPipeInterface15getUserClientIDEv  // CCLogPipeInterface::getUserClientID()
0x00000001e4b7f2fc  0x0000001c  __TEXT,__text  cxx  __ZN18CCLogPipeInterface14openUserClientEv  // CCLogPipeInterface::openUserClient()
0x00000001e4b7f318  0x00000428  __TEXT,__text  cxx  __ZN8CCLogTap7tapLoopEv  // CCLogTap::tapLoop()
0x00000001e4b7f740  0x0000026c  __TEXT,__text  cxx  __ZN16CCServiceMonitor18servicesTerminatedEj  // CCServiceMonitor::servicesTerminated(unsigned int)
0x00000001e4b7f9ac  0x00000258  __TEXT,__text  cxx  __ZN16CCProfileMonitor17initWithConfigureEP11CCConfigure  // CCProfileMonitor::initWithConfigure(CCConfigure*)
0x00000001e4b7fc04  0x00001514  __TEXT,__text  cxx  __ZN16CCProfileMonitor15profileCallbackEi  // CCProfileMonitor::profileCallback(int)
0x00000001e4b81118  0x00000200  __TEXT,__text  cxx  __ZN12CCXPCService31initWithConfigureAndPipeMonitorEP11CCConfigureP13CCPipeMonitor  // CCXPCService::initWithConfigureAndPipeMonitor(CCConfigure*, CCPipeMonitor*)
0x00000001e4b81318  0x000002d0  __TEXT,__text  cxx  __ZN11CCXPCRemote17initWithConfigureEP11CCConfigure  // CCXPCRemote::initWithConfigure(CCConfigure*)
0x00000001e4b815e8  0x00000008  __TEXT,__text  cxx  __ZN11CCXPCRemote6listenEv  // CCXPCRemote::listen()
0x00000001e4b815f0  0x000006a0  __TEXT,__text  func  ___ZN16CCProfileMonitor21setStreamEventHandlerEv_block_invoke
0x00000001e4b81c90  0x000005e8  __TEXT,__text  cxx  __ZN13CCPipeMonitor23cleanCaptureDirectoriesEv  // CCPipeMonitor::cleanCaptureDirectories()
0x00000001e4b82278  0x00000114  __TEXT,__text  cxx  __ZN5CCTap23cleanCaptureDirectoriesEv  // CCTap::cleanCaptureDirectories()
0x00000001e4b8238c  0x00000008  __TEXT,__text  cxx  __ZN5CCTap8isActiveEd  // CCTap::isActive(double)
0x00000001e4b82394  0x000004b8  __TEXT,__text  cxx  __ZN8CCLogTap8isActiveEd  // CCLogTap::isActive(double)
0x00000001e4b8284c  0x000004bc  __TEXT,__text  cxx  __ZL21pruneDirectoryNDaysDoPKcill  // pruneDirectoryNDaysDo(char const*, int, long, long)
0x00000001e4b82d08  0x000002e0  __TEXT,__text  cxx  __ZN8CCDaemon8shutdownEv  // CCDaemon::shutdown()
