//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CoreThread.framework/Versions/A/CoreThread
// arch:    arm64e
// uuid:    8BA76C1F-DAC8-3D70-AB00-1F6E62778E61
// text:    0x000000023f2d6000
// count:   169 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000023f2d6d58  0x000000d0  __TEXT,__text  func  -[THFrozenThreadNetwork initWithCredentialsDataSet:creationDate:lastModificationDate:]
0x000000023f2d6e28  0x00000008  __TEXT,__text  func  -[THFrozenThreadNetwork credentialsDataSet]
0x000000023f2d6e30  0x00000008  __TEXT,__text  func  -[THFrozenThreadNetwork creationDate]
0x000000023f2d6e38  0x00000008  __TEXT,__text  func  -[THFrozenThreadNetwork lastModificationDate]
0x000000023f2d6e40  0x00000050  __TEXT,__text  func  -[THFrozenThreadNetwork .cxx_destruct]
0x000000023f2d6e90  0x000000b4  __TEXT,__text  func  -[THThreadNetworkBorderAgent initWithBaDiscrId:]
0x000000023f2d6f44  0x00000088  __TEXT,__text  func  -[THThreadNetworkBorderAgent initWithCoder:]
0x000000023f2d6fcc  0x00000070  __TEXT,__text  func  -[THThreadNetworkBorderAgent encodeWithCoder:]
0x000000023f2d703c  0x00000008  __TEXT,__text  func  +[THThreadNetworkBorderAgent supportsSecureCoding]
0x000000023f2d7044  0x00000008  __TEXT,__text  func  -[THThreadNetworkBorderAgent discriminatorId]
0x000000023f2d704c  0x0000000c  __TEXT,__text  func  -[THThreadNetworkBorderAgent .cxx_destruct]
0x000000023f2d7058  0x00000158  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord initWithNetwork:credentials:uniqueIdentifier:keychainAccessGroup:creationDate:lastModificationDate:]
0x000000023f2d71b0  0x00000210  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord initWithCoder:]
0x000000023f2d73c0  0x00000168  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord encodeWithCoder:]
0x000000023f2d7528  0x00000008  __TEXT,__text  func  +[THThreadNetworkCredentialsStoreRecord supportsSecureCoding]
0x000000023f2d7530  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord network]
0x000000023f2d7538  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord credentials]
0x000000023f2d7540  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord uniqueIdentifier]
0x000000023f2d7548  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord keychainAccessGroup]
0x000000023f2d7550  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord creationDate]
0x000000023f2d7558  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord lastModificationDate]
0x000000023f2d7560  0x00000074  __TEXT,__text  func  -[THThreadNetworkCredentialsStoreRecord .cxx_destruct]
0x000000023f2d75d4  0x0000015c  __TEXT,__text  func  -[THPreferredThreadNetwork initWithThreadNetwork:networkSignature:credentialsDataSetRecord:creationDate:lastModificationDate:userInfo:]
0x000000023f2d7730  0x00000044  __TEXT,__text  func  -[THPreferredThreadNetwork updateUserInfo:]
0x000000023f2d7774  0x000001cc  __TEXT,__text  func  -[THPreferredThreadNetwork initWithCoder:]
0x000000023f2d7940  0x00000168  __TEXT,__text  func  -[THPreferredThreadNetwork encodeWithCoder:]
0x000000023f2d7aa8  0x00000008  __TEXT,__text  func  +[THPreferredThreadNetwork supportsSecureCoding]
0x000000023f2d7ab0  0x00000008  __TEXT,__text  func  -[THPreferredThreadNetwork network]
0x000000023f2d7ab8  0x00000008  __TEXT,__text  func  -[THPreferredThreadNetwork networkSignature]
0x000000023f2d7ac0  0x00000008  __TEXT,__text  func  -[THPreferredThreadNetwork credentialsDataSetRecord]
0x000000023f2d7ac8  0x00000008  __TEXT,__text  func  -[THPreferredThreadNetwork userInfo]
0x000000023f2d7ad0  0x00000008  __TEXT,__text  func  -[THPreferredThreadNetwork setUserInfo:]
0x000000023f2d7ad8  0x00000008  __TEXT,__text  func  -[THPreferredThreadNetwork creationDate]
0x000000023f2d7ae0  0x00000008  __TEXT,__text  func  -[THPreferredThreadNetwork lastModificationDate]
0x000000023f2d7ae8  0x00000074  __TEXT,__text  func  -[THPreferredThreadNetwork .cxx_destruct]
0x000000023f2d7b5c  0x0000000c  __TEXT,__text  func  -[THThreadNetworkCredentialsDataSet init]
0x000000023f2d7b68  0x000000a8  __TEXT,__text  func  -[THThreadNetworkCredentialsDataSet initWithDataSetArray:userInfo:]
0x000000023f2d7c10  0x000000bc  __TEXT,__text  func  -[THThreadNetworkCredentialsDataSet initWithCoder:]
0x000000023f2d7ccc  0x000000a8  __TEXT,__text  func  -[THThreadNetworkCredentialsDataSet encodeWithCoder:]
0x000000023f2d7d74  0x00000008  __TEXT,__text  func  +[THThreadNetworkCredentialsDataSet supportsSecureCoding]
0x000000023f2d7d7c  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsDataSet dataSetArray]
0x000000023f2d7d84  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsDataSet setDataSetArray:]
0x000000023f2d7d8c  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsDataSet userInfo]
0x000000023f2d7d94  0x00000008  __TEXT,__text  func  -[THThreadNetworkCredentialsDataSet setUserInfo:]
