//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CoreUtils.framework/Versions/A/CoreUtils
// arch:    arm64e
// uuid:    DCF4FA98-C827-3C83-9EE4-8CFB4CC6AC6C
// text:    0x000000018f303000
// count:   7354 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000018f304470  0x0000006c  __TEXT,__text  func  UpTicksToMilliseconds
0x000000018f3044dc  0x0000005c  __TEXT,__text  func  _UpTicksPerSecondInit
0x000000018f304538  0x00000008  __TEXT,__text  objc  -[CUDashboardClient activate]  // -[CUDashboardClient ]
0x000000018f304540  0x00000038  __TEXT,__text  func  __IsAppleInternalBuild_block_invoke
0x000000018f304578  0x00000094  __TEXT,__text  func  CFPropertyListCreateFromFilePath
0x000000018f30460c  0x000000c0  __TEXT,__text  func  CFDataCreateWithFilePath
0x000000018f3046cc  0x00000148  __TEXT,__text  func  _LogCategory_Initialize
0x000000018f304814  0x000000a8  __TEXT,__text  func  LogUtils_EnsureInitialized
0x000000018f3048bc  0x000000ec  __TEXT,__text  func  _LogUtils_ReadCFPreferences
0x000000018f3049a8  0x0000063c  __TEXT,__text  func  _LogCategory_ApplyActions
0x000000018f304fe4  0x00000060  __TEXT,__text  func  _LogOutputDeleteUnused
0x000000018f305044  0x00000790  __TEXT,__text  func  _LogOutputCreate
0x000000018f3057d4  0x0000007c  __TEXT,__text  func  strnicmpx
0x000000018f305850  0x000003e4  __TEXT,__text  func  _LogOutputOSLog_Setup
0x000000018f305c34  0x0000002c  __TEXT,__text  func  LogPrintF
0x000000018f305c60  0x000005b4  __TEXT,__text  func  LogPrintV
0x000000018f306214  0x00000078  __TEXT,__text  func  VCPrintF
0x000000018f30628c  0x0000312c  __TEXT,__text  func  PrintFCoreVAList
0x000000018f3093b8  0x000000f0  __TEXT,__text  sub  sub_18f3093b8
0x000000018f3094a8  0x00000084  __TEXT,__text  sub  sub_18f3094a8
0x000000018f30952c  0x00000008  __TEXT,__text  func  PrintFCallBackUserCallBack
0x000000018f309534  0x000000bc  __TEXT,__text  func  _LogPrintFCallBack
0x000000018f3095f0  0x0000002c  __TEXT,__text  func  SNPrintF
0x000000018f30961c  0x00000064  __TEXT,__text  func  VSNPrintF
0x000000018f309680  0x00000178  __TEXT,__text  func  PrintFWriteText
0x000000018f3097f8  0x00000084  __TEXT,__text  func  PrintFCallBackFixedString
0x000000018f30987c  0x000001a8  __TEXT,__text  func  DebugGetErrorStringEx
0x000000018f309a24  0x0000013c  __TEXT,__text  func  _LogPrintFWrite
0x000000018f309b60  0x00000304  __TEXT,__text  func  _LogOutputOSLog_Writer
0x000000018f309e64  0x000000fc  __TEXT,__text  func  _LogCategoryGetOSLogHandle
0x000000018f309f60  0x00000008  __TEXT,__text  objc  -[CUDashboardClient logJSON:]  // -[CUDashboardClient ?]
0x000000018f309f68  0x0000002c  __TEXT,__text  func  CPrintF
0x000000018f309f94  0x00000080  __TEXT,__text  func  strndup
0x000000018f30a014  0x0000006c  __TEXT,__text  func  CoreAudioGetPropertyData
0x000000018f30a080  0x000000b4  __TEXT,__text  func  initAudioObjectGetPropertyData
0x000000018f30a134  0x0000002c  __TEXT,__text  func  __CoreAudioLibrary_block_invoke
0x000000018f30a160  0x00000128  __TEXT,__text  func  CoreAudioCopyPropertyData
0x000000018f30a288  0x000000ac  __TEXT,__text  func  initAudioObjectGetPropertyDataSize
0x000000018f30a334  0x000000a8  __TEXT,__text  func  CoreAudioFindDeviceByUID
0x000000018f30a3dc  0x000001bc  __TEXT,__text  func  _LogOutputSysLog_Setup
0x000000018f30a598  0x00000044  __TEXT,__text  func  CoreAudioSetPropertyData
0x000000018f30a5dc  0x000000b4  __TEXT,__text  func  initAudioObjectSetPropertyData
0x000000018f30a690  0x00000058  __TEXT,__text  func  CoreAudioGetDefaultAudioDevice
0x000000018f30a6e8  0x00000038  __TEXT,__text  sub  sub_18f30a6e8
0x000000018f30a720  0x00000038  __TEXT,__text  sub  sub_18f30a720
0x000000018f30a758  0x0000004c  __TEXT,__text  sub  sub_18f30a758
0x000000018f30a7a4  0x00000038  __TEXT,__text  sub  sub_18f30a7a4
0x000000018f30a7dc  0x0000006c  __TEXT,__text  sub  sub_18f30a7dc
0x000000018f30a848  0x0000038c  __TEXT,__text  sub  sub_18f30a848
0x000000018f30abd4  0x00000064  __TEXT,__text  sub  sub_18f30abd4
