//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CryptoKitPrivate.framework/Versions/A/CryptoKitPrivate
// arch:    arm64e
// uuid:    1F1B7999-4A4D-3CE9-B7B8-880227616365
// text:    0x000000023f886000
// count:   2865 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000023f887748  0x00000004  __TEXT,__text  sub  sub_23f887748
0x000000023f88774c  0x00000028  __TEXT,__text  sub  sub_23f88774c
0x000000023f887774  0x00000004  __TEXT,__text  sub  sub_23f887774
0x000000023f887778  0x00000004  __TEXT,__text  sub  sub_23f887778
0x000000023f88777c  0x00000004  __TEXT,__text  sub  sub_23f88777c
0x000000023f887780  0x00000004  __TEXT,__text  sub  sub_23f887780
0x000000023f887784  0x00000004  __TEXT,__text  sub  sub_23f887784
0x000000023f887788  0x00000020  __TEXT,__text  sub  sub_23f887788
0x000000023f8877a8  0x0000002c  __TEXT,__text  sub  sub_23f8877a8
0x000000023f8877d4  0x00000020  __TEXT,__text  sub  sub_23f8877d4
0x000000023f8877f4  0x00000028  __TEXT,__text  sub  sub_23f8877f4
0x000000023f88781c  0x00000004  __TEXT,__text  sub  sub_23f88781c
0x000000023f887820  0x00000004  __TEXT,__text  sub  sub_23f887820
0x000000023f887824  0x00000010  __TEXT,__text  sub  sub_23f887824
0x000000023f887834  0x00000040  __TEXT,__text  sub  sub_23f887834
0x000000023f887874  0x00000004  __TEXT,__text  sub  sub_23f887874
0x000000023f887878  0x00000038  __TEXT,__text  sub  sub_23f887878
0x000000023f8878b0  0x00000004  __TEXT,__text  sub  sub_23f8878b0
0x000000023f8878b4  0x00000004  __TEXT,__text  sub  sub_23f8878b4
0x000000023f8878b8  0x00000004  __TEXT,__text  sub  sub_23f8878b8
0x000000023f8878bc  0x00000004  __TEXT,__text  sub  sub_23f8878bc
0x000000023f8878c0  0x00000004  __TEXT,__text  sub  sub_23f8878c0
0x000000023f8878c4  0x00000014  __TEXT,__text  sub  sub_23f8878c4
0x000000023f8878d8  0x00000010  __TEXT,__text  sub  sub_23f8878d8
0x000000023f8878e8  0x00000004  __TEXT,__text  sub  sub_23f8878e8
0x000000023f8878ec  0x00000004  __TEXT,__text  sub  sub_23f8878ec
0x000000023f8878f0  0x00000058  __TEXT,__text  sub  sub_23f8878f0
0x000000023f887948  0x00000058  __TEXT,__text  sub  sub_23f887948
0x000000023f8879a0  0x00000038  __TEXT,__text  sub  sub_23f8879a0
0x000000023f8879d8  0x00000014  __TEXT,__text  sub  sub_23f8879d8
0x000000023f8879ec  0x00000020  __TEXT,__text  sub  sub_23f8879ec
0x000000023f887a0c  0x00000020  __TEXT,__text  sub  sub_23f887a0c
0x000000023f887a2c  0x00000020  __TEXT,__text  sub  sub_23f887a2c
0x000000023f887a4c  0x00000020  __TEXT,__text  sub  sub_23f887a4c
0x000000023f887a6c  0x00000018  __TEXT,__text  sub  sub_23f887a6c
0x000000023f887a84  0x000000a4  __TEXT,__text  sub  sub_23f887a84
0x000000023f887b28  0x00000098  __TEXT,__text  sub  sub_23f887b28
0x000000023f887bc0  0x00000158  __TEXT,__text  sub  sub_23f887bc0
0x000000023f887d18  0x00000150  __TEXT,__text  sub  sub_23f887d18
0x000000023f887e68  0x000000b0  __TEXT,__text  sub  sub_23f887e68
0x000000023f887f18  0x000000a4  __TEXT,__text  sub  sub_23f887f18
0x000000023f887fbc  0x000000b0  __TEXT,__text  sub  sub_23f887fbc
0x000000023f88806c  0x000000a4  __TEXT,__text  sub  sub_23f88806c
0x000000023f888110  0x00000004  __TEXT,__text  sub  sub_23f888110
0x000000023f888114  0x00000004  __TEXT,__text  sub  sub_23f888114
0x000000023f888118  0x00000004  __TEXT,__text  sub  sub_23f888118
0x000000023f88811c  0x00000004  __TEXT,__text  sub  sub_23f88811c
0x000000023f888120  0x00000004  __TEXT,__text  sub  sub_23f888120
0x000000023f888124  0x00000008  __TEXT,__text  sub  sub_23f888124
0x000000023f88812c  0x00000058  __TEXT,__text  sub  sub_23f88812c
0x000000023f888184  0x00000004  __TEXT,__text  sub  sub_23f888184
0x000000023f888188  0x00000004  __TEXT,__text  sub  sub_23f888188
0x000000023f88818c  0x00000004  __TEXT,__text  sub  sub_23f88818c
0x000000023f888190  0x00000004  __TEXT,__text  sub  sub_23f888190
0x000000023f888194  0x000000c0  __TEXT,__text  sub  sub_23f888194
0x000000023f888254  0x000000c0  __TEXT,__text  sub  sub_23f888254
0x000000023f888314  0x00000004  __TEXT,__text  sub  sub_23f888314
0x000000023f888318  0x00000004  __TEXT,__text  sub  sub_23f888318
0x000000023f88831c  0x00000010  __TEXT,__text  sub  sub_23f88831c
0x000000023f88832c  0x000000b0  __TEXT,__text  sub  sub_23f88832c
0x000000023f8883dc  0x000000a4  __TEXT,__text  sub  sub_23f8883dc
0x000000023f888480  0x00000038  __TEXT,__text  sub  sub_23f888480
0x000000023f8884b8  0x00000038  __TEXT,__text  sub  sub_23f8884b8
0x000000023f8884f0  0x00000044  __TEXT,__text  sub  sub_23f8884f0
0x000000023f888534  0x00000004  __TEXT,__text  sub  sub_23f888534
0x000000023f888538  0x00000004  __TEXT,__text  sub  sub_23f888538
0x000000023f88853c  0x00000018  __TEXT,__text  sub  sub_23f88853c
0x000000023f888554  0x000000f0  __TEXT,__text  sub  sub_23f888554
0x000000023f888644  0x000000ec  __TEXT,__text  sub  sub_23f888644
0x000000023f888730  0x00000064  __TEXT,__text  sub  sub_23f888730
0x000000023f888794  0x00000068  __TEXT,__text  sub  sub_23f888794
0x000000023f8887fc  0x00000004  __TEXT,__text  sub  sub_23f8887fc
0x000000023f888800  0x00000004  __TEXT,__text  sub  sub_23f888800
0x000000023f888804  0x00000004  __TEXT,__text  sub  sub_23f888804
0x000000023f888808  0x00000004  __TEXT,__text  sub  sub_23f888808
0x000000023f88880c  0x00000008  __TEXT,__text  sub  sub_23f88880c
0x000000023f888814  0x00000008  __TEXT,__text  sub  sub_23f888814
0x000000023f88881c  0x00000014  __TEXT,__text  sub  sub_23f88881c
0x000000023f888830  0x0000002c  __TEXT,__text  sub  sub_23f888830
0x000000023f88885c  0x00000120  __TEXT,__text  func  -[ATHMAwaitingActivation initWithKeyCommitmentsData:nbuckets:deploymentID:error:]
0x000000023f88897c  0x000000cc  __TEXT,__text  func  -[ATHMAwaitingActivation activateWithResponseData:error:]
0x000000023f888a48  0x00000090  __TEXT,__text  func  +[ATHMAwaitingActivation verifyAndGetKeyIDFromKeyCommitmentsData:numBuckets:deploymentID:]
0x000000023f888ad8  0x00000008  __TEXT,__text  func  -[ATHMAwaitingActivation requestData]
0x000000023f888ae0  0x00000008  __TEXT,__text  func  -[ATHMAwaitingActivation client]
0x000000023f888ae8  0x00000044  __TEXT,__text  func  -[ATHMAwaitingActivation .cxx_destruct]
0x000000023f888b2c  0x00000110  __TEXT,__text  func  -[ATHMPresentation initWithClient:responseData:nbuckets:error:]
0x000000023f888c3c  0x00000008  __TEXT,__text  func  -[ATHMPresentation presentationData]
0x000000023f888c44  0x00000008  __TEXT,__text  func  -[ATHMPresentation nbuckets]
0x000000023f888c4c  0x00000008  __TEXT,__text  func  -[ATHMPresentation deploymentID]
0x000000023f888c54  0x00000044  __TEXT,__text  func  -[ATHMPresentation .cxx_destruct]
0x000000023f888c98  0x000000c0  __TEXT,__text  func  -[ATHMTestServer initWithNumBuckets:deploymentID:error:]
0x000000023f888d58  0x000000d4  __TEXT,__text  func  -[ATHMTestServer respondWithRequestData:metadata:error:]
0x000000023f888e2c  0x00000060  __TEXT,__text  func  -[ATHMTestServer readMetadataWithPresentationData:nbuckets:error:]
0x000000023f888e8c  0x00000008  __TEXT,__text  func  -[ATHMTestServer keyCommitmentsData]
0x000000023f888e94  0x00000008  __TEXT,__text  func  -[ATHMTestServer server]
0x000000023f888e9c  0x00000044  __TEXT,__text  func  -[ATHMTestServer .cxx_destruct]
0x000000023f888ee0  0x00000124  __TEXT,__text  func  -[ARCAwaitingActivation initWithRequestContext:serverPublicKey:error:]
0x000000023f889004  0x000000bc  __TEXT,__text  func  -[ARCAwaitingActivation activateWithResponseData:error:]
0x000000023f8890c0  0x00000008  __TEXT,__text  func  -[ARCAwaitingActivation requestData]
0x000000023f8890c8  0x00000008  __TEXT,__text  func  -[ARCAwaitingActivation precredential]
0x000000023f8890d0  0x00000044  __TEXT,__text  func  -[ARCAwaitingActivation .cxx_destruct]
0x000000023f889114  0x00000108  __TEXT,__text  func  -[ARCCredential initWithCredentialResponseData:precredential:error:]
0x000000023f88921c  0x0000008c  __TEXT,__text  func  -[ARCCredential getCredentialDataError:]
0x000000023f8892a8  0x000000d8  __TEXT,__text  func  -[ARCCredential initWithCredentialData:error:]
0x000000023f889380  0x00000088  __TEXT,__text  func  -[ARCCredential presentWithPresentationContext:presentationLimit:error:]
0x000000023f889408  0x00000060  __TEXT,__text  func  -[ARCCredential getRemainingPresentationCountWithPresentationContext:presentationLimit:error:]
0x000000023f889468  0x00000008  __TEXT,__text  func  -[ARCCredential credential]
0x000000023f889470  0x0000000c  __TEXT,__text  func  -[ARCCredential .cxx_destruct]
0x000000023f88947c  0x00000148  __TEXT,__text  func  -[ARCPresentation initWithCredential:presentationContext:presentationLimit:error:]
0x000000023f8895c4  0x00000008  __TEXT,__text  func  -[ARCPresentation presentationData]
0x000000023f8895cc  0x00000008  __TEXT,__text  func  -[ARCPresentation nonce]
0x000000023f8895d4  0x00000008  __TEXT,__text  func  -[ARCPresentation presentation]
0x000000023f8895dc  0x00000044  __TEXT,__text  func  -[ARCPresentation .cxx_destruct]
0x000000023f889620  0x00000078  __TEXT,__text  func  -[ARCResponse initWithResponseData:]
0x000000023f889698  0x00000008  __TEXT,__text  func  -[ARCResponse responseData]
0x000000023f8896a0  0x0000000c  __TEXT,__text  func  -[ARCResponse .cxx_destruct]
0x000000023f8896ac  0x00000068  __TEXT,__text  func  -[ARCTestServer init]
0x000000023f889714  0x000000a8  __TEXT,__text  func  -[ARCTestServer respondWithRequestData:error:]
0x000000023f8897bc  0x00000008  __TEXT,__text  func  -[ARCTestServer verifyWithPresentationData:nonce:requestContext:presentationContext:presentationLimit:]
0x000000023f8897c4  0x00000008  __TEXT,__text  func  -[ARCTestServer getServerPublicKey]
0x000000023f8897cc  0x00000008  __TEXT,__text  func  -[ARCTestServer server]
0x000000023f8897d4  0x0000000c  __TEXT,__text  func  -[ARCTestServer .cxx_destruct]
0x000000023f8897e0  0x00000034  __TEXT,__text  func  ciphersuiteForKeyByteCount
0x000000023f889814  0x000000a0  __TEXT,__text  func  +[RSABSSATokenBlinder keyIDFromSPKI:]
0x000000023f8898b4  0x00000008  __TEXT,__text  func  -[RSABSSATokenBlinder publicKey]
0x000000023f8898bc  0x00000070  __TEXT,__text  func  -[RSABSSATokenBlinder verifyFullyParsedASN1:end:error:]
0x000000023f88992c  0x000000d4  __TEXT,__text  func  -[RSABSSATokenBlinder setParamsForSize:params:error:]
0x000000023f889a00  0x00000190  __TEXT,__text  func  -[RSABSSATokenBlinder initWithPublicKey:error:]
0x000000023f889b90  0x00000334  __TEXT,__text  func  -[RSABSSATokenBlinder tokenWaitingActivationWithContent:error:]
0x000000023f889ec4  0x00000008  __TEXT,__text  func  -[RSABSSATokenBlinder keyId]
0x000000023f889ecc  0x00000010  __TEXT,__text  func  -[RSABSSATokenBlinder .cxx_destruct]
0x000000023f889edc  0x00000108  __TEXT,__text  func  -[RSABSSATokenWaitingActivation initWithBlindingInverse:blindedMessage:tokenContent:tokenBlinder:ciphersuite:]
0x000000023f889fe4  0x00000330  __TEXT,__text  func  -[RSABSSATokenWaitingActivation activateTokenWithServerResponse:error:]
0x000000023f88a314  0x00000008  __TEXT,__text  func  -[RSABSSATokenWaitingActivation blindedMessage]
0x000000023f88a31c  0x00000008  __TEXT,__text  func  -[RSABSSATokenWaitingActivation blindingInverse]
0x000000023f88a324  0x00000008  __TEXT,__text  func  -[RSABSSATokenWaitingActivation tokenBlinder]
0x000000023f88a32c  0x00000008  __TEXT,__text  func  -[RSABSSATokenWaitingActivation tokenContent]
0x000000023f88a334  0x0000005c  __TEXT,__text  func  -[RSABSSATokenWaitingActivation .cxx_destruct]
0x000000023f88a390  0x000000d0  __TEXT,__text  func  -[RSABSSATokenReady initWithTokenContent:tokenSignature:keyId:]
0x000000023f88a460  0x00000008  __TEXT,__text  func  -[RSABSSATokenReady tokenContent]
0x000000023f88a468  0x00000008  __TEXT,__text  func  -[RSABSSATokenReady keyId]
0x000000023f88a470  0x00000008  __TEXT,__text  func  -[RSABSSATokenReady signature]
0x000000023f88a478  0x00000050  __TEXT,__text  func  -[RSABSSATokenReady .cxx_destruct]
0x000000023f88a4c8  0x00000008  __TEXT,__text  func  -[RSABSSATokenIssuer init]
0x000000023f88a4d0  0x000001d0  __TEXT,__text  func  -[RSABSSATokenIssuer initWithKeyByteCount:]
0x000000023f88a6a0  0x00000268  __TEXT,__text  func  -[RSABSSATokenIssuer blindSign:error:]
0x000000023f88a908  0x00000008  __TEXT,__text  func  -[RSABSSATokenIssuer publicKey]
0x000000023f88a910  0x00000044  __TEXT,__text  func  -[RSABSSATokenIssuer setPublicKey:]
0x000000023f88a954  0x00000008  __TEXT,__text  func  -[RSABSSATokenIssuer keyId]
0x000000023f88a95c  0x00000044  __TEXT,__text  func  -[RSABSSATokenIssuer .cxx_destruct]
0x000000023f88a9a0  0x0000000c  __TEXT,__text  func  +[CKPATKeyBlinding privateScalarFromSecKey:]
0x000000023f88a9ac  0x00000034  __TEXT,__text  func  +[CKPATKeyBlinding secKeyFromCompressedRepresentation:]
