//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/DeauthorizationKit.framework/Versions/A/DeauthorizationKit
// arch:    arm64e
// uuid:    6DF0CA5A-43B9-3EDC-AF43-A7A0567E182F
// text:    0x000000023fce3000
// count:   1808 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000023fce51b0  0x00000088  __TEXT,__text  func  -[DKTaskUserConfirmationCheck initWithHostWindow:]
0x000000023fce5238  0x0000000c  __TEXT,__text  func  -[DKTaskUserConfirmationCheck taskDescription]
0x000000023fce5244  0x00000044  __TEXT,__text  func  -[DKTaskUserConfirmationCheck identifier]
0x000000023fce5288  0x000000e8  __TEXT,__text  func  -[DKTaskUserConfirmationCheck runWithCompletion:]
0x000000023fce5370  0x00000160  __TEXT,__text  func  __49-[DKTaskUserConfirmationCheck runWithCompletion:]_block_invoke
0x000000023fce54d0  0x0000001c  __TEXT,__text  func  __49-[DKTaskUserConfirmationCheck runWithCompletion:]_block_invoke_2
0x000000023fce54ec  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32b
0x000000023fce54fc  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x000000023fce5504  0x00000048  __TEXT,__text  func  __copy_helper_block_e8_32s40b
0x000000023fce554c  0x0000003c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s
0x000000023fce5588  0x00000010  __TEXT,__text  func  -[DKTaskUserConfirmationCheck hostWindow]
0x000000023fce5598  0x0000000c  __TEXT,__text  func  -[DKTaskUserConfirmationCheck setHostWindow:]
0x000000023fce55a4  0x00000010  __TEXT,__text  func  -[DKTaskUserConfirmationCheck confirmationWindowController]
0x000000023fce55b4  0x0000000c  __TEXT,__text  func  -[DKTaskUserConfirmationCheck setConfirmationWindowController:]
0x000000023fce55c0  0x00000054  __TEXT,__text  func  -[DKTaskUserConfirmationCheck .cxx_destruct]
0x000000023fce5614  0x00000038  __TEXT,__text  func  -[DKTaskMessagesFaceTimeSignOut runWithError:]
0x000000023fce564c  0x00000434  __TEXT,__text  func  -[DKTaskMessagesFaceTimeSignOut runWithCompletion:]
0x000000023fce5a80  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x000000023fce5a90  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x000000023fce5a98  0x000000e8  __TEXT,__text  func  __51-[DKTaskMessagesFaceTimeSignOut runWithCompletion:]_block_invoke
0x000000023fce5b80  0x00000048  __TEXT,__text  func  __copy_helper_block_e8_32s40r
0x000000023fce5bc8  0x00000040  __TEXT,__text  func  __destroy_helper_block_e8_32s40r
0x000000023fce5c08  0x00000094  __TEXT,__text  func  __51-[DKTaskMessagesFaceTimeSignOut runWithCompletion:]_block_invoke.6
0x000000023fce5c9c  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32b40r
0x000000023fce5cec  0x0000000c  __TEXT,__text  func  -[DKTaskMessagesFaceTimeSignOut identifier]
0x000000023fce5cf8  0x0000000c  __TEXT,__text  func  -[DKTaskMessagesFaceTimeSignOut taskDescription]
0x000000023fce5d04  0x00000044  __TEXT,__text  func  -[DKTaskDisableLockdownMode identifier]
0x000000023fce5d48  0x0000000c  __TEXT,__text  func  -[DKTaskDisableLockdownMode taskDescription]
0x000000023fce5d54  0x00000508  __TEXT,__text  func  -[DKTaskDisableLockdownMode runWithCompletion:]
0x000000023fce625c  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x000000023fce626c  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x000000023fce6274  0x00000070  __TEXT,__text  func  __47-[DKTaskDisableLockdownMode runWithCompletion:]_block_invoke
0x000000023fce62e4  0x00000058  __TEXT,__text  func  +[DKHelperDaemonController sharedInstance]
0x000000023fce633c  0x00000040  __TEXT,__text  func  __42+[DKHelperDaemonController sharedInstance]_block_invoke
0x000000023fce637c  0x00000068  __TEXT,__text  func  -[DKHelperDaemonController init]
0x000000023fce63e4  0x0000004c  __TEXT,__text  func  -[DKHelperDaemonController dealloc]
0x000000023fce6430  0x00000044  __TEXT,__text  func  -[DKHelperDaemonController reboot]
0x000000023fce6474  0x00000104  __TEXT,__text  func  -[DKHelperDaemonController writeTemplateMigrationBootPlistWithObliterationOptions:isManaged:]
0x000000023fce6578  0x00000010  __TEXT,__text  func  __93-[DKHelperDaemonController writeTemplateMigrationBootPlistWithObliterationOptions:isManaged:]_block_invoke
0x000000023fce6588  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32r
0x000000023fce6598  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32r
0x000000023fce65a4  0x00000150  __TEXT,__text  func  -[DKHelperDaemonController cleanUpBootStateWithError:]
0x000000023fce66f4  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x000000023fce6704  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x000000023fce670c  0x00000064  __TEXT,__text  func  __54-[DKHelperDaemonController cleanUpBootStateWithError:]_block_invoke
0x000000023fce6770  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32r40r
0x000000023fce67c0  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32r40r
