//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/Dendrite.framework/Versions/A/Dendrite
// arch:    arm64e
// uuid:    D756E55D-B0B1-3858-930D-013952652E35
// text:    0x000000023fe95000
// count:   2431 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000023fe967f0  0x00000008  __TEXT,__text  sub  sub_23fe967f0
0x000000023fe967f8  0x00000008  __TEXT,__text  sub  sub_23fe967f8
0x000000023fe96800  0x00000004  __TEXT,__text  sub  sub_23fe96800
0x000000023fe96804  0x00000004  __TEXT,__text  sub  sub_23fe96804
0x000000023fe96808  0x00000004  __TEXT,__text  sub  sub_23fe96808
0x000000023fe9680c  0x00000004  __TEXT,__text  sub  sub_23fe9680c
0x000000023fe96810  0x00000004  __TEXT,__text  sub  sub_23fe96810
0x000000023fe96814  0x00000004  __TEXT,__text  sub  sub_23fe96814
0x000000023fe96818  0x0000000c  __TEXT,__text  sub  sub_23fe96818
0x000000023fe96824  0x00000004  __TEXT,__text  sub  sub_23fe96824
0x000000023fe96828  0x00000004  __TEXT,__text  sub  sub_23fe96828
0x000000023fe9682c  0x0000002c  __TEXT,__text  sub  sub_23fe9682c
0x000000023fe96858  0x00000010  __TEXT,__text  sub  sub_23fe96858
0x000000023fe96868  0x00000040  __TEXT,__text  sub  sub_23fe96868
0x000000023fe968a8  0x00000004  __TEXT,__text  sub  sub_23fe968a8
0x000000023fe968ac  0x00000004  __TEXT,__text  sub  sub_23fe968ac
0x000000023fe968b0  0x00000004  __TEXT,__text  sub  sub_23fe968b0
0x000000023fe968b4  0x0000004c  __TEXT,__text  sub  sub_23fe968b4
0x000000023fe96900  0x00000004  __TEXT,__text  sub  sub_23fe96900
0x000000023fe96904  0x00000018  __TEXT,__text  sub  sub_23fe96904
0x000000023fe9691c  0x00000018  __TEXT,__text  sub  sub_23fe9691c
0x000000023fe96934  0x0000002c  __TEXT,__text  sub  sub_23fe96934
0x000000023fe96960  0x0000002c  __TEXT,__text  sub  sub_23fe96960
0x000000023fe9698c  0x00000004  __TEXT,__text  sub  sub_23fe9698c
0x000000023fe96990  0x00000004  __TEXT,__text  sub  sub_23fe96990
0x000000023fe96994  0x00000004  __TEXT,__text  sub  sub_23fe96994
0x000000023fe96998  0x00000028  __TEXT,__text  sub  sub_23fe96998
0x000000023fe969c0  0x00000004  __TEXT,__text  sub  sub_23fe969c0
0x000000023fe969c4  0x0000000c  __TEXT,__text  sub  sub_23fe969c4
0x000000023fe969d0  0x00000004  __TEXT,__text  sub  sub_23fe969d0
0x000000023fe969d4  0x00000040  __TEXT,__text  sub  sub_23fe969d4
0x000000023fe96a14  0x00000038  __TEXT,__text  sub  sub_23fe96a14
0x000000023fe96a4c  0x0000003c  __TEXT,__text  sub  sub_23fe96a4c
0x000000023fe96a88  0x00000038  __TEXT,__text  sub  sub_23fe96a88
0x000000023fe96ac0  0x00000040  __TEXT,__text  sub  sub_23fe96ac0
0x000000023fe96b00  0x00000038  __TEXT,__text  sub  sub_23fe96b00
0x000000023fe96b38  0x00000040  __TEXT,__text  sub  sub_23fe96b38
0x000000023fe96b78  0x00000038  __TEXT,__text  sub  sub_23fe96b78
0x000000023fe96bb0  0x00000024  __TEXT,__text  sub  sub_23fe96bb0
0x000000023fe96bd4  0x00000004  __TEXT,__text  sub  sub_23fe96bd4
0x000000023fe96bd8  0x0000000c  __TEXT,__text  sub  sub_23fe96bd8
0x000000023fe96be4  0x0000000c  __TEXT,__text  sub  sub_23fe96be4
0x000000023fe96bf0  0x0000002c  __TEXT,__text  sub  sub_23fe96bf0
0x000000023fe96c1c  0x00000028  __TEXT,__text  sub  sub_23fe96c1c
0x000000023fe96c44  0x0000000c  __TEXT,__text  sub  sub_23fe96c44
0x000000023fe96c50  0x00000004  __TEXT,__text  sub  sub_23fe96c50
0x000000023fe96c54  0x00000004  __TEXT,__text  sub  sub_23fe96c54
0x000000023fe96c58  0x00000004  __TEXT,__text  sub  sub_23fe96c58
0x000000023fe96c5c  0x00000004  __TEXT,__text  sub  sub_23fe96c5c
0x000000023fe96c60  0x00000004  __TEXT,__text  sub  sub_23fe96c60
0x000000023fe96c64  0x00000004  __TEXT,__text  sub  sub_23fe96c64
0x000000023fe96c68  0x00000024  __TEXT,__text  sub  sub_23fe96c68
0x000000023fe96c8c  0x00000004  __TEXT,__text  sub  sub_23fe96c8c
0x000000023fe96c90  0x0000000c  __TEXT,__text  sub  sub_23fe96c90
0x000000023fe96c9c  0x0000000c  __TEXT,__text  sub  sub_23fe96c9c
0x000000023fe96ca8  0x00000038  __TEXT,__text  sub  sub_23fe96ca8
0x000000023fe96ce0  0x00000038  __TEXT,__text  sub  sub_23fe96ce0
0x000000023fe96d18  0x00000040  __TEXT,__text  sub  sub_23fe96d18
0x000000023fe96d58  0x00000004  __TEXT,__text  sub  sub_23fe96d58
0x000000023fe96d5c  0x00000004  __TEXT,__text  sub  sub_23fe96d5c
0x000000023fe96d60  0x00000010  __TEXT,__text  sub  sub_23fe96d60
0x000000023fe96d70  0x00000038  __TEXT,__text  sub  sub_23fe96d70
