//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/DigitalTouchShared.framework/Versions/A/DigitalTouchShared
// arch:    arm64e
// uuid:    744D3BCF-2AE9-320A-80CE-F07693FD3BEC
// text:    0x00000002405a7000
// count:   1285 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002405a8608  0x00000028  __TEXT,__text  func  -[ETPHeader messageType]
0x00000002405a8630  0x00000024  __TEXT,__text  func  -[ETPHeader setMessageType:]
0x00000002405a8654  0x00000028  __TEXT,__text  func  -[ETPHeader setHasMessageType:]
0x00000002405a867c  0x00000014  __TEXT,__text  func  -[ETPHeader hasMessageType]
0x00000002405a8690  0x00000074  __TEXT,__text  func  -[ETPHeader messageTypeAsString:]
0x00000002405a8704  0x00000124  __TEXT,__text  func  -[ETPHeader StringAsMessageType:]
0x00000002405a8828  0x00000024  __TEXT,__text  func  -[ETPHeader setSendDate:]
0x00000002405a884c  0x0000001c  __TEXT,__text  func  -[ETPHeader setHasSendDate:]
0x00000002405a8868  0x00000014  __TEXT,__text  func  -[ETPHeader hasSendDate]
0x00000002405a887c  0x00000018  __TEXT,__text  func  -[ETPHeader hasMessageData]
0x00000002405a8894  0x00000024  __TEXT,__text  func  -[ETPHeader setBaseColor:]
0x00000002405a88b8  0x00000028  __TEXT,__text  func  -[ETPHeader setHasBaseColor:]
0x00000002405a88e0  0x00000014  __TEXT,__text  func  -[ETPHeader hasBaseColor]
0x00000002405a88f4  0x00000018  __TEXT,__text  func  -[ETPHeader hasIdentifier]
0x00000002405a890c  0x00000024  __TEXT,__text  func  -[ETPHeader setSupportsPlaybackTimeOffsets:]
0x00000002405a8930  0x00000028  __TEXT,__text  func  -[ETPHeader setHasSupportsPlaybackTimeOffsets:]
0x00000002405a8958  0x00000014  __TEXT,__text  func  -[ETPHeader hasSupportsPlaybackTimeOffsets]
0x00000002405a896c  0x00000024  __TEXT,__text  func  -[ETPHeader setStartDelay:]
0x00000002405a8990  0x00000028  __TEXT,__text  func  -[ETPHeader setHasStartDelay:]
0x00000002405a89b8  0x00000014  __TEXT,__text  func  -[ETPHeader hasStartDelay]
0x00000002405a89cc  0x000000b8  __TEXT,__text  func  -[ETPHeader description]
0x00000002405a8a84  0x00000230  __TEXT,__text  func  -[ETPHeader dictionaryRepresentation]
0x00000002405a8cb4  0x00000654  __TEXT,__text  func  ETPHeaderReadFrom
0x00000002405a9308  0x00000008  __TEXT,__text  func  -[ETPHeader readFrom:]
0x00000002405a9310  0x00000128  __TEXT,__text  func  -[ETPHeader writeTo:]
0x00000002405a9438  0x00000150  __TEXT,__text  func  -[ETPHeader copyWithZone:]
0x00000002405a9588  0x000001a8  __TEXT,__text  func  -[ETPHeader isEqual:]
0x00000002405a9730  0x0000018c  __TEXT,__text  func  -[ETPHeader hash]
0x00000002405a98bc  0x00000134  __TEXT,__text  func  -[ETPHeader mergeFrom:]
0x00000002405a99f0  0x00000010  __TEXT,__text  func  -[ETPHeader sendDate]
0x00000002405a9a00  0x00000010  __TEXT,__text  func  -[ETPHeader messageData]
0x00000002405a9a10  0x00000054  __TEXT,__text  func  -[ETPHeader setMessageData:]
0x00000002405a9a64  0x00000010  __TEXT,__text  func  -[ETPHeader baseColor]
0x00000002405a9a74  0x00000010  __TEXT,__text  func  -[ETPHeader identifier]
0x00000002405a9a84  0x00000054  __TEXT,__text  func  -[ETPHeader setIdentifier:]
0x00000002405a9ad8  0x00000010  __TEXT,__text  func  -[ETPHeader supportsPlaybackTimeOffsets]
0x00000002405a9ae8  0x00000010  __TEXT,__text  func  -[ETPHeader startDelay]
