//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/DoubleAgent.framework/Versions/A/DoubleAgent
// arch:    arm64e
// uuid:    6EAF9FEC-F540-3D4B-9F20-B4AA8DD20949
// text:    0x0000000240d2f000
// count:   150 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000240d2fd20  0x00000030  __TEXT,__text  func  -[AppleDoubleParser isXattrProtected:]
0x0000000240d2fd50  0x00000070  __TEXT,__text  func  -[AppleDoubleParser isXattrNameValid:]
0x0000000240d2fdc0  0x000001e4  __TEXT,__text  func  -[AppleDoubleParser lookupXattrNamed:reply:]
0x0000000240d2ffa4  0x00000268  __TEXT,__text  func  -[AppleDoubleParser listXattrs:]
0x0000000240d3020c  0x00000844  __TEXT,__text  func  -[AppleDoubleParser allocateXattrNamed:sized:how:reply:]
0x0000000240d30a50  0x0000001c  __TEXT,__text  func  __56-[AppleDoubleParser allocateXattrNamed:sized:how:reply:]_block_invoke
0x0000000240d30a6c  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32b
0x0000000240d30a7c  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x0000000240d30a84  0x0000071c  __TEXT,__text  func  -[AppleDoubleParser removeXattrNamed:reply:]
0x0000000240d311a0  0x00000064  __TEXT,__text  func  -[AppleDoubleParser swapFileHeader]
0x0000000240d31204  0x0000010c  __TEXT,__text  func  -[AppleDoubleParser swapAttrHeader:]
0x0000000240d31310  0x00000218  __TEXT,__text  func  -[AppleDoubleParser shiftDataDownAtOffset:length:delta:error:]
0x0000000240d31528  0x00000214  __TEXT,__text  func  -[AppleDoubleParser shiftDataUpAtOffset:length:delta:error:]
0x0000000240d3173c  0x00000170  __TEXT,__text  func  -[AppleDoubleParser fillEmptyAppleDoubleFile:]
0x0000000240d318ac  0x00000078  __TEXT,__text  func  -[AppleDoubleParser initEmptyResourceFork:]
0x0000000240d31924  0x000000e8  __TEXT,__text  func  -[AppleDoubleParser updateFileSize:]
0x0000000240d31a0c  0x00000020  __TEXT,__text  func  -[AppleDoubleParser updateFileSizeExplicit:]
0x0000000240d31a2c  0x0000013c  __TEXT,__text  func  -[AppleDoubleParser readRawHeader:]
0x0000000240d31b68  0x00000198  __TEXT,__text  func  -[AppleDoubleParser writeHeaderToDiskUpToLength:error:]
0x0000000240d31d00  0x00000178  __TEXT,__text  func  -[AppleDoubleParser parseFileHeader:]
0x0000000240d31e78  0x000002cc  __TEXT,__text  func  -[AppleDoubleParser parseFinderInfoAndResourceFork:]
0x0000000240d32144  0x0000026c  __TEXT,__text  func  -[AppleDoubleParser parseAttrHeader:]
0x0000000240d323b0  0x000002bc  __TEXT,__text  func  -[AppleDoubleParser createAttrHeaderIfNeeded:]
0x0000000240d3266c  0x000003f8  __TEXT,__text  func  -[AppleDoubleParser initWithFileDescriptor:fileSize:isAllocateXattr:error:]
0x0000000240d32a64  0x00000010  __TEXT,__text  func  -[AppleDoubleParser initWithFileDescriptor:isAllocateXattr:]
0x0000000240d32a74  0x00000008  __TEXT,__text  func  -[AppleDoubleParser fileDescriptor]
0x0000000240d32a7c  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setFileDescriptor:]
0x0000000240d32a84  0x0000000c  __TEXT,__text  func  -[AppleDoubleParser rawHeader]
0x0000000240d32a90  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setRawHeader:]
0x0000000240d32a98  0x00000008  __TEXT,__text  func  -[AppleDoubleParser fileSize]
0x0000000240d32aa0  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setFileSize:]
0x0000000240d32aa8  0x00000008  __TEXT,__text  func  -[AppleDoubleParser headerSize]
0x0000000240d32ab0  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setHeaderSize:]
0x0000000240d32ab8  0x0000000c  __TEXT,__text  func  -[AppleDoubleParser emptyFinderInfo]
0x0000000240d32ac4  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setEmptyFinderInfo:]
0x0000000240d32acc  0x0000000c  __TEXT,__text  func  -[AppleDoubleParser readOnly]
0x0000000240d32ad8  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setReadOnly:]
0x0000000240d32ae0  0x0000000c  __TEXT,__text  func  -[AppleDoubleParser isAllocateXattr]
0x0000000240d32aec  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setIsAllocateXattr:]
0x0000000240d32af4  0x00000008  __TEXT,__text  func  -[AppleDoubleParser fileHeader]
0x0000000240d32afc  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setFileHeader:]
0x0000000240d32b04  0x00000008  __TEXT,__text  func  -[AppleDoubleParser finderinfo]
0x0000000240d32b0c  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setFinderinfo:]
0x0000000240d32b14  0x00000008  __TEXT,__text  func  -[AppleDoubleParser rsrcfork]
0x0000000240d32b1c  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setRsrcfork:]
0x0000000240d32b24  0x00000008  __TEXT,__text  func  -[AppleDoubleParser attrHeader]
0x0000000240d32b2c  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setAttrHeader:]
0x0000000240d32b34  0x00000008  __TEXT,__text  func  -[AppleDoubleParser firstAttrEntry]
0x0000000240d32b3c  0x00000008  __TEXT,__text  func  -[AppleDoubleParser setFirstAttrEntry:]
0x0000000240d32b44  0x0000000c  __TEXT,__text  func  -[AppleDoubleParser .cxx_destruct]
0x0000000240d32b50  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x0000000240d32b68  0x00000028  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x0000000240d32b90  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x0000000240d32bac  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x0000000240d32bc8  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_4
0x0000000240d32bdc  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_5
0x0000000240d32bf0  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_6
0x0000000240d32c00  0x00000020  __TEXT,__text  func  OUTLINED_FUNCTION_7
0x0000000240d32c20  0x0000000c  __TEXT,__text  func  OUTLINED_FUNCTION_8
0x0000000240d32c2c  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_9
0x0000000240d32c40  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_10
0x0000000240d32c5c  0x0000000c  __TEXT,__text  func  OUTLINED_FUNCTION_11
0x0000000240d32c68  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_12
0x0000000240d32c78  0x0000000c  __TEXT,__text  func  OUTLINED_FUNCTION_13
0x0000000240d32c84  0x000000b4  __TEXT,__text  func  +[DoubleAgentManager defaultManager]
0x0000000240d32d38  0x0000003c  __TEXT,__text  func  __36+[DoubleAgentManager defaultManager]_block_invoke
0x0000000240d32d74  0x00000038  __TEXT,__text  func  -[DoubleAgentManager init]
0x0000000240d32dac  0x00000148  __TEXT,__text  func  -[DoubleAgentManager lookupXattrIn:fileSize:named:reply:]
0x0000000240d32ef4  0x00000010  __TEXT,__text  func  __57-[DoubleAgentManager lookupXattrIn:fileSize:named:reply:]_block_invoke
0x0000000240d32f04  0x00000154  __TEXT,__text  func  -[DoubleAgentManager allocateXattrIn:fileSize:named:sized:how:reply:]
0x0000000240d33058  0x00000010  __TEXT,__text  func  __69-[DoubleAgentManager allocateXattrIn:fileSize:named:sized:how:reply:]_block_invoke
0x0000000240d33068  0x00000168  __TEXT,__text  func  -[DoubleAgentManager listXattrsIn:fileSize:reply:]
0x0000000240d331d0  0x00000144  __TEXT,__text  func  -[DoubleAgentManager removeXattrOf:fileSize:named:reply:]
0x0000000240d33314  0x00000010  __TEXT,__text  func  __57-[DoubleAgentManager removeXattrOf:fileSize:named:reply:]_block_invoke
0x0000000240d33324  0x00000058  __TEXT,__text  func  doubleagent_std_log
0x0000000240d3337c  0x00000048  __TEXT,__text  func  __doubleagent_std_log_block_invoke
0x0000000240d333c4  0x00000064  __TEXT,__text  func  -[AppleDoubleParser allocateXattrNamed:sized:how:reply:].cold.1
