//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/EfiSupport.framework/Versions/A/libEnrollDefaultKeys.dylib
// arch:    arm64e
// uuid:    E12ED1D5-7457-33B1-9973-AEBAC16F7083
// text:    0x0000000240e63000
// count:   79 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000240e63760  0x000004b8  __TEXT,__text  func  ShellAppMain
0x0000000240e63c18  0x000000d4  __TEXT,__text  func  GetSettings
0x0000000240e63cec  0x0000023c  __TEXT,__text  func  EnrollListOfCerts
0x0000000240e63f28  0x000000ec  __TEXT,__text  func  GetExact
0x0000000240e64014  0x00000140  __TEXT,__text  func  ProcessLibraryConstructorList
0x0000000240e64154  0x0000000c  __TEXT,__text  func  ProcessLibraryDestructorList
0x0000000240e64160  0x00000020  __TEXT,__text  func  ProcessModuleEntryPointList
0x0000000240e64180  0x000000c4  __TEXT,__text  func  InternalMemSetMem
0x0000000240e64244  0x00000094  __TEXT,__text  func  ZeroMem
0x0000000240e642d8  0x000000b0  __TEXT,__text  func  CopyMem
0x0000000240e64388  0x00000024  __TEXT,__text  func  InternalMemZeroMem
0x0000000240e643ac  0x00000058  __TEXT,__text  func  CopyGuid
0x0000000240e64404  0x00000188  __TEXT,__text  func  InternalMemCopyMem
0x0000000240e6458c  0x00000060  __TEXT,__text  func  RShiftU64
0x0000000240e645ec  0x00000060  __TEXT,__text  func  LShiftU64
0x0000000240e6464c  0x0000006c  __TEXT,__text  func  DivU64x32Remainder
0x0000000240e646b8  0x00000098  __TEXT,__text  func  StrnLenS
0x0000000240e64750  0x00000054  __TEXT,__text  func  AsciiStrnLenS
0x0000000240e647a4  0x000000e8  __TEXT,__text  func  StrLen
0x0000000240e6488c  0x000000cc  __TEXT,__text  func  StrCmp
0x0000000240e64958  0x00000074  __TEXT,__text  func  ReadUnaligned16
0x0000000240e649cc  0x00000060  __TEXT,__text  func  WriteUnaligned16
0x0000000240e64a2c  0x00000084  __TEXT,__text  func  ReadUnaligned32
0x0000000240e64ab0  0x0000007c  __TEXT,__text  func  WriteUnaligned32
0x0000000240e64b2c  0x00000074  __TEXT,__text  func  ReadUnaligned64
0x0000000240e64ba0  0x00000078  __TEXT,__text  func  WriteUnaligned64
0x0000000240e64c18  0x00000010  __TEXT,__text  func  InternalMathLShiftU64
0x0000000240e64c28  0x00000010  __TEXT,__text  func  InternalMathRShiftU64
0x0000000240e64c38  0x00000024  __TEXT,__text  func  InternalMathDivRemU64x32
0x0000000240e64c5c  0x00000024  __TEXT,__text  func  MemoryFence
0x0000000240e64c80  0x00000018  __TEXT,__text  func  InternalSwitchStackAsm
0x0000000240e64c98  0x00000018  __TEXT,__text  func  CpuPause
0x0000000240e64cb0  0x00000008  __TEXT,__text  func  EnableInterrupts
0x0000000240e64cb8  0x00000008  __TEXT,__text  func  DisableInterrupts
0x0000000240e64cc0  0x00000010  __TEXT,__text  func  GetInterruptState
0x0000000240e64cd0  0x00000008  __TEXT,__text  func  CpuBreakpoint
0x0000000240e64cd8  0x0000000c  __TEXT,__text  func  SpeculationBarrier
0x0000000240e64ce4  0x000000c0  __TEXT,__text  func  UefiBootServicesTableLibConstructor
0x0000000240e64da4  0x00000f28  __TEXT,__text  func  BasePrintLibSPrintMarker
0x0000000240e65ccc  0x00000060  __TEXT,__text  sub  sub_240e65ccc
0x0000000240e65d2c  0x00000038  __TEXT,__text  func  BasePrintLibSPrint
0x0000000240e65d64  0x0000007c  __TEXT,__text  func  UnicodeVSPrintAsciiFormat
0x0000000240e65de0  0x00000030  __TEXT,__text  func  AsciiVSPrint
0x0000000240e65e10  0x00000048  __TEXT,__text  func  AsciiSPrint
0x0000000240e65e58  0x0000004c  __TEXT,__text  func  AllocatePool
0x0000000240e65ea4  0x00000088  __TEXT,__text  func  FreePool
0x0000000240e65f2c  0x00000088  __TEXT,__text  func  _ModuleEntryPoint
0x0000000240e65fb4  0x0000005c  __TEXT,__text  func  UefiRuntimeServicesTableLibConstructor
0x0000000240e66010  0x000000cc  __TEXT,__text  func  ShellCEntryLib
0x0000000240e660dc  0x00000104  __TEXT,__text  func  AsciiInternalPrint
0x0000000240e661e0  0x00000080  __TEXT,__text  func  AsciiPrint
0x0000000240e66260  0x00000010  __TEXT,__text  func  UefiLibConstructor
0x0000000240e66270  0x000000dc  __TEXT,__text  func  DebugPrint
0x0000000240e6634c  0x00000010  __TEXT,__text  func  DebugAssertEnabled
0x0000000240e6635c  0x00000010  __TEXT,__text  func  DebugPrintEnabled
0x0000000240e6636c  0x00000010  __TEXT,__text  func  DebugPrintLevelEnabled
0x0000000240e6637c  0x000000e4  __TEXT,__text  func  DebugAssert
0x0000000240e66460  0x000005f0  __TEXT,__const  func  mMicrosoftKek2011
0x0000000240e66a50  0x00000008  __TEXT,__const  func  mSizeOfMicrosoftKek2011
0x0000000240e66a58  0x000005b8  __TEXT,__const  func  mMicrosoftKek2023
0x0000000240e67010  0x00000008  __TEXT,__const  func  mSizeOfMicrosoftKek2023
0x0000000240e67018  0x000005e0  __TEXT,__const  func  mMicrosoftPca2011
0x0000000240e675f8  0x00000008  __TEXT,__const  func  mSizeOfMicrosoftPca2011
0x0000000240e67600  0x000005b0  __TEXT,__const  func  mMicrosoftPca2023
0x0000000240e67bb0  0x00000008  __TEXT,__const  func  mSizeOfMicrosoftPca2023
0x0000000240e67bb8  0x00000618  __TEXT,__const  func  mMicrosoftUefiCa2011
0x0000000240e681d0  0x00000008  __TEXT,__const  func  mSizeOfMicrosoftUefiCa2011
0x0000000240e681d8  0x000005a8  __TEXT,__const  func  mMicrosoftUefiCa2023
0x0000000240e68780  0x00000008  __TEXT,__const  func  mSizeOfMicrosoftUefiCa2023
0x0000000240e68788  0x00000020  __TEXT,__const  func  mSha256OfDevNull
0x0000000240e687a8  0x00000008  __TEXT,__const  func  mSizeOfSha256OfDevNull
0x0000000240e687b0  0x00000004  __TEXT,__const  func  _gPcd_FixedAtBuild_PcdMaximumAsciiStringLength
0x0000000240e687b4  0x00000004  __TEXT,__const  func  _gPcd_FixedAtBuild_PcdMaximumUnicodeStringLength
0x0000000240e687b8  0x00000004  __TEXT,__const  func  _gPcd_FixedAtBuild_PcdUefiLibMaxPrintBufferSize
0x0000000240e687bc  0x00000004  __TEXT,__const  func  _gUefiDriverRevision
0x0000000240e687c0  0x00000010  __TEXT,__const  func  mHexStr
0x0000000240e687d0  0x00000096  __TEXT,__const  func  mWarningString
0x0000000240e68866  0x000002ba  __TEXT,__const  func  mErrorString
0x0000000240e68b20  0x00000000  __TEXT,__const  func  gUefiPk
