//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/FMCore.framework/Versions/A/FMCore
// arch:    arm64e
// uuid:    3037D463-415A-3937-8405-AA9F8BEC8836
// text:    0x00000001b11ed000
// count:   1244 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001b11ee490  0x000000a4  __TEXT,__text  objc  -[FMStateCapture init]  // -[FMStateCapture ?]
0x00000001b11ee534  0x00000058  __TEXT,__text  objc  +[FMSystemInfo sharedInstance]  // +[FMSystemInfo 5]
0x00000001b11ee58c  0x00000040  __TEXT,__text  func  __30+[FMSystemInfo sharedInstance]_block_invoke
0x00000001b11ee5cc  0x0000000c  __TEXT,__text  objc  -[FMSystemInfo isInternalBuild]  // -[FMSystemInfo ]
0x00000001b11ee5d8  0x00000138  __TEXT,__text  objc  -[FMStateCapture registerHandlerforStateCapture]  // -[FMStateCapture ?]
0x00000001b11ee710  0x00000058  __TEXT,__text  func  LogCategory_Unspecified
0x00000001b11ee768  0x00000048  __TEXT,__text  func  __LogCategory_Unspecified_block_invoke
0x00000001b11ee7b0  0x00000008  __TEXT,__text  objc  -[FMStateCapture setHandle:]  // -[FMStateCapture ?]
0x00000001b11ee7b8  0x00000008  __TEXT,__text  objc  -[FMStateCapture setStateCaptureBlock:]  // -[FMStateCapture ?]
0x00000001b11ee7c0  0x0000006c  __TEXT,__text  objc  -[FMDaemon initialize]  // -[FMDaemon ?]
0x00000001b11ee82c  0x00000058  __TEXT,__text  objc  +[FMXPCTransactionManager sharedInstance]  // +[FMXPCTransactionManager ?]
0x00000001b11ee884  0x00000070  __TEXT,__text  func  __41+[FMXPCTransactionManager sharedInstance]_block_invoke
0x00000001b11ee8f4  0x000000d0  __TEXT,__text  objc  -[FMXPCTransactionManager initSingleton]  // -[FMXPCTransactionManager ?]
0x00000001b11ee9c4  0x00000044  __TEXT,__text  objc  -[FMXPCTransactionManager setTxn_ops_queue:]  // -[FMXPCTransactionManager ?]
0x00000001b11eea08  0x00000044  __TEXT,__text  objc  -[FMXPCTransactionManager setActiveTransactions:]  // -[FMXPCTransactionManager ?]
0x00000001b11eea4c  0x0000006c  __TEXT,__text  objc  -[FMXPCTransactionManager setLaunchOnRebootActivity:keepAliveActivity:]  // -[FMXPCTransactionManager ?]
0x00000001b11eeab8  0x000000a0  __TEXT,__text  objc  -[FMXPCTransactionManager _disableLaunchOnRebootActivity:]  // -[FMXPCTransactionManager ?]
0x00000001b11eeb58  0x00000044  __TEXT,__text  objc  -[FMXPCTransactionManager setKeepAliveActivityIdentifier:]  // -[FMXPCTransactionManager pomofo:]]
0x00000001b11eeb9c  0x000000a0  __TEXT,__text  objc  -[FMXPCTransactionManager _disableOldKeepAliveActivity]  // -[FMXPCTransactionManager ']
0x00000001b11eec3c  0x00000008  __TEXT,__text  objc  -[FMXPCTransactionManager keepAliveActivityIdentifier]  // -[FMXPCTransactionManager ]
0x00000001b11eec44  0x0000072c  __TEXT,__text  objc  -[FMDaemon verifyLaunchEventsConfiguration:withExclusions:]  // -[FMDaemon ?]
0x00000001b11ef370  0x00000094  __TEXT,__text  func  __59-[FMDaemon verifyLaunchEventsConfiguration:withExclusions:]_block_invoke
0x00000001b11ef404  0x000000c8  __TEXT,__text  objc  -[NSObject(NSObject_KVOBlock) addKVOBlockForKeyPath:options:handler:]  // -[?(NSObject_KVOBlock) I,R,N,V_pairingMode]
0x00000001b11ef4cc  0x000000a0  __TEXT,__text  func  KVOBlockHelperForObject
0x00000001b11ef56c  0x00000070  __TEXT,__text  objc  -[CKVOBlockHelper initWithObject:]  // -[CKVOBlockHelper ?]
0x00000001b11ef5dc  0x00000120  __TEXT,__text  objc  -[CKVOBlockHelper insertNewTokenForKeyPath:block:]  // -[CKVOBlockHelper ?]
0x00000001b11ef6fc  0x00000008  __TEXT,__text  objc  -[CKVOBlockHelper nextIdentifier]  // -[CKVOBlockHelper ?]
0x00000001b11ef704  0x00000008  __TEXT,__text  objc  -[CKVOBlockHelper setNextIdentifier:]  // -[CKVOBlockHelper ?]
0x00000001b11ef70c  0x000000b4  __TEXT,__text  objc  -[CKVOToken initWithKeyPath:index:block:]  // -[CKVOToken ?]
0x00000001b11ef7c0  0x00000008  __TEXT,__text  objc  -[CKVOToken index]  // -[CKVOToken ?]
0x00000001b11ef7c8  0x00000004  __TEXT,__text  objc  -[CKVOToken context]  // -[CKVOToken ?]
0x00000001b11ef7cc  0x0000011c  __TEXT,__text  objc  -[CKVOBlockHelper observeValueForKeyPath:ofObject:change:context:]  // -[CKVOBlockHelper ?]
0x00000001b11ef8e8  0x00000008  __TEXT,__text  objc  -[CKVOToken block]  // -[CKVOToken ?]
0x00000001b11ef8f0  0x000000c4  __TEXT,__text  objc  -[FMXPCTransactionManager endTransaction:]  // -[FMXPCTransactionManager ]
0x00000001b11ef9b4  0x00000008  __TEXT,__text  objc  -[FMXPCTransactionManager txn_ops_queue]  // -[FMXPCTransactionManager ?]
0x00000001b11ef9bc  0x000001fc  __TEXT,__text  func  __42-[FMXPCTransactionManager endTransaction:]_block_invoke
0x00000001b11efbb8  0x00000008  __TEXT,__text  objc  -[FMXPCTransactionManager activeTransactions]  // -[FMXPCTransactionManager ?]
0x00000001b11efbc0  0x000000b8  __TEXT,__text  objc  +[FMAPSHandler constantForEnvironmentString:]  // +[FMAPSHandler ?]
0x00000001b11efc78  0x0000015c  __TEXT,__text  objc  -[FMAPSHandler initWithEnvironmentName:launchOnDemandPort:]  // -[FMAPSHandler ar]
0x00000001b11efdd4  0x00000044  __TEXT,__text  objc  -[FMAPSHandler setEnvironmentName:]  // -[FMAPSHandler ]
0x00000001b11efe18  0x00000044  __TEXT,__text  objc  -[FMAPSHandler setApsConnection:]  // -[FMAPSHandler ?]
0x00000001b11efe5c  0x00000008  __TEXT,__text  objc  -[FMAPSHandler apsConnection]  // -[FMAPSHandler ?]
0x00000001b11efe64  0x00000044  __TEXT,__text  objc  -[FMAPSHandler setRegisteredDelegates:]  // -[FMAPSHandler ?]
0x00000001b11efea8  0x00000044  __TEXT,__text  objc  -[FMAPSHandler setPendingPushes:]  // -[FMAPSHandler 8]
0x00000001b11efeec  0x00000008  __TEXT,__text  objc  -[FMAPSHandler suspendRegistrations]  // -[FMAPSHandler ?]
0x00000001b11efef4  0x00000008  __TEXT,__text  objc  -[FMAPSHandler setRegistrationsSuspended:]  // -[FMAPSHandler ]
0x00000001b11efefc  0x00000008  __TEXT,__text  objc  -[FMAPSHandler setRegisterForDarkWake:]  // -[FMAPSHandler ?]
0x00000001b11eff04  0x000000a4  __TEXT,__text  objc  -[FMAPSHandler deregisterDelegate:]  // -[FMAPSHandler ?]
0x00000001b11effa8  0x000000d4  __TEXT,__text  objc  -[FMAPSHandler registerDelegate:forTopic:]  // -[FMAPSHandler T]
0x00000001b11f007c  0x00000098  __TEXT,__text  objc  -[FMAPSHandler apsToken]  // -[FMAPSHandler gle curly quotes around the selected text.]
0x00000001b11f0114  0x000000c4  __TEXT,__text  objc  -[FMXPCTransactionManager beginTransaction:]  // -[FMXPCTransactionManager ?]
0x00000001b11f01d8  0x000001a4  __TEXT,__text  func  __44-[FMXPCTransactionManager beginTransaction:]_block_invoke
0x00000001b11f037c  0x0000019c  __TEXT,__text  objc  -[FMXPCTransactionManager _enableKeepAlive]  // -[FMXPCTransactionManager ]
0x00000001b11f0518  0x00000084  __TEXT,__text  objc  -[FMWeakWrapper initWithObject:]  // -[FMWeakWrapper ?]
0x00000001b11f059c  0x0000000c  __TEXT,__text  objc  -[FMWeakWrapper setObject:]  // -[FMWeakWrapper ?]
0x00000001b11f05a8  0x00000008  __TEXT,__text  objc  -[FMWeakWrapper setObjectHash:]  // -[FMWeakWrapper ?]
0x00000001b11f05b0  0x00000058  __TEXT,__text  objc  +[FMNetworkMonitor sharedInstance]  // +[FMNetworkMonitor ?]
0x00000001b11f0608  0x00000040  __TEXT,__text  func  __34+[FMNetworkMonitor sharedInstance]_block_invoke
0x00000001b11f0648  0x00000038  __TEXT,__text  objc  -[FMNetworkMonitor isMonitoring]  // -[FMNetworkMonitor ?]
0x00000001b11f0680  0x00000008  __TEXT,__text  objc  -[FMNetworkMonitor evaluator]  // -[FMNetworkMonitor !]
0x00000001b11f0688  0x0000008c  __TEXT,__text  objc  -[FMNetworkMonitor startMonitoring]  // -[FMNetworkMonitor ?]
0x00000001b11f0714  0x00000044  __TEXT,__text  objc  -[FMNetworkMonitor setEvaluator:]  // -[FMNetworkMonitor ]
0x00000001b11f0758  0x00000184  __TEXT,__text  objc  -[FMNetworkMonitor observeValueForKeyPath:ofObject:change:context:]  // -[FMNetworkMonitor ?]
0x00000001b11f08dc  0x000000f4  __TEXT,__text  func  __67-[FMNetworkMonitor observeValueForKeyPath:ofObject:change:context:]_block_invoke
0x00000001b11f09d0  0x00000158  __TEXT,__text  func  __43-[FMXPCTransactionManager _enableKeepAlive]_block_invoke
