//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/FamilyControlsObjC.framework/Versions/A/FamilyControlsObjC
// arch:    arm64e
// uuid:    C70344B3-4B56-3D24-8DEE-A3D7DBE46355
// text:    0x0000000241806000
// count:   151 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000241806e58  0x00000068  __TEXT,__text  func  +[FOAgentConnectionPrivate newConnection]
0x0000000241806ec0  0x00000030  __TEXT,__text  func  +[FOAgentConnectionPrivate newInterface]
0x0000000241806ef0  0x00000058  __TEXT,__text  func  +[FOAuthorizationCenter sharedCenter]
0x0000000241806f48  0x00000040  __TEXT,__text  func  __37+[FOAuthorizationCenter sharedCenter]_block_invoke
0x0000000241806f88  0x00000070  __TEXT,__text  func  -[FOAuthorizationCenter init]
0x0000000241806ff8  0x0000004c  __TEXT,__text  func  -[FOAuthorizationCenter dealloc]
0x0000000241807044  0x000001cc  __TEXT,__text  func  -[FOAuthorizationCenter xpcConnection]
0x0000000241807210  0x00000044  __TEXT,__text  func  __38-[FOAuthorizationCenter xpcConnection]_block_invoke
0x0000000241807254  0x0000000c  __TEXT,__text  func  __copy_helper_block_e8_32w
0x0000000241807260  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32w
0x0000000241807268  0x00000044  __TEXT,__text  func  __38-[FOAuthorizationCenter xpcConnection]_block_invoke.6
0x00000002418072ac  0x00000094  __TEXT,__text  func  -[FOAuthorizationCenter clearCurrentConnectionAndInvalidate:]
0x0000000241807340  0x00000140  __TEXT,__text  func  -[FOAuthorizationCenter authorizationsPlist]
0x0000000241807480  0x00000260  __TEXT,__text  func  -[FOAuthorizationCenter authorizationRecords]
0x00000002418076e0  0x000000f8  __TEXT,__text  func  -[FOAuthorizationCenter requestAuthorizationForRecordIdentifier:completionHandler:]
0x00000002418077d8  0x0000011c  __TEXT,__text  func  __83-[FOAuthorizationCenter requestAuthorizationForRecordIdentifier:completionHandler:]_block_invoke
0x00000002418078f4  0x0000008c  __TEXT,__text  func  __83-[FOAuthorizationCenter requestAuthorizationForRecordIdentifier:completionHandler:]_block_invoke_2
0x0000000241807980  0x00000048  __TEXT,__text  func  __copy_helper_block_e8_32s40b
0x00000002418079c8  0x0000003c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s
0x0000000241807a04  0x00000098  __TEXT,__text  func  -[FOAuthorizationCenter requestDataAccessAuthorizationForRecordIdentifier:completionHandler:]
