//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/FindMyDevice.framework/Versions/A/FindMyDevice
// arch:    arm64e
// uuid:    E7F389DE-0136-3548-A024-9F7A9399373C
// text:    0x00000001ac814000
// count:   1137 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001ac8151a8  0x00000058  __TEXT,__text  objc  +[FMDFMMManager sharedInstance]  // +[FMDFMMManager ?]
0x00000001ac815200  0x00000040  __TEXT,__text  func  __31+[FMDFMMManager sharedInstance]_block_invoke
0x00000001ac815240  0x0000006c  __TEXT,__text  objc  -[FMDFMMManager init]  // -[FMDFMMManager ?]
0x00000001ac8152ac  0x00000044  __TEXT,__text  func  __21-[FMDFMMManager init]_block_invoke
0x00000001ac8152f0  0x000000a4  __TEXT,__text  objc  -[FMDFMMManager registerObservers]  // -[FMDFMMManager tesLabel, _templatesPopup, _autoSelectionModeLabel, _autoSelectionModePopup, _pathControlLabel, _pathControlPopup, _documentNameLabel, _documentNameTextField, _fileFormatLabel, _fileFormatPopup, _combineToSinglePageLabel, _combineToSinglePageCheckBox, _imageCorrectionLabel, _imageCorrectionPopup, _histogramLabel, _histogramView, _threshold_BW_Label, _threshold_BW_Left, _threshold_BW_Slider, _threshold_BW_Right, _brightness_BW_Label, _brightness_BW_Left, _brightness_BW_Slider, _brightness_BW_Right, _dither_BW_Checkbox, _brightness_Gray_Label, _brightness_Gray_Left, _brightness_Gray_Slider, _brightness_Gray_Right, _contrast_Gray_Label, _contrast_Gray_Left, _contrast_Gray_Slider, _contrast_Gray_Right, _brightness_Color_Label, _brightness_Color_Left, _brightness_Color_Slider, _brightness_Color_Right, _tint_Color_Label, _tint_Color_Left, _tint_Color_Slider, _tint_Color_Right, _temperature_Color_Label, _temperature_Color_Left, _temperature_Color_Slider, _temperature_Color_Right, _saturation_Color_Label, _saturation_Color_Left, _saturation_Color_Slider, _saturation_Color_Right, _resetImageCorrectionLabel, _resetImageCorrection, _selfTestLabel, _selfTestButton, _line1a,_line1b,_line2a,_line2b,_line3a,_line3b,_line4a,_line4b]
0x00000001ac815394  0x00000058  __TEXT,__text  func  LogCategory_Unspecified
0x00000001ac8153ec  0x00000048  __TEXT,__text  func  __LogCategory_Unspecified_block_invoke
0x00000001ac815434  0x00000240  __TEXT,__text  objc  -[FMDFMMManager isActivationLockedWithCompletion:]  // -[FMDFMMManager ]
0x00000001ac815674  0x00000058  __TEXT,__text  objc  +[FMNSXPCConnectionCache sharedCache]  // +[FMNSXPCConnectionCache CATRemoteConnectionSocketOptions]
0x00000001ac8156cc  0x00000040  __TEXT,__text  func  __37+[FMNSXPCConnectionCache sharedCache]_block_invoke
0x00000001ac81570c  0x00000090  __TEXT,__text  objc  -[FMNSXPCConnectionCache init]  // -[FMNSXPCConnectionCache ?]
0x00000001ac81579c  0x00000098  __TEXT,__text  objc  +[FMNSXPCConnectionConfiguration fmmConfiguration]  // +[FMNSXPCConnectionConfiguration setService:]
0x00000001ac815834  0x00000044  __TEXT,__text  objc  -[FMNSXPCConnectionConfiguration setServiceName:]  // -[FMNSXPCConnectionConfiguration ]
0x00000001ac815878  0x00000008  __TEXT,__text  objc  -[FMNSXPCConnectionConfiguration setOptions:]  // -[FMNSXPCConnectionConfiguration ?]
0x00000001ac815880  0x00000008  __TEXT,__text  objc  -[FMNSXPCConnectionConfiguration setMachService:]  // -[FMNSXPCConnectionConfiguration ?]
0x00000001ac815888  0x00000044  __TEXT,__text  objc  -[FMNSXPCConnectionConfiguration setRemoteInterface:]  // -[FMNSXPCConnectionConfiguration ?]
0x00000001ac8158cc  0x000001c8  __TEXT,__text  objc  -[FMNSXPCConnectionCache resumeConnectionWithConfiguration:]  // -[FMNSXPCConnectionCache ?]
0x00000001ac815a94  0x00000008  __TEXT,__text  objc  -[FMNSXPCConnectionConfiguration serviceName]  // -[FMNSXPCConnectionConfiguration ?]
0x00000001ac815a9c  0x00000008  __TEXT,__text  objc  -[FMNSXPCConnectionCache modsSerialQueue]  // -[FMNSXPCConnectionCache ?]
0x00000001ac815aa4  0x000001a0  __TEXT,__text  func  __60-[FMNSXPCConnectionCache resumeConnectionWithConfiguration:]_block_invoke
0x00000001ac815c44  0x00000008  __TEXT,__text  objc  -[FMNSXPCConnectionCache connectionsByServiceName]  // -[FMNSXPCConnectionCache ]
0x00000001ac815c4c  0x00000008  __TEXT,__text  objc  -[FMNSXPCConnection initWithConfiguration:]  // -[FMNSXPCConnection ?]
0x00000001ac815c54  0x000003bc  __TEXT,__text  objc  -[FMNSXPCConnection initWithConfiguration:exportedObject:]  // -[FMNSXPCConnection ?]
