//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/GameStoreKit.framework/Versions/A/GameStoreKit
// arch:    arm64e
// uuid:    323F61E1-FD45-3C8A-99DB-7F1036346D20
// text:    0x000000024983a000
// count:   130192 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000024983e7a8  0x0000009c  __TEXT,__text  func  -[OverlayTrackedDisplay initWithIdentifier:]
0x000000024983e844  0x0000004c  __TEXT,__text  func  userBrightnessChanged
0x000000024983e890  0x00000034  __TEXT,__text  func  -[OverlayTrackedDisplay brightness]
0x000000024983e8c4  0x00000018  __TEXT,__text  func  -[OverlayTrackedDisplay setBrightness:]
0x000000024983e8dc  0x00000008  __TEXT,__text  func  -[OverlayTrackedDisplay identifier]
0x000000024983e8e4  0x00000008  __TEXT,__text  func  -[OverlayTrackedDisplay isBuiltIn]
0x000000024983e8ec  0x00000008  __TEXT,__text  func  -[OverlayTrackedDisplay canChangeBrightness]
0x000000024983e8f4  0x00000008  __TEXT,__text  func  -[OverlayTrackedDisplay isSmartDisplay]
0x000000024983e8fc  0x00000058  __TEXT,__text  func  -[OverlayBrightnessUtilities init]
0x000000024983e954  0x00000050  __TEXT,__text  func  -[OverlayBrightnessUtilities activate]
0x000000024983e9a4  0x0000004c  __TEXT,__text  func  displayReconfigurationCallback
0x000000024983e9f0  0x00000084  __TEXT,__text  func  -[OverlayBrightnessUtilities deactivate]
0x000000024983ea74  0x00000058  __TEXT,__text  func  +[OverlayBrightnessUtilities sharedInstance]
0x000000024983eacc  0x00000040  __TEXT,__text  func  __44+[OverlayBrightnessUtilities sharedInstance]_block_invoke
0x000000024983eb0c  0x00000094  __TEXT,__text  func  -[OverlayBrightnessUtilities setBrightness:]
0x000000024983eba0  0x0000005c  __TEXT,__text  func  -[OverlayBrightnessUtilities userBrightnessChanged]
0x000000024983ebfc  0x00000180  __TEXT,__text  func  -[OverlayBrightnessUtilities configureDisplays]
0x000000024983ed7c  0x00000048  __TEXT,__text  func  -[OverlayBrightnessUtilities dealloc]
0x000000024983edc4  0x00000008  __TEXT,__text  func  -[OverlayBrightnessUtilities brightness]
0x000000024983edcc  0x00000008  __TEXT,__text  func  -[OverlayBrightnessUtilities canModifyBrightness]
0x000000024983edd4  0x00000008  __TEXT,__text  func  -[OverlayBrightnessUtilities setCanModifyBrightness:]
0x000000024983eddc  0x0000000c  __TEXT,__text  func  -[OverlayBrightnessUtilities .cxx_destruct]
0x000000024983ede8  0x00000034  __TEXT,__text  func  JUScreenClassGetMain
