//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/GeometryCompression.framework/Versions/A/GeometryCompression
// arch:    arm64e
// uuid:    CF1A5D04-1957-3649-B57D-89FACE1C628C
// text:    0x000000024ba2b000
// count:   330 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000024ba2b840  0x00000130  __TEXT,__text  func  GCLSourceFromData
0x000000024ba2b970  0x00000080  __TEXT,__text  func  GCLSourceRelease
0x000000024ba2b9f0  0x00000158  __TEXT,__text  func  GCLSourceOptionSet
0x000000024ba2bb48  0x0000014c  __TEXT,__text  func  GCLDecodeMeshFromSource
0x000000024ba2bc94  0x00000028  __TEXT,__text  func  GCLDecodeMeshFromSourceWithOptions
0x000000024ba2bcbc  0x00000018  __TEXT,__text  sub  sub_24ba2bcbc
0x000000024ba2bcd4  0x0000005c  __TEXT,__text  sub  sub_24ba2bcd4
0x000000024ba2bd30  0x00000034  __TEXT,__text  sub  sub_24ba2bd30
0x000000024ba2bd64  0x00000014  __TEXT,__text  sub  sub_24ba2bd64
0x000000024ba2bd78  0x00000058  __TEXT,__text  sub  sub_24ba2bd78
0x000000024ba2bdd0  0x00000004  __TEXT,__text  sub  sub_24ba2bdd0
0x000000024ba2bdd4  0x00000014  __TEXT,__text  sub  sub_24ba2bdd4
0x000000024ba2bde8  0x0000005c  __TEXT,__text  sub  sub_24ba2bde8
0x000000024ba2be44  0x00000050  __TEXT,__text  sub  sub_24ba2be44
0x000000024ba2be94  0x000000d0  __TEXT,__text  sub  sub_24ba2be94
0x000000024ba2bf64  0x00000088  __TEXT,__text  sub  sub_24ba2bf64
0x000000024ba2bfec  0x00000054  __TEXT,__text  sub  sub_24ba2bfec
0x000000024ba2c040  0x0000004c  __TEXT,__text  sub  sub_24ba2c040
0x000000024ba2c08c  0x0000007c  __TEXT,__text  sub  sub_24ba2c08c
0x000000024ba2c108  0x000001c8  __TEXT,__text  sub  sub_24ba2c108
0x000000024ba2c2d0  0x00000094  __TEXT,__text  sub  sub_24ba2c2d0
0x000000024ba2c364  0x00000088  __TEXT,__text  sub  sub_24ba2c364
0x000000024ba2c3ec  0x00000ba8  __TEXT,__text  sub  sub_24ba2c3ec
0x000000024ba2cf94  0x000000bc  __TEXT,__text  sub  sub_24ba2cf94
0x000000024ba2d050  0x000000b4  __TEXT,__text  sub  sub_24ba2d050
0x000000024ba2d104  0x0000003c  __TEXT,__text  sub  sub_24ba2d104
0x000000024ba2d140  0x000000b0  __TEXT,__text  sub  sub_24ba2d140
0x000000024ba2d1f0  0x0000002c  __TEXT,__text  sub  sub_24ba2d1f0
0x000000024ba2d21c  0x0000004c  __TEXT,__text  sub  sub_24ba2d21c
0x000000024ba2d268  0x000000f8  __TEXT,__text  sub  sub_24ba2d268
0x000000024ba2d360  0x000000b4  __TEXT,__text  sub  sub_24ba2d360
0x000000024ba2d414  0x000000a8  __TEXT,__text  sub  sub_24ba2d414
0x000000024ba2d4bc  0x0000025c  __TEXT,__text  sub  sub_24ba2d4bc
0x000000024ba2d718  0x00000010  __TEXT,__text  sub  sub_24ba2d718
0x000000024ba2d728  0x0000002c  __TEXT,__text  sub  sub_24ba2d728
0x000000024ba2d754  0x00000040  __TEXT,__text  sub  sub_24ba2d754
0x000000024ba2d794  0x00000074  __TEXT,__text  sub  sub_24ba2d794
0x000000024ba2d808  0x00000004  __TEXT,__text  sub  sub_24ba2d808
0x000000024ba2d80c  0x00000014  __TEXT,__text  sub  sub_24ba2d80c
0x000000024ba2d820  0x0000006c  __TEXT,__text  sub  sub_24ba2d820
0x000000024ba2d88c  0x00000038  __TEXT,__text  sub  sub_24ba2d88c
