//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/GraphicsServices.framework/Versions/A/GraphicsServices
// arch:    arm64e
// uuid:    4236E533-C3F8-340F-A462-F15D599395A8
// text:    0x000000019aba7000
// count:   237 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019aba7c38  0x00000074  __TEXT,__text  func  GSInitialize
0x000000019aba7cac  0x00000028  __TEXT,__text  func  __GSEventClassInitialize
0x000000019aba7cd4  0x00000028  __TEXT,__text  func  __GSKeyboardClassInitialize
0x000000019aba7cfc  0x0000001c  __TEXT,__text  func  GSEventRegisterEventCallBack
0x000000019aba7d18  0x00000038  __TEXT,__text  func  GSEventInitialize
0x000000019aba7d50  0x000001c8  __TEXT,__text  func  _GSEventInitializeApp
0x000000019aba7f18  0x000000e8  __TEXT,__text  func  _GSEventInitializeShared
0x000000019aba8000  0x00000174  __TEXT,__text  func  GetIdentifierCString
0x000000019aba8174  0x00000054  __TEXT,__text  func  _CreateAppPortName
0x000000019aba81c8  0x0000002c  __TEXT,__text  func  GSRegisterPurpleNamedPort
0x000000019aba81f4  0x000001cc  __TEXT,__text  func  _GSRegisterPurpleNamedPortInPrivateNamespace
0x000000019aba83c0  0x00000074  __TEXT,__text  func  AddSourceForEventPort
0x000000019aba8434  0x000000c8  __TEXT,__text  func  _AddRunLoopSourceForEventPort
0x000000019aba84fc  0x00000018  __TEXT,__text  func  GetPortForInfo
0x000000019aba8514  0x0000006c  __TEXT,__text  func  GSEventPushRunLoopMode
0x000000019aba8580  0x00000090  __TEXT,__text  func  GSSystemRootDirectory
0x000000019aba8610  0x0000008c  __TEXT,__text  func  GSGetPurpleApplicationPort
0x000000019aba869c  0x00000074  __TEXT,__text  func  GSEventIsHardwareKeyboardAttached
0x000000019aba8710  0x0000006c  __TEXT,__text  func  GetHardwareKeyboardToken
0x000000019aba877c  0x0000004c  __TEXT,__text  func  GSCurrentEventTimestamp
0x000000019aba87c8  0x00000064  __TEXT,__text  func  GetTimebase
0x000000019aba882c  0x00000154  __TEXT,__text  func  __GetTimebase_block_invoke
0x000000019aba8980  0x00000070  __TEXT,__text  func  GSKeyboardGetModifierState
0x000000019aba89f0  0x00000098  __TEXT,__text  func  GSColorCreateColorWithDeviceRGBA
0x000000019aba8a88  0x0000003c  __TEXT,__text  func  GetDeviceRGBColorSpace
0x000000019aba8ac4  0x00000070  __TEXT,__text  func  GSColorCreateColorWithDeviceRGBAInfo
0x000000019aba8b34  0x00000080  __TEXT,__text  func  GSColorCreateWithDeviceWhite
0x000000019aba8bb4  0x0000003c  __TEXT,__text  func  GetDeviceGrayColorSpace
0x000000019aba8bf0  0x00000120  __TEXT,__text  func  GSColorGetRGBAComponents
0x000000019aba8d10  0x000000a8  __TEXT,__text  func  ConvertColorToDeviceRGB
0x000000019aba8db8  0x000000bc  __TEXT,__text  func  GSColorGetRGBAInfo
0x000000019aba8e74  0x0000000c  __TEXT,__text  func  GSEventGetTypeID
0x000000019aba8e80  0x00000038  __TEXT,__text  func  GSEventCreateWithEventRecord
0x000000019aba8eb8  0x00000088  __TEXT,__text  func  CreateWithEventRecord
0x000000019aba8f40  0x00000028  __TEXT,__text  func  GetEventWindowInfo
0x000000019aba8f68  0x0000007c  __TEXT,__text  func  GSEventCopy
0x000000019aba8fe4  0x00000278  __TEXT,__text  func  GSEventCreatePlistRepresentation
0x000000019aba925c  0x00000058  __TEXT,__text  func  __CGPointEqualToPoint
0x000000019aba92b4  0x000000f8  __TEXT,__text  func  GSEventCreateWithPlist
0x000000019aba93ac  0x000001bc  __TEXT,__text  func  GSEventRecordGetRecordWithPlist
0x000000019aba9568  0x00000038  __TEXT,__text  func  GSEventRecordGetRecordDataWithPlist
0x000000019aba95a0  0x0000003c  __TEXT,__text  func  GSEventGetHandInfo
0x000000019aba95dc  0x00000050  __TEXT,__text  func  GSEventGetPathInfoAtIndex
0x000000019aba962c  0x0000004c  __TEXT,__text  func  GSEventSetPathInfoAtIndex
0x000000019aba9678  0x00000020  __TEXT,__text  func  GSEventDisableHandEventCoalescing
0x000000019aba9698  0x00000070  __TEXT,__text  func  GSEventGetInnerMostPathPosition
0x000000019aba9708  0x00000024  __TEXT,__text  func  GSEventGetLocationInWindow
0x000000019aba972c  0x00000088  __TEXT,__text  func  GSEventGetOuterMostPathPosition
0x000000019aba97b4  0x00000020  __TEXT,__text  func  GSEventIsHandEvent
0x000000019aba97d4  0x00000098  __TEXT,__text  func  GSEventIsChordingHandEvent
0x000000019aba986c  0x00000020  __TEXT,__text  func  GSEventShouldRouteToFrontMost
0x000000019aba988c  0x00000024  __TEXT,__text  func  GSEventRemoveShouldRouteToFrontMost
0x000000019aba98b0  0x000000f8  __TEXT,__text  func  GSEventGetType
0x000000019aba99a8  0x00000018  __TEXT,__text  func  GSEventGetSubType
0x000000019aba99c0  0x00000024  __TEXT,__text  func  GSEventSetLocationInWindow
0x000000019aba99e4  0x00000020  __TEXT,__text  func  GSEventSetType
0x000000019aba9a04  0x0000004c  __TEXT,__text  func  GSEventGetDeltaX
0x000000019aba9a50  0x0000004c  __TEXT,__text  func  GSEventGetDeltaY
0x000000019aba9a9c  0x00000018  __TEXT,__text  func  GSEventAccelerometerAxisX
0x000000019aba9ab4  0x00000018  __TEXT,__text  func  GSEventAccelerometerAxisY
0x000000019aba9acc  0x00000018  __TEXT,__text  func  GSEventAccelerometerAxisZ
0x000000019aba9ae4  0x00000018  __TEXT,__text  func  GSEventDeviceOrientation
0x000000019aba9afc  0x00000014  __TEXT,__text  func  GSEventGetClickCount
0x000000019aba9b10  0x0000002c  __TEXT,__text  func  GSEventGetTimestamp
0x000000019aba9b3c  0x00000014  __TEXT,__text  func  GSEventGetHIDTimestamp
0x000000019aba9b50  0x00000018  __TEXT,__text  func  GSEventGetWindow
0x000000019aba9b68  0x00000088  __TEXT,__text  func  GSEventIsForceQuitEvent
0x000000019aba9bf0  0x00000018  __TEXT,__text  func  _GSEventGetGSEventRecord
0x000000019aba9c08  0x00000074  __TEXT,__text  func  GSEventGetUsagePage
0x000000019aba9c7c  0x00000048  __TEXT,__text  func  GSEventCopyCharacters
0x000000019aba9cc4  0x00000048  __TEXT,__text  func  GSEventCopyCharactersIgnoringModifiers
0x000000019aba9d0c  0x00000048  __TEXT,__text  func  GSEventCopyMarkedCharacters
0x000000019aba9d54  0x00000018  __TEXT,__text  func  GSEventGetCharacterSet
0x000000019aba9d6c  0x00000018  __TEXT,__text  func  GSEventGetModifierFlags
0x000000019aba9d84  0x00000018  __TEXT,__text  func  GSEventGetKeyFlags
0x000000019aba9d9c  0x00000024  __TEXT,__text  func  GSEventIsKeyRepeating
0x000000019aba9dc0  0x0000005c  __TEXT,__text  func  GSEventIsHardwareKeyboardEvent
0x000000019aba9e1c  0x0000005c  __TEXT,__text  func  GSIsKeyEventType
0x000000019aba9e78  0x0000002c  __TEXT,__text  func  GSEventSourceIsHardware
0x000000019aba9ea4  0x000000f0  __TEXT,__text  func  _GSEventSourceIsOfType
0x000000019aba9f94  0x0000006c  __TEXT,__text  func  GSEventGetHardwareKeyboardType
0x000000019abaa000  0x0000006c  __TEXT,__text  func  GSEventGetHardwareKeyboardCountry
0x000000019abaa06c  0x00000034  __TEXT,__text  func  GSEventSetHardwareKeyboardAttached
0x000000019abaa0a0  0x00000088  __TEXT,__text  func  GSEventSetHardwareKeyboardAttachedWithCountryCodeAndType
0x000000019abaa128  0x000000b4  __TEXT,__text  func  GSEventSetCharacters
0x000000019abaa1dc  0x00000034  __TEXT,__text  func  CFRangeMake
0x000000019abaa210  0x00000018  __TEXT,__text  func  GSEventGetSenderPID
0x000000019abaa228  0x000000a0  __TEXT,__text  func  GSEventIsTabKeyEvent
0x000000019abaa2c8  0x0000002c  __TEXT,__text  func  GSEventIsKeyEventType
0x000000019abaa2f4  0x000000b8  __TEXT,__text  func  GSEventIsKeyCharacterEventType
0x000000019abaa3ac  0x00000064  __TEXT,__text  func  GSEventGetKeyCode
0x000000019abaa410  0x00000230  __TEXT,__text  func  GSEventCreateKeyEvent
0x000000019abaa640  0x000000b8  __TEXT,__text  func  GSEventSendKeyEvent
0x000000019abaa6f8  0x000000d8  __TEXT,__text  func  GSSendEvent
0x000000019abaa7d0  0x00000078  __TEXT,__text  func  GSEventQueueContainsMouseEvent
0x000000019abaa848  0x000000c0  __TEXT,__text  func  GSEventIsMouseEventType
0x000000019abaa908  0x00000040  __TEXT,__text  func  GSEventInitializeAsExtension
0x000000019abaa948  0x00000038  __TEXT,__text  func  GSEventInitializeWorkspaceWithQueue
0x000000019abaa980  0x00000040  __TEXT,__text  func  _GSEventInitialize
0x000000019abaa9c0  0x00000174  __TEXT,__text  func  GSEventFinishedActivating
0x000000019abaab34  0x00000028  __TEXT,__text  func  GSSendSystemEvent
0x000000019abaab5c  0x000001bc  __TEXT,__text  func  GSEventCreateApplicationSuspendEvent
0x000000019abaad18  0x00000098  __TEXT,__text  func  GSSendApplicationSuspendEvent
0x000000019abaadb0  0x00000034  __TEXT,__text  func  GSSendApplicationFinishedBackgroundContentFetchingEvent
0x000000019abaade4  0x00000078  __TEXT,__text  func  GSSendApplicationFinishedBackgroundContentFetchingEventWithSequenceNumber
0x000000019abaae5c  0x00000134  __TEXT,__text  func  GSEventCreateApplicationFinishedBackgroundContentFetchingEvent
0x000000019abaaf90  0x00000038  __TEXT,__text  func  GSSendWorkspaceEvent
0x000000019abaafc8  0x00000060  __TEXT,__text  func  GSSendApplicationFinishedBackgroundNotificationActionEvent
0x000000019abab028  0x00000054  __TEXT,__text  func  GSSendApplicationSuspendedSettingsUpdatedEvent
0x000000019abab07c  0x00000220  __TEXT,__text  func  GSSendAppPreferencesChanged
0x000000019abab29c  0x00000030  __TEXT,__text  func  GSCopyPurpleNamedPort
