//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/IDS.framework/Versions/A/IDS
// arch:    arm64e
// uuid:    19DAB4A1-E58C-36E3-9EA2-294474E3DA98
// text:    0x0000000195749000
// count:   8063 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019574ad08  0x0000000c  __TEXT,__text  func  IDSCopyIDForPhoneNumber
0x000000019574ad14  0x00000004  __TEXT,__text  func  IDSCopyIDForEmailAddress
0x000000019574ad18  0x00000004  __TEXT,__text  func  IDSCopyIDForPhoneNumberWithOptions
0x000000019574ad1c  0x00000070  __TEXT,__text  func  IDSWarn
0x000000019574ad8c  0x000000a0  __TEXT,__text  func  IDSLog
0x000000019574ae2c  0x00000040  __TEXT,__text  sub  sub_19574ae2c
0x000000019574ae6c  0x00000170  __TEXT,__text  sub  sub_19574ae6c
0x000000019574afdc  0x00000048  __TEXT,__text  sub  sub_19574afdc
0x000000019574b024  0x00000040  __TEXT,__text  sub  sub_19574b024
0x000000019574b064  0x00000010  __TEXT,__text  sub  sub_19574b064
0x000000019574b074  0x00000040  __TEXT,__text  sub  sub_19574b074
0x000000019574b0b4  0x000000b0  __TEXT,__text  sub  sub_19574b0b4
0x000000019574b164  0x000000a4  __TEXT,__text  sub  sub_19574b164
0x000000019574b208  0x000000a4  __TEXT,__text  sub  sub_19574b208
0x000000019574b2ac  0x0000009c  __TEXT,__text  sub  sub_19574b2ac
0x000000019574b348  0x00000064  __TEXT,__text  sub  sub_19574b348
0x000000019574b3ac  0x00000068  __TEXT,__text  sub  sub_19574b3ac
0x000000019574b414  0x000000bc  __TEXT,__text  sub  sub_19574b414
0x000000019574b4d0  0x000000c4  __TEXT,__text  sub  sub_19574b4d0
0x000000019574b594  0x000000b4  __TEXT,__text  sub  sub_19574b594
0x000000019574b648  0x000000b0  __TEXT,__text  sub  sub_19574b648
0x000000019574b6f8  0x00000038  __TEXT,__text  sub  sub_19574b6f8
