//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/IOKitten.framework/Versions/A/IOKitten
// arch:    arm64e
// uuid:    10C7A07C-23EE-36DA-824B-DA5077536AEB
// text:    0x00000001be446000
// count:   281 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001be446c28  0x00000004  __TEXT,__text  objc  -[IOKIterator initWithIOObject:]  // -[IOKIterator ?]
0x00000001be446c2c  0x00000038  __TEXT,__text  objc  -[IOKIterator initWithIterator:]  // -[IOKIterator ?]
0x00000001be446c64  0x00000078  __TEXT,__text  objc  -[IOKIterator initWithIterator:enumerationBlock:]  // -[IOKIterator ]
0x00000001be446cdc  0x00000070  __TEXT,__text  objc  -[IOKIterator nextObject]  // -[IOKIterator ?]
0x00000001be446d4c  0x00000028  __TEXT,__text  objc  -[IOKIterator reset]  // -[IOKIterator ?]
0x00000001be446d74  0x00000024  __TEXT,__text  objc  -[IOKIterator isValid]  // -[IOKIterator ]
0x00000001be446d98  0x000000a0  __TEXT,__text  objc  -[IOKIterator enumerateWithBlock:]  // -[IOKIterator ?]
0x00000001be446e38  0x00000068  __TEXT,__text  objc  -[IOKIterator enumerate]  // -[IOKIterator ?]
0x00000001be446ea0  0x00000014  __TEXT,__text  objc  -[IOKIterator .cxx_destruct]  // -[IOKIterator ?]
0x00000001be446eb4  0x00000024  __TEXT,__text  objc  -[IORegistryIterator enterEntry]  // -[IORegistryIterator ]
0x00000001be446ed8  0x00000024  __TEXT,__text  objc  -[IORegistryIterator exitEntry]  // -[IORegistryIterator ?]
0x00000001be446efc  0x0000002c  __TEXT,__text  objc  +[IOKPowerManager powerManager]  // +[IOKPowerManager ?]
0x00000001be446f28  0x00000068  __TEXT,__text  objc  -[IOKPowerManager init]  // -[IOKPowerManager ?]
0x00000001be446f90  0x00000020  __TEXT,__text  objc  +[IOKPowerManager isSleepEnabled]  // +[IOKPowerManager ?]
0x00000001be446fb0  0x000000a8  __TEXT,__text  objc  -[IOKPowerManager sleepSystemWithError:]  // -[IOKPowerManager ?]
0x00000001be447058  0x00000050  __TEXT,__text  objc  -[IOKPowerManager dealloc]  // -[IOKPowerManager ?]
0x00000001be4470a8  0x000000b4  __TEXT,__text  objc  -[IOKPowerNotifier initWithDispatchQueue:]  // -[IOKPowerNotifier ?]
0x00000001be44715c  0x00000004  __TEXT,__text  func  IOKPowerNotifierCallback
0x00000001be447160  0x000000ec  __TEXT,__text  objc  -[IOKPowerNotifier _handlePowerNotificationWithMessageType:andArgument:]  // -[IOKPowerNotifier ?]
0x00000001be44724c  0x000000b4  __TEXT,__text  objc  -[IOKPowerNotifier systemWillSleep]  // -[IOKPowerNotifier ?]
0x00000001be447300  0x000000b4  __TEXT,__text  objc  -[IOKPowerNotifier systemWillPowerOn]  // -[IOKPowerNotifier ?]
0x00000001be4473b4  0x000000b4  __TEXT,__text  objc  -[IOKPowerNotifier systemWillNotSleep]  // -[IOKPowerNotifier ?]
0x00000001be447468  0x000000b4  __TEXT,__text  objc  -[IOKPowerNotifier systemHasPoweredOn]  // -[IOKPowerNotifier ]
0x00000001be44751c  0x00000068  __TEXT,__text  objc  -[IOKPowerNotifier dealloc]  // -[IOKPowerNotifier ?]
0x00000001be447584  0x0000002c  __TEXT,__text  objc  -[IOKPowerNotifier delegate]  // -[IOKPowerNotifier ?]
0x00000001be4475b0  0x0000000c  __TEXT,__text  objc  -[IOKPowerNotifier setDelegate:]  // -[IOKPowerNotifier ?]
0x00000001be4475bc  0x00000008  __TEXT,__text  objc  -[IOKPowerNotifier .cxx_destruct]  // -[IOKPowerNotifier ?]
0x00000001be4475c4  0x000000a8  __TEXT,__text  objc  -[IOKPowerManagerPowerAssertion initWithName:assertionTyoe:assertionLevel:]  // -[IOKPowerManagerPowerAssertion ?]
0x00000001be44766c  0x0000004c  __TEXT,__text  objc  -[IOKPowerManagerPowerAssertion dealloc]  // -[IOKPowerManagerPowerAssertion ?]
0x00000001be4476b8  0x00000090  __TEXT,__text  objc  -[IOKConnection init]  // -[IOKConnection ?]
0x00000001be447748  0x000000a4  __TEXT,__text  objc  -[IOKConnection initWithService:andType:]  // -[IOKConnection ?]
0x00000001be4477ec  0x00000008  __TEXT,__text  objc  -[IOKConnection initWithService:]  // -[IOKConnection ?]
0x00000001be4477f4  0x00000074  __TEXT,__text  objc  -[IOKConnection service]  // -[IOKConnection ?]
0x00000001be447868  0x000000e4  __TEXT,__text  objc  -[IOKConnection setNotificationPort:ofType:withReference:error:]  // -[IOKConnection ]
0x00000001be44794c  0x000000cc  __TEXT,__text  objc  -[IOKConnection mapMemory64OfType:withOptions:atAddress:ofSize:error:]  // -[IOKConnection ?]
0x00000001be447a18  0x000000b4  __TEXT,__text  objc  -[IOKConnection unmapMemory64OfType:atAddress:error:]  // -[IOKConnection ?]
0x00000001be447acc  0x000000b8  __TEXT,__text  objc  -[IOKConnection setProperties:error:]  // -[IOKConnection ?]
0x00000001be447b84  0x000000d0  __TEXT,__text  objc  -[IOKConnection setProperty:withKey:error:]  // -[IOKConnection ?]
0x00000001be447c54  0x000000f8  __TEXT,__text  objc  -[IOKConnection callMethodWithSelector:scalarInputs:scalarInputCount:structInput:structInputSize:scalarOutputs:scalarOutputCount:structOutput:structOutputSize:error:]  // -[IOKConnection ]
0x00000001be447d4c  0x00000108  __TEXT,__text  objc  -[IOKConnection callAsyncMethodWithSelector:wakePort:reference:referenceCount:scalarInputs:scalarInputCount:structInput:structInputSize:scalarOutputs:scalarOutputCount:structOutput:structOutputSize:error:]  // -[IOKConnection ]
0x00000001be447e54  0x000000c8  __TEXT,__text  objc  -[IOKConnection callMethodWithSelector:structInput:structInputSize:structOutput:structOutputSize:error:]  // -[IOKConnection ?]
0x00000001be447f1c  0x000000ec  __TEXT,__text  objc  -[IOKConnection callAsyncMethodWithSelector:wakePort:reference:referenceCount:structInput:structInputSize:structOutput:structOutputSize:error:]  // -[IOKConnection ?]
0x00000001be448008  0x000000c8  __TEXT,__text  objc  -[IOKConnection callMethodWithSelector:scalarInputs:scalarInputCount:scalarOutputs:scalarOutputCount:error:]  // -[IOKConnection ?]
0x00000001be4480d0  0x000000ec  __TEXT,__text  objc  -[IOKConnection callAsyncMethodWithSelector:wakePort:reference:referenceCount:scalarInputs:scalarInputCount:scalarOutputs:scalarOutputCount:error:]  // -[IOKConnection ?]
0x00000001be4481bc  0x00000098  __TEXT,__text  objc  -[IOKConnection trap:error:]  // -[IOKConnection ?]
