//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/IntelligentRouting.framework/Versions/A/IntelligentRouting
// arch:    arm64e
// uuid:    4FFEFF37-B2C4-3BD7-8CCD-6CE9C9A4F2B2
// text:    0x00000002528d6000
// count:   604 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002528d6f88  0x00000024  __TEXT,__text  func  IRAppleTVControlEventTypeToString
0x00000002528d6fac  0x0000001c  __TEXT,__text  func  IRAppleTVControlEventSubTypeToString
0x00000002528d6fc8  0x000000b4  __TEXT,__text  func  -[IRAppleTVControlEvent initWithEventType:eventSubType:]
0x00000002528d707c  0x0000000c  __TEXT,__text  func  -[IRAppleTVControlEvent _isEventTypeValid:]
0x00000002528d7088  0x0000000c  __TEXT,__text  func  -[IRAppleTVControlEvent _isEventSubTypeValid:]
0x00000002528d7094  0x00000008  __TEXT,__text  func  +[IRAppleTVControlEvent supportsSecureCoding]
0x00000002528d709c  0x000000d8  __TEXT,__text  func  -[IRAppleTVControlEvent copyWithZone:]
0x00000002528d7174  0x0000011c  __TEXT,__text  func  -[IRAppleTVControlEvent encodeWithCoder:]
0x00000002528d7290  0x000001dc  __TEXT,__text  func  -[IRAppleTVControlEvent initWithCoder:]
0x00000002528d746c  0x0000017c  __TEXT,__text  func  -[IRAppleTVControlEvent description]
0x00000002528d75e8  0x000001e8  __TEXT,__text  func  -[IRAppleTVControlEvent isEqual:]
0x00000002528d77d0  0x000000a0  __TEXT,__text  func  -[IRAppleTVControlEvent hash]
0x00000002528d7870  0x00000010  __TEXT,__text  func  -[IRAppleTVControlEvent eventType]
0x00000002528d7880  0x00000010  __TEXT,__text  func  -[IRAppleTVControlEvent eventSubType]
0x00000002528d7890  0x00000010  __TEXT,__text  func  -[IRAppleTVControlEvent contextIdentifier]
0x00000002528d78a0  0x00000054  __TEXT,__text  func  -[IRAppleTVControlEvent setContextIdentifier:]
0x00000002528d78f4  0x00000010  __TEXT,__text  func  -[IRAppleTVControlEvent bundleID]
0x00000002528d7904  0x00000054  __TEXT,__text  func  -[IRAppleTVControlEvent setBundleID:]
0x00000002528d7958  0x00000054  __TEXT,__text  func  -[IRAppleTVControlEvent .cxx_destruct]
0x00000002528d79ac  0x00000078  __TEXT,__text  func  -[IRBundle initWithIdentifier:]
0x00000002528d7a24  0x00000008  __TEXT,__text  func  +[IRBundle supportsSecureCoding]
0x00000002528d7a2c  0x0000003c  __TEXT,__text  func  -[IRBundle copyWithZone:]
0x00000002528d7a68  0x00000018  __TEXT,__text  func  -[IRBundle encodeWithCoder:]
0x00000002528d7a80  0x000000cc  __TEXT,__text  func  -[IRBundle initWithCoder:]
0x00000002528d7b4c  0x000000b4  __TEXT,__text  func  -[IRBundle description]
0x00000002528d7c00  0x00000100  __TEXT,__text  func  -[IRBundle isEqual:]
0x00000002528d7d00  0x00000024  __TEXT,__text  func  -[IRBundle hash]
0x00000002528d7d24  0x00000008  __TEXT,__text  func  -[IRBundle identifier]
0x00000002528d7d2c  0x0000000c  __TEXT,__text  func  -[IRBundle .cxx_destruct]
0x00000002528d7d38  0x00000024  __TEXT,__text  func  IRMediaBundleTypeToString
0x00000002528d7d5c  0x00000050  __TEXT,__text  func  -[IRMediaBundle initWithBundleType:andIdentifier:]
0x00000002528d7dac  0x00000008  __TEXT,__text  func  +[IRMediaBundle supportsSecureCoding]
0x00000002528d7db4  0x00000068  __TEXT,__text  func  -[IRMediaBundle copyWithZone:]
0x00000002528d7e1c  0x000000a0  __TEXT,__text  func  -[IRMediaBundle encodeWithCoder:]
0x00000002528d7ebc  0x000000d4  __TEXT,__text  func  -[IRMediaBundle initWithCoder:]
0x00000002528d7f90  0x00000104  __TEXT,__text  func  -[IRMediaBundle description]
0x00000002528d8094  0x00000134  __TEXT,__text  func  -[IRMediaBundle isEqual:]
0x00000002528d81c8  0x00000050  __TEXT,__text  func  -[IRMediaBundle hash]
0x00000002528d8218  0x00000008  __TEXT,__text  func  -[IRMediaBundle bundleType]
0x00000002528d8220  0x00000094  __TEXT,__text  func  -[IRCandidate initWithCandidateIdentifier:]
0x00000002528d82b4  0x00000044  __TEXT,__text  func  -[IRCandidate updateNodes:]
0x00000002528d82f8  0x00000008  __TEXT,__text  func  +[IRCandidate supportsSecureCoding]
0x00000002528d8300  0x000000dc  __TEXT,__text  func  -[IRCandidate copyWithZone:]
0x00000002528d83dc  0x000000b0  __TEXT,__text  func  -[IRCandidate encodeWithCoder:]
0x00000002528d848c  0x000002b0  __TEXT,__text  func  -[IRCandidate initWithCoder:]
0x00000002528d873c  0x000000bc  __TEXT,__text  func  -[IRCandidate description]
0x00000002528d87f8  0x00000378  __TEXT,__text  func  -[IRCandidate isEqual:]
0x00000002528d8b70  0x00000068  __TEXT,__text  func  -[IRCandidate hash]
0x00000002528d8bd8  0x00000008  __TEXT,__text  func  -[IRCandidate candidateIdentifier]
0x00000002528d8be0  0x00000008  __TEXT,__text  func  -[IRCandidate avOutpuDeviceIdentifier]
0x00000002528d8be8  0x00000044  __TEXT,__text  func  -[IRCandidate setAvOutpuDeviceIdentifier:]
0x00000002528d8c2c  0x00000008  __TEXT,__text  func  -[IRCandidate rapportIdentifier]
0x00000002528d8c34  0x00000044  __TEXT,__text  func  -[IRCandidate setRapportIdentifier:]
0x00000002528d8c78  0x00000008  __TEXT,__text  func  -[IRCandidate idsIdentifier]
0x00000002528d8c80  0x00000044  __TEXT,__text  func  -[IRCandidate setIdsIdentifier:]
0x00000002528d8cc4  0x00000008  __TEXT,__text  func  -[IRCandidate nodes]
0x00000002528d8ccc  0x00000068  __TEXT,__text  func  -[IRCandidate .cxx_destruct]
0x00000002528d8d34  0x00000024  __TEXT,__text  func  IRCandidateClassificationToString
0x00000002528d8d58  0x00000030  __TEXT,__text  func  -[IRCandidateResult initWithCandidate:classification:andClassificationDescription:]
0x00000002528d8d88  0x00000110  __TEXT,__text  func  -[IRCandidateResult initWithCandidate:classification:classificationDescription:sortingHint:isCallToAction:isLockScreenControl:isConservativeFiltered:]
0x00000002528d8e98  0x00000050  __TEXT,__text  func  -[IRCandidateResult setClassification:withDescription:]
0x00000002528d8ee8  0x00000008  __TEXT,__text  func  +[IRCandidateResult supportsSecureCoding]
0x00000002528d8ef0  0x000000cc  __TEXT,__text  func  -[IRCandidateResult copyWithZone:]
0x00000002528d8fbc  0x0000015c  __TEXT,__text  func  -[IRCandidateResult encodeWithCoder:]
0x00000002528d9118  0x000002a0  __TEXT,__text  func  -[IRCandidateResult initWithCoder:]
0x00000002528d93b8  0x000001bc  __TEXT,__text  func  -[IRCandidateResult description]
0x00000002528d9574  0x00000220  __TEXT,__text  func  -[IRCandidateResult isEqual:]
0x00000002528d9794  0x00000064  __TEXT,__text  func  -[IRCandidateResult hash]
0x00000002528d97f8  0x00000008  __TEXT,__text  func  -[IRCandidateResult candidate]
0x00000002528d9800  0x00000008  __TEXT,__text  func  -[IRCandidateResult classification]
0x00000002528d9808  0x00000008  __TEXT,__text  func  -[IRCandidateResult classificationDescription]
0x00000002528d9810  0x00000008  __TEXT,__text  func  -[IRCandidateResult sortingHint]
0x00000002528d9818  0x00000044  __TEXT,__text  func  -[IRCandidateResult setSortingHint:]
0x00000002528d985c  0x00000008  __TEXT,__text  func  -[IRCandidateResult isCallToAction]
0x00000002528d9864  0x00000008  __TEXT,__text  func  -[IRCandidateResult setIsCallToAction:]
0x00000002528d986c  0x00000008  __TEXT,__text  func  -[IRCandidateResult isLockScreenControl]
0x00000002528d9874  0x00000008  __TEXT,__text  func  -[IRCandidateResult setIsLockScreenControl:]
0x00000002528d987c  0x00000008  __TEXT,__text  func  -[IRCandidateResult isConservativeFiltered]
0x00000002528d9884  0x00000008  __TEXT,__text  func  -[IRCandidateResult setIsConservativeFiltered:]
0x00000002528d988c  0x00000050  __TEXT,__text  func  -[IRCandidateResult .cxx_destruct]
0x00000002528d98dc  0x00000078  __TEXT,__text  func  -[IRConfiguration initWithServiceToken:]
0x00000002528d9954  0x00000008  __TEXT,__text  func  +[IRConfiguration supportsSecureCoding]
0x00000002528d995c  0x0000006c  __TEXT,__text  func  -[IRConfiguration copyWithZone:]
0x00000002528d99c8  0x00000098  __TEXT,__text  func  -[IRConfiguration encodeWithCoder:]
0x00000002528d9a60  0x00000128  __TEXT,__text  func  -[IRConfiguration initWithCoder:]
0x00000002528d9b88  0x000000cc  __TEXT,__text  func  -[IRConfiguration description]
0x00000002528d9c54  0x00000134  __TEXT,__text  func  -[IRConfiguration isEqual:]
0x00000002528d9d88  0x00000034  __TEXT,__text  func  -[IRConfiguration hash]
0x00000002528d9dbc  0x00000008  __TEXT,__text  func  -[IRConfiguration serviceToken]
0x00000002528d9dc4  0x00000008  __TEXT,__text  func  -[IRConfiguration mode]
0x00000002528d9dcc  0x00000008  __TEXT,__text  func  -[IRConfiguration setMode:]
0x00000002528d9dd4  0x0000000c  __TEXT,__text  func  -[IRConfiguration .cxx_destruct]
0x00000002528d9de0  0x000000a0  __TEXT,__text  func  -[IRContext initWithCandidateResults:isBannerClassificationUnavailable:bundleIdentifier:]
0x00000002528d9e80  0x000000b8  __TEXT,__text  func  -[IRContext initWithCandidateResults:isBannerClassificationUnavailable:bundleIdentifier:homeSuggestions:]
0x00000002528d9f38  0x00000150  __TEXT,__text  func  -[IRContext initWithCandidateResults:isBannerClassificationUnavailable:bundleIdentifier:homeSuggestions:metadata:]
0x00000002528da088  0x0000002c  __TEXT,__text  func  -[IRContext candidateResults]
0x00000002528da0b4  0x00000008  __TEXT,__text  func  +[IRContext supportsSecureCoding]
0x00000002528da0bc  0x000000dc  __TEXT,__text  func  -[IRContext copyWithZone:]
0x00000002528da198  0x000000e8  __TEXT,__text  func  -[IRContext encodeWithCoder:]
0x00000002528da280  0x00000380  __TEXT,__text  func  -[IRContext initWithCoder:]
0x00000002528da600  0x0000014c  __TEXT,__text  func  -[IRContext description]
0x00000002528da74c  0x00000394  __TEXT,__text  func  -[IRContext isEqual:]
0x00000002528daae0  0x00000070  __TEXT,__text  func  -[IRContext hash]
0x00000002528dab50  0x00000008  __TEXT,__text  func  -[IRContext contextIdentifier]
0x00000002528dab58  0x00000008  __TEXT,__text  func  -[IRContext isBannerClassificationUnavailable]
0x00000002528dab60  0x00000008  __TEXT,__text  func  -[IRContext bundleIdentifier]
0x00000002528dab68  0x00000008  __TEXT,__text  func  -[IRContext homeSuggestions]
0x00000002528dab70  0x00000008  __TEXT,__text  func  -[IRContext metadata]
0x00000002528dab78  0x00000068  __TEXT,__text  func  -[IRContext .cxx_destruct]
0x00000002528dabe0  0x0000001c  __TEXT,__text  func  IRErrorWithCodeAndUserInfo
0x00000002528dabfc  0x00000078  __TEXT,__text  func  -[IREvent initWithName:]
0x00000002528dac74  0x00000008  __TEXT,__text  func  +[IREvent supportsSecureCoding]
0x00000002528dac7c  0x0000005c  __TEXT,__text  func  -[IREvent copyWithZone:]
0x00000002528dacd8  0x00000018  __TEXT,__text  func  -[IREvent encodeWithCoder:]
0x00000002528dacf0  0x000000cc  __TEXT,__text  func  -[IREvent initWithCoder:]
0x00000002528dadbc  0x00000008  __TEXT,__text  func  -[IREvent isOutsideApp]
0x00000002528dadc4  0x00000008  __TEXT,__text  func  -[IREvent isEligibleApp]
0x00000002528dadcc  0x000000cc  __TEXT,__text  func  -[IREvent description]
0x00000002528dae98  0x00000100  __TEXT,__text  func  -[IREvent isEqual:]
0x00000002528daf98  0x00000024  __TEXT,__text  func  -[IREvent hash]
0x00000002528dafbc  0x00000008  __TEXT,__text  func  -[IREvent name]
0x00000002528dafc4  0x0000000c  __TEXT,__text  func  -[IREvent .cxx_destruct]
0x00000002528dafd0  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x00000002528dafe4  0x00000024  __TEXT,__text  func  IRHomeEventTypeToString
0x00000002528db008  0x0000001c  __TEXT,__text  func  IRHomeEventSubTypeToString
0x00000002528db024  0x000000b4  __TEXT,__text  func  -[IRHomeEvent initWithEventType:eventSubType:]
0x00000002528db0d8  0x0000000c  __TEXT,__text  func  -[IRHomeEvent _isEventTypeValid:]
0x00000002528db0e4  0x0000000c  __TEXT,__text  func  -[IRHomeEvent _isEventSubTypeValid:]
0x00000002528db0f0  0x00000008  __TEXT,__text  func  +[IRHomeEvent supportsSecureCoding]
0x00000002528db0f8  0x000000f8  __TEXT,__text  func  -[IRHomeEvent copyWithZone:]
0x00000002528db1f0  0x0000011c  __TEXT,__text  func  -[IRHomeEvent encodeWithCoder:]
0x00000002528db30c  0x000001dc  __TEXT,__text  func  -[IRHomeEvent initWithCoder:]
0x00000002528db4e8  0x0000017c  __TEXT,__text  func  -[IRHomeEvent description]
0x00000002528db664  0x00000214  __TEXT,__text  func  -[IRHomeEvent isEqual:]
0x00000002528db878  0x000000a0  __TEXT,__text  func  -[IRHomeEvent hash]
0x00000002528db918  0x00000010  __TEXT,__text  func  -[IRHomeEvent eventType]
0x00000002528db928  0x00000010  __TEXT,__text  func  -[IRHomeEvent eventSubType]
0x00000002528db938  0x00000010  __TEXT,__text  func  -[IRHomeEvent contextIdentifier]
0x00000002528db948  0x00000054  __TEXT,__text  func  -[IRHomeEvent setContextIdentifier:]
0x00000002528db99c  0x00000010  __TEXT,__text  func  -[IRHomeEvent bundleID]
0x00000002528db9ac  0x00000054  __TEXT,__text  func  -[IRHomeEvent setBundleID:]
0x00000002528dba00  0x00000054  __TEXT,__text  func  -[IRHomeEvent .cxx_destruct]
0x00000002528dba54  0x00000024  __TEXT,__text  func  IRHomeSuggestionTypeToString
0x00000002528dba78  0x00000030  __TEXT,__text  func  -[IRHomeSuggestion initWithType:targetUUID:targetName:accessoryServiceUUID:homeUUID:score:suggestionReason:]
0x00000002528dbaa8  0x00000150  __TEXT,__text  func  -[IRHomeSuggestion initWithType:targetUUID:targetName:accessoryServiceUUID:homeUUID:score:suggestionReason:presentationMode:]
0x00000002528dbbf8  0x00000008  __TEXT,__text  func  +[IRHomeSuggestion supportsSecureCoding]
0x00000002528dbc00  0x0000013c  __TEXT,__text  func  -[IRHomeSuggestion copyWithZone:]
0x00000002528dbd3c  0x0000013c  __TEXT,__text  func  -[IRHomeSuggestion encodeWithCoder:]
0x00000002528dbe78  0x00000310  __TEXT,__text  func  -[IRHomeSuggestion initWithCoder:]
0x00000002528dc188  0x00000238  __TEXT,__text  func  -[IRHomeSuggestion description]
