//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/KeyboardServices.framework/KeyboardServices
// arch:    arm64e
// uuid:    6FE43386-5F05-388E-AADF-B02DC1EBAAF1
// text:    0x00000001a4f21000
// count:   1844 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001a4f22550  0x0000001c  __TEXT,__text  objc  -[_KSSystemTask init]  // -[_KSSystemTask ]
0x00000001a4f2256c  0x00000290  __TEXT,__text  objc  -[_KSSystemTask initWithName:isPeriodic:period:handler:]  // -[_KSSystemTask ?]
0x00000001a4f227fc  0x00000278  __TEXT,__text  objc  -[_KSSystemTask initWithName:delay:handler:]  // -[_KSSystemTask ?]
0x00000001a4f22a74  0x00000008  __TEXT,__text  objc  -[_KSSystemTask periodSeconds]  // -[_KSSystemTask ?]
0x00000001a4f22a7c  0x00000008  __TEXT,__text  objc  -[_KSSystemTask name]  // -[_KSSystemTask ?]
0x00000001a4f22a84  0x00000008  __TEXT,__text  objc  -[_KSSystemTask handler]  // -[_KSSystemTask ]
0x00000001a4f22a8c  0x00000008  __TEXT,__text  objc  -[_KSSystemTask maxRunTime]  // -[_KSSystemTask ,R,N,V_metadata]
0x00000001a4f22a94  0x00000008  __TEXT,__text  objc  -[_KSSystemTask setMaxRunTime:]  // -[_KSSystemTask h]
0x00000001a4f22a9c  0x00000008  __TEXT,__text  objc  -[_KSSystemTask checkInTime]  // -[_KSSystemTask ?]
0x00000001a4f22aa4  0x00000008  __TEXT,__text  objc  -[_KSSystemTask setCheckInTime:]  // -[_KSSystemTask f%@]
0x00000001a4f22aac  0x00000008  __TEXT,__text  objc  -[_KSSystemTask queue]  // -[_KSSystemTask ]
0x00000001a4f22ab4  0x00000008  __TEXT,__text  objc  -[_KSSystemTask executionCriteria]  // -[_KSSystemTask ?]
0x00000001a4f22abc  0x0000005c  __TEXT,__text  objc  -[_KSSystemTask .cxx_destruct]  // -[_KSSystemTask ?]
0x00000001a4f22b18  0x00000068  __TEXT,__text  objc  -[_KSTaskScheduler init]  // -[_KSTaskScheduler ?]
0x00000001a4f22b80  0x000000b4  __TEXT,__text  objc  +[_KSTaskScheduler sharedInstance]  // +[_KSTaskScheduler ?]
0x00000001a4f22c34  0x0000003c  __TEXT,__text  func  __34+[_KSTaskScheduler sharedInstance]_block_invoke
0x00000001a4f22c70  0x00000110  __TEXT,__text  objc  -[_KSTaskScheduler registerTask:]  // -[_KSTaskScheduler ?]
0x00000001a4f22d80  0x000002c8  __TEXT,__text  func  __33-[_KSTaskScheduler registerTask:]_block_invoke
0x00000001a4f23048  0x000002fc  __TEXT,__text  func  __33-[_KSTaskScheduler registerTask:]_block_invoke.70
0x00000001a4f23344  0x00000008  __TEXT,__text  func  __33-[_KSTaskScheduler registerTask:]_block_invoke.72
0x00000001a4f2334c  0x00000008  __TEXT,__text  func  __copy_helper_block_e8_32s
0x00000001a4f23354  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x00000001a4f2335c  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32s40s48r
0x00000001a4f233ac  0x00000048  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48r
0x00000001a4f233f4  0x00000064  __TEXT,__text  objc  -[_KSTaskScheduler unregisterTask:]  // -[_KSTaskScheduler ?]
0x00000001a4f23458  0x00000008  __TEXT,__text  objc  -[_KSTaskScheduler allTasks]  // -[_KSTaskScheduler AccountData]
0x00000001a4f23460  0x00000044  __TEXT,__text  objc  -[_KSTaskScheduler setAllTasks:]  // -[_KSTaskScheduler ?]
0x00000001a4f234a4  0x0000000c  __TEXT,__text  objc  -[_KSTaskScheduler .cxx_destruct]  // -[_KSTaskScheduler ?]
0x00000001a4f234b0  0x00000120  __TEXT,__text  objc  +[_KSDeviceInfo ksDecviceWithiCloudDeviceInfo:]  // +[_KSDeviceInfo ?]
0x00000001a4f235d0  0x000000b4  __TEXT,__text  objc  +[_KSDeviceInfo ksDecviceWithName:swVersion:model:modelDisplayName:]  // +[_KSDeviceInfo ?]
0x00000001a4f23684  0x00000078  __TEXT,__text  objc  +[_KSDeviceInfo ksDeviceWithName:needsUpgrade:]  // +[_KSDeviceInfo ?]
0x00000001a4f236fc  0x00000088  __TEXT,__text  objc  +[_KSDeviceInfo ksDeviceWithName:swVersion:]  // +[_KSDeviceInfo ?]
0x00000001a4f23784  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo name]  // -[_KSDeviceInfo ?]
0x00000001a4f2378c  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo setName:]  // -[_KSDeviceInfo ?]
0x00000001a4f23794  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo swVersion]  // -[_KSDeviceInfo ?]
0x00000001a4f2379c  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo setSwVersion:]  // -[_KSDeviceInfo ?]
0x00000001a4f237a4  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo model]  // -[_KSDeviceInfo ?]
0x00000001a4f237ac  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo setModel:]  // -[_KSDeviceInfo ?]
0x00000001a4f237b4  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo modelDisplayName]  // -[_KSDeviceInfo ?]
0x00000001a4f237bc  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo setModelDisplayName:]  // -[_KSDeviceInfo ?]
0x00000001a4f237c4  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo needsUpdate]  // -[_KSDeviceInfo ]
0x00000001a4f237cc  0x00000008  __TEXT,__text  objc  -[_KSDeviceInfo setNeedsUpdate:]  // -[_KSDeviceInfo ?]
0x00000001a4f237d4  0x0000005c  __TEXT,__text  objc  -[_KSDeviceInfo .cxx_destruct]  // -[_KSDeviceInfo ?]
0x00000001a4f23830  0x00000058  __TEXT,__text  objc  +[_KSiCloudDeviceListMonitor iCloudDeviceListMonitor]  // +[_KSiCloudDeviceListMonitor ?]
