//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/Lexicon.framework/Versions/A/Lexicon
// arch:    arm64e
// uuid:    16E3C45A-3C24-33D7-AD1C-1F6A215E57E7
// text:    0x000000018178f000
// count:   4466 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000181790148  0x000007e8  __TEXT,__text  func  LXLexiconCreate
0x0000000181790930  0x0000002c  __TEXT,__text  sub  sub_181790930
0x000000018179095c  0x00000020  __TEXT,__text  sub  sub_18179095c
0x000000018179097c  0x00000020  __TEXT,__text  sub  sub_18179097c
0x000000018179099c  0x00000048  __TEXT,__text  sub  sub_18179099c
0x00000001817909e4  0x00000048  __TEXT,__text  sub  sub_1817909e4
0x0000000181790a2c  0x00000048  __TEXT,__text  sub  sub_181790a2c
0x0000000181790a74  0x00000048  __TEXT,__text  sub  sub_181790a74
0x0000000181790abc  0x00000048  __TEXT,__text  sub  sub_181790abc
0x0000000181790b04  0x00000048  __TEXT,__text  sub  sub_181790b04
0x0000000181790b4c  0x00000048  __TEXT,__text  sub  sub_181790b4c
0x0000000181790b94  0x00000048  __TEXT,__text  sub  sub_181790b94
0x0000000181790bdc  0x00000048  __TEXT,__text  sub  sub_181790bdc
0x0000000181790c24  0x00000048  __TEXT,__text  sub  sub_181790c24
0x0000000181790c6c  0x00000048  __TEXT,__text  sub  sub_181790c6c
0x0000000181790cb4  0x00000020  __TEXT,__text  sub  sub_181790cb4
0x0000000181790cd4  0x00000048  __TEXT,__text  sub  sub_181790cd4
0x0000000181790d1c  0x00000048  __TEXT,__text  sub  sub_181790d1c
0x0000000181790d64  0x00000048  __TEXT,__text  sub  sub_181790d64
0x0000000181790dac  0x00000048  __TEXT,__text  sub  sub_181790dac
0x0000000181790df4  0x00000048  __TEXT,__text  sub  sub_181790df4
0x0000000181790e3c  0x00000020  __TEXT,__text  sub  sub_181790e3c
0x0000000181790e5c  0x00000048  __TEXT,__text  sub  sub_181790e5c
0x0000000181790ea4  0x00000048  __TEXT,__text  sub  sub_181790ea4
0x0000000181790eec  0x00000048  __TEXT,__text  sub  sub_181790eec
0x0000000181790f34  0x00000048  __TEXT,__text  sub  sub_181790f34
0x0000000181790f7c  0x00000048  __TEXT,__text  sub  sub_181790f7c
0x0000000181790fc4  0x00000020  __TEXT,__text  sub  sub_181790fc4
0x0000000181790fe4  0x00000020  __TEXT,__text  sub  sub_181790fe4
0x0000000181791004  0x00000020  __TEXT,__text  sub  sub_181791004
0x0000000181791024  0x00000020  __TEXT,__text  sub  sub_181791024
0x0000000181791044  0x00000020  __TEXT,__text  sub  sub_181791044
0x0000000181791064  0x00000020  __TEXT,__text  sub  sub_181791064
0x0000000181791084  0x00000020  __TEXT,__text  sub  sub_181791084
0x00000001817910a4  0x00000020  __TEXT,__text  sub  sub_1817910a4
0x00000001817910c4  0x00000048  __TEXT,__text  sub  sub_1817910c4
0x000000018179110c  0x00000048  __TEXT,__text  sub  sub_18179110c
0x0000000181791154  0x00000048  __TEXT,__text  sub  sub_181791154
0x000000018179119c  0x00000048  __TEXT,__text  sub  sub_18179119c
0x00000001817911e4  0x00000048  __TEXT,__text  sub  sub_1817911e4
0x000000018179122c  0x00000048  __TEXT,__text  sub  sub_18179122c
0x0000000181791274  0x00000048  __TEXT,__text  sub  sub_181791274
0x00000001817912bc  0x00000048  __TEXT,__text  sub  sub_1817912bc
0x0000000181791304  0x00000048  __TEXT,__text  sub  sub_181791304
0x000000018179134c  0x00000048  __TEXT,__text  sub  sub_18179134c
0x0000000181791394  0x00000048  __TEXT,__text  sub  sub_181791394
0x00000001817913dc  0x00000048  __TEXT,__text  sub  sub_1817913dc
0x0000000181791424  0x00000048  __TEXT,__text  sub  sub_181791424
0x000000018179146c  0x00000048  __TEXT,__text  sub  sub_18179146c
0x00000001817914b4  0x00000048  __TEXT,__text  sub  sub_1817914b4
0x00000001817914fc  0x00000048  __TEXT,__text  sub  sub_1817914fc
0x0000000181791544  0x00000048  __TEXT,__text  sub  sub_181791544
0x000000018179158c  0x00000048  __TEXT,__text  sub  sub_18179158c
0x00000001817915d4  0x00000020  __TEXT,__text  sub  sub_1817915d4
0x00000001817915f4  0x00000048  __TEXT,__text  sub  sub_1817915f4
0x000000018179163c  0x00000048  __TEXT,__text  sub  sub_18179163c
0x0000000181791684  0x00000088  __TEXT,__text  sub  sub_181791684
