//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/MallocStackLogging.framework/Versions/A/MallocStackLogging
// arch:    arm64e
// uuid:    782A39D3-C9FD-3E0B-B8FB-26E5D749BE57
// text:    0x00000001ad74f000
// count:   244 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001ad74fae8  0x0000002c  __TEXT,__text  func  radix_tree_lookup
0x00000001ad74fb14  0x000000bc  __TEXT,__text  func  radix_tree_lookup_interval
0x00000001ad74fbd0  0x000000ec  __TEXT,__text  func  radix_tree_insert
0x00000001ad74fcbc  0x000000dc  __TEXT,__text  func  radix_tree_delete
0x00000001ad74fd98  0x0000034c  __TEXT,__text  func  radix_tree_insert_recursive
0x00000001ad7500e4  0x00000154  __TEXT,__text  func  radix_tree_delete_recursive
0x00000001ad750238  0x0000009c  __TEXT,__text  func  radix_tree_init
0x00000001ad7502d4  0x00000028  __TEXT,__text  func  radix_tree_create
0x00000001ad7502fc  0x00000044  __TEXT,__text  func  radix_tree_destroy
0x00000001ad750340  0x0000003c  __TEXT,__text  func  radix_tree_size
0x00000001ad75037c  0x00000008  __TEXT,__text  func  radix_tree_count
0x00000001ad750384  0x000000b4  __TEXT,__text  func  radix_tree_count_recursive
0x00000001ad750438  0x00000350  __TEXT,__text  func  radix_tree_lookup_recursive
0x00000001ad750788  0x0000008c  __TEXT,__text  func  fixnode
0x00000001ad750814  0x00000174  __TEXT,__text  func  radix_tree_allocate_node
0x00000001ad750988  0x0000003c  __TEXT,__text  func  radix_tree_free_node
0x00000001ad7509c4  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x00000001ad7509d8  0x00000130  __TEXT,__text  func  uniquing_table_unwind_stack_remote
0x00000001ad750b08  0x000001f4  __TEXT,__text  func  uniquing_table_clone_from_task
0x00000001ad750cfc  0x00000054  __TEXT,__text  func  free_uniquing_table_chunks
0x00000001ad750d50  0x000000bc  __TEXT,__text  func  uniquing_table_chunk_from_slots
