//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/Marco.framework/Versions/A/Marco
// arch:    arm64e
// uuid:    D84F54CD-C59F-3897-8764-2C3DFFF8011C
// text:    0x00000001a59a0000
// count:   56 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001a59a0608  0x00000008  __TEXT,__text  func  MarcoShouldLogMadridLevel
0x00000001a59a0610  0x00000008  __TEXT,__text  func  MarcoWarnMadrid
0x00000001a59a0618  0x00000008  __TEXT,__text  func  MarcoLogMadridEvent
0x00000001a59a0620  0x00000008  __TEXT,__text  func  MarcoLoggingStringForMessageData
0x00000001a59a0628  0x00000008  __TEXT,__text  func  MarcoShouldLogMadridEvent
0x00000001a59a0630  0x00000008  __TEXT,__text  func  MarcoShouldLog
0x00000001a59a0638  0x00000008  __TEXT,__text  func  MarcoLogMadridLevel
0x00000001a59a0640  0x00000008  __TEXT,__text  func  MarcoShouldLogLocalPreview
0x00000001a59a0648  0x00000008  __TEXT,__text  func  MarcoEndSession
0x00000001a59a0650  0x00000008  __TEXT,__text  func  MarcoShouldLogCheckpoints
0x00000001a59a0658  0x00000008  __TEXT,__text  func  MarcoConnect
0x00000001a59a0660  0x00000008  __TEXT,__text  func  MarcoDiconnect
0x00000001a59a0668  0x00000004  __TEXT,__text  func  MarcoSyncLoggingsPreferences
0x00000001a59a066c  0x00000008  __TEXT,__text  func  MarcoShouldLogRegistration
0x00000001a59a0674  0x00000008  __TEXT,__text  func  MarcoShouldLogMadrid
0x00000001a59a067c  0x00000008  __TEXT,__text  func  MarcoMadridLogLevel
0x00000001a59a0684  0x00000008  __TEXT,__text  func  MarcoShouldLogCallMetric
0x00000001a59a068c  0x00000008  __TEXT,__text  func  MarcoShouldLogQuality
0x00000001a59a0694  0x00000008  __TEXT,__text  func  MarcoStartPing
0x00000001a59a069c  0x00000008  __TEXT,__text  func  MarcoBeginSession
0x00000001a59a06a4  0x00000008  __TEXT,__text  func  MarcoAddCallMetric
0x00000001a59a06ac  0x00000008  __TEXT,__text  func  MarcoAddCallMetric_Double
0x00000001a59a06b4  0x00000008  __TEXT,__text  func  MarcoAddCallMetric_Float
0x00000001a59a06bc  0x00000008  __TEXT,__text  func  MarcoAddCallMetric_Int
0x00000001a59a06c4  0x00000008  __TEXT,__text  func  MarcoAddCallMetric_Short
0x00000001a59a06cc  0x00000008  __TEXT,__text  func  MarcoNoteQuality
0x00000001a59a06d4  0x00000008  __TEXT,__text  func  MarcoLogCallInfo
0x00000001a59a06dc  0x00000008  __TEXT,__text  func  MarcoNoteCheckpoint
0x00000001a59a06e4  0x00000008  __TEXT,__text  func  MarcoLog
0x00000001a59a06ec  0x00000008  __TEXT,__text  func  MarcoPulse
0x00000001a59a06f4  0x00000008  __TEXT,__text  func  MarcoEvent
0x00000001a59a06fc  0x00000008  __TEXT,__text  func  MarcoAction
0x00000001a59a0704  0x00000008  __TEXT,__text  func  MarcoActionWithUserInfo
0x00000001a59a070c  0x00000008  __TEXT,__text  func  MarcoPerformSnapshot
0x00000001a59a0714  0x00000008  __TEXT,__text  func  MarcoSetInitiator
0x00000001a59a071c  0x00000008  __TEXT,__text  func  MarcoSetFailureReason
0x00000001a59a0724  0x00000008  __TEXT,__text  func  MarcoSetRecipient
0x00000001a59a072c  0x00000008  __TEXT,__text  func  MarcoAddLogFile
0x00000001a59a0734  0x00000008  __TEXT,__text  func  MarcoLogRegistration
0x00000001a59a073c  0x00000008  __TEXT,__text  func  MarcoWarnRegistration
0x00000001a59a0744  0x00000008  __TEXT,__text  func  MarcoLogMadrid
0x00000001a59a074c  0x00000008  __TEXT,__text  func  MarcoLogMadridCF
0x00000001a59a0754  0x00000008  __TEXT,__text  func  MarcoLogMadridEventCF
0x00000001a59a075c  0x00000008  __TEXT,__text  func  MarcoWarnMadridCF
0x00000001a59a0764  0x00000008  __TEXT,__text  func  MarcoLogMadridCF_V
0x00000001a59a076c  0x00000008  __TEXT,__text  func  MarcoLogMadridLevelCF_V
0x00000001a59a0774  0x00000008  __TEXT,__text  func  MarcoShouldLogMadridLevelCF
0x00000001a59a077c  0x00000008  __TEXT,__text  func  MarcoLogMadridEventCF_V
0x00000001a59a0784  0x00000008  __TEXT,__text  func  MarcoWarnMadridCF_V
0x00000001a59a078c  0x00000008  __TEXT,__text  func  MarcoShouldLogMadridCF
0x00000001a59a0794  0x00000008  __TEXT,__text  func  MarcoShouldLogMadridEventCF
0x00000001a59a079c  0x00000008  __TEXT,__text  func  MarcoCanLogMadridMessageBodiesCF
0x00000001a59a07a4  0x00000008  __TEXT,__text  func  MarcoCanLogMadridMessageBodies
0x00000001a59a07ac  0x00000004  __TEXT,__text  func  MarcoLogLocalPreview
0x00000001a59a07b0  0x00000008  __TEXT,__text  func  MarcoWarnLocalPreview
0x00000001a59a07b8  0x00000000  __TEXT,__text  func  MarcoLogLocalPreviewEvent
