//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/MediaAnalysisPhotosServices.framework/Versions/A/MediaAnalysisPhotosServices
// arch:    arm64e
// uuid:    D5349F3B-1859-3579-B7D8-60B938142F87
// text:    0x00000002588d3000
// count:   57 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002588d3f20  0x00000b80  __TEXT,__text  func  -[MADComputeService(Photos) performRequests:assets:photoLibrary:options:progressHandler:resultsHandler:completionHandler:]
0x00000002588d4aa0  0x000000c4  __TEXT,__text  func  __122-[MADComputeService(Photos) performRequests:assets:photoLibrary:options:progressHandler:resultsHandler:completionHandler:]_block_invoke
0x00000002588d4b64  0x00000058  __TEXT,__text  func  __copy_helper_block_ea8_32s40s48s56b
0x00000002588d4bbc  0x0000004c  __TEXT,__text  func  __destroy_helper_block_ea8_32s40s48s56s
0x00000002588d4c08  0x0000013c  __TEXT,__text  func  __122-[MADComputeService(Photos) performRequests:assets:photoLibrary:options:progressHandler:resultsHandler:completionHandler:]_block_invoke.208
0x00000002588d4d44  0x00000060  __TEXT,__text  func  __copy_helper_block_ea8_32s40s48s56s64b
0x00000002588d4da4  0x00000054  __TEXT,__text  func  __destroy_helper_block_ea8_32s40s48s56s64s
0x00000002588d4df8  0x00000834  __TEXT,__text  func  -[MADComputeService(Photos) scheduleRequests:assets:photoLibrary:options:error:]
0x00000002588d562c  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x00000002588d563c  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x00000002588d5644  0x0000009c  __TEXT,__text  func  __80-[MADComputeService(Photos) scheduleRequests:assets:photoLibrary:options:error:]_block_invoke
0x00000002588d56e0  0x00000048  __TEXT,__text  func  __copy_helper_block_ea8_32s40r
0x00000002588d5728  0x00000040  __TEXT,__text  func  __destroy_helper_block_ea8_32s40r
0x00000002588d5768  0x00000120  __TEXT,__text  func  __80-[MADComputeService(Photos) scheduleRequests:assets:photoLibrary:options:error:]_block_invoke.218
0x00000002588d5888  0x00000050  __TEXT,__text  func  __copy_helper_block_ea8_32s40s48r
0x00000002588d58d8  0x00000048  __TEXT,__text  func  __destroy_helper_block_ea8_32s40s48r
0x00000002588d5920  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x00000002588d5938  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x00000002588d594c  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x00000002588d5960  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x00000002588d5970  0x0000000c  __TEXT,__text  func  OUTLINED_FUNCTION_4
0x00000002588d597c  0x00000054  __TEXT,__text  func  -[MADComputeService(Photos) performRequests:assets:photoLibrary:options:progressHandler:resultsHandler:completionHandler:].cold.2  // aliases: -[MADComputeService(Photos) performRequests:assets:photoLibrary:options:progressHandler:resultsHandler:completionHandler:].cold.3, -[MADComputeService(Photos) scheduleRequests:assets:photoLibrary:options:error:].cold.1, -[MADComputeService(Photos) performRequests:assets:photoLibrary:options:progressHandler:resultsHandler:completionHandler:].cold.1
0x00000002588d59d0  0x00000060  __TEXT,__text  func  -[MADComputeService(Photos) scheduleRequests:assets:photoLibrary:options:error:].cold.2  // aliases: -[MADComputeService(Photos) performRequests:assets:photoLibrary:options:progressHandler:resultsHandler:completionHandler:].cold.4
0x00000002588d5a30  0x00000130  __TEXT,__text  func  __80-[MADComputeService(Photos) scheduleRequests:assets:photoLibrary:options:error:]_block_invoke.cold.1  // aliases: __122-[MADComputeService(Photos) performRequests:assets:photoLibrary:options:progressHandler:resultsHandler:completionHandler:]_block_invoke.cold.1
0x00000002588d5b60  0x00000020  __TEXT,__objc_methlist  func  _OBJC_$_CATEGORY_INSTANCE_METHODS_MADComputeService_$_Photos
0x00000002588d5b80  0x00000048  __TEXT,__const  func  MediaAnalysisPhotosServicesVersionString
0x00000002588d5bc8  0x00000028  __TEXT,__const  func  MediaAnalysisPhotosServicesVersionNumber
0x00000002588d5bf0  0x00000168  __TEXT,__gcc_except_tab  func  GCC_except_table0
0x00000002588d5d58  0x00000018  __TEXT,__gcc_except_tab  func  GCC_except_table1
0x00000002588d5d70  0x0000002c  __TEXT,__gcc_except_tab  func  GCC_except_table4
0x00000002588d5d9c  0x00000100  __TEXT,__gcc_except_tab  func  GCC_except_table7
0x00000002588d5e9c  0x00000014  __TEXT,__gcc_except_tab  func  GCC_except_table10
0x00000002588d5eb0  0x00000690  __TEXT,__gcc_except_tab  func  GCC_except_table13
0x00000002588d6540  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$allKeys
0x00000002588d6560  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$connection
0x00000002588d6580  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$copy
0x00000002588d65a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$countByEnumeratingWithState:objects:count:
0x00000002588d65c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$deregisterProgressHandlerForRequestID:
0x00000002588d65e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$deregisterResultsHandlerForRequestID:
0x00000002588d6600  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dictionary
0x00000002588d6620  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$dictionaryWithObjects:forKeys:count:
0x00000002588d6640  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$errorWithDomain:code:userInfo:
0x00000002588d6660  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$extensionDataForResultDirectoryURL:error:
0x00000002588d6680  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$hash
0x00000002588d66a0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$localIdentifier
0x00000002588d66c0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$now
0x00000002588d66e0  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$numberWithUnsignedInteger:
0x00000002588d6700  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$photoLibraryURL
0x00000002588d6720  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$registerProgressHandler:requestID:
0x00000002588d6740  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$registerResultsHandler:requestID:
0x00000002588d6760  0x00000020  __TEXT,__objc_stubs  func  objc_msgSend$remoteObjectProxyWithErrorHandler:
