//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/MediaControlReceiver.framework/Versions/A/MediaControlReceiver
// arch:    arm64e
// uuid:    37BB0917-49C5-3964-9227-04ADF755BA48
// text:    0x0000000258b18000
// count:   109 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000258b18f18  0x0000000c  __TEXT,__text  func  MediaControlReceiverCopyIdentity
0x0000000258b18f24  0x00000008  __TEXT,__text  func  AirPlayReceiverXPCClient_SetDelegate
0x0000000258b18f2c  0x0000029c  __TEXT,__text  func  AirPlayReceiverXPCClient_SetDelegateWithQueue
0x0000000258b191c8  0x0000010c  __TEXT,__text  func  __AirPlayReceiverXPCClient_Connect_block_invoke
0x0000000258b192d4  0x000000ac  __TEXT,__text  func  _AirPlayReceiverXPCClient_Delete
0x0000000258b19380  0x0000007c  __TEXT,__text  func  _AirPlayReceiverXPCClient_StopAllActiveSessions
0x0000000258b193fc  0x00000174  __TEXT,__text  func  _AirPlayReceiverXPCClient_StopAudio
0x0000000258b19570  0x000002a4  __TEXT,__text  func  _AirPlayReceiverXPCClient_StopPresentation
0x0000000258b19814  0x00000174  __TEXT,__text  func  _AirPlayReceiverXPCClient_StopVideo
0x0000000258b19988  0x0000003c  __TEXT,__text  func  ___AirPlayReceiverXPCClient_StopVideo_block_invoke
0x0000000258b199c4  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32o40r
0x0000000258b19a08  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32o40r
0x0000000258b19a58  0x0000003c  __TEXT,__text  func  ___AirPlayReceiverXPCClient_StopPresentation_block_invoke
0x0000000258b19a94  0x0000003c  __TEXT,__text  func  ___AirPlayReceiverXPCClient_StopAudio_block_invoke
0x0000000258b19ad0  0x000012a8  __TEXT,__text  func  __AirPlayReceiverXPCClient_Connect_block_invoke_2
0x0000000258b1ad78  0x000000d0  __TEXT,__text  func  _AirPlayReceiverXPCClient_SendPingMsg
0x0000000258b1ae48  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x0000000258b1ae58  0x0000000c  __TEXT,__text  func  __Block_byref_object_dispose_
0x0000000258b1ae64  0x00000060  __TEXT,__text  func  ___AirPlayReceiverXPCClient_GetProperty_block_invoke
0x0000000258b1aec4  0x0000000c  __TEXT,__text  func  ___AirPlayReceiverXPCClient_PostActivity_block_invoke
0x0000000258b1aed0  0x00000040  __TEXT,__text  func  ___AirPlayReceiverXPCClient_SetProperty_block_invoke
0x0000000258b1af10  0x00000060  __TEXT,__text  func  ___AirPlayReceiverXPCClient_Perform_block_invoke
0x0000000258b1af70  0x00000060  __TEXT,__text  func  ___AirPlayReceiverXPCClient_StartPresentation_block_invoke
0x0000000258b1afd0  0x00000038  __TEXT,__text  func  ___AirPlayReceiverXPCClient_ShowProgress_block_invoke
0x0000000258b1b008  0x0000017c  __TEXT,__text  func  _AirPlayReceiverXPCClient_HideProgress
0x0000000258b1b184  0x000004e0  __TEXT,__text  func  _AirPlayReceiverXPCClient_StartVideo
0x0000000258b1b664  0x0000022c  __TEXT,__text  func  _AirPlayReceiverXPCClient_StartAudio
0x0000000258b1b890  0x0000018c  __TEXT,__text  func  _AirPlayReceiverXPCClient_UpdateAudioMetaData
0x0000000258b1ba1c  0x00000124  __TEXT,__text  func  _AirPlayReceiverXPCClient_UpdateAudioProgress
0x0000000258b1bb40  0x00000064  __TEXT,__text  func  _AirPlayReceiverXPCClient_Detach
0x0000000258b1bba4  0x0000003c  __TEXT,__text  func  ___AirPlayReceiverXPCClient_UpdateAudioProgress_block_invoke
0x0000000258b1bbe0  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32r
0x0000000258b1bbec  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32r
0x0000000258b1bbfc  0x0000003c  __TEXT,__text  func  ___AirPlayReceiverXPCClient_UpdateAudioMetaData_block_invoke
0x0000000258b1bc38  0x00000060  __TEXT,__text  func  ___AirPlayReceiverXPCClient_StartAudio_block_invoke
0x0000000258b1bc98  0x00000060  __TEXT,__text  func  ___AirPlayReceiverXPCClient_StartVideo_block_invoke
0x0000000258b1bcf8  0x00000038  __TEXT,__text  func  ___AirPlayReceiverXPCClient_HideProgress_block_invoke
0x0000000258b1bd30  0x00000050  __TEXT,__text  func  __destroy_helper_block_e8_32o40r48r
0x0000000258b1bd80  0x00000060  __TEXT,__text  func  __copy_helper_block_e8_32o40r48r
0x0000000258b1bde0  0x0000005c  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48o56r
0x0000000258b1be3c  0x00000070  __TEXT,__text  func  __copy_helper_block_e8_32o40o48o56r
0x0000000258b1beac  0x0000005c  __TEXT,__text  func  __destroy_helper_block_e8_32o40o48r56r
0x0000000258b1bf08  0x00000070  __TEXT,__text  func  __copy_helper_block_e8_32o40o48r56r
0x0000000258b1bf78  0x000000a8  __TEXT,__text  func  _AirPlayReceiverXPCClient_Finalize
0x0000000258b1c020  0x00000190  __TEXT,__text  func  AirPlayReceiverXPCClient_PostEvent
0x0000000258b1c1b0  0x00000498  __TEXT,__text  func  __AirPlayReceiverXPCClient_PostEvent_block_invoke
0x0000000258b1c648  0x000000d4  __TEXT,__text  func  ___AirPlayReceiverXPCClient_PostEvent_block_invoke
0x0000000258b1c71c  0x00000068  __TEXT,__text  func  -[APReceiverMediaRemoteCommunicationChannel dealloc]
0x0000000258b1c784  0x00000010  __TEXT,__text  func  -[APReceiverMediaRemoteCommunicationChannel invalidate]
