//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/MediaExperience.framework/Versions/A/MediaExperience
// arch:    arm64e
// uuid:    507B3FE7-C5C1-30DB-935C-C478FF7B4096
// text:    0x0000000191df3000
// count:   2987 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000191df43b8  0x00000038  __TEXT,__text  sub  sub_191df43b8
0x0000000191df43f0  0x00000034  __TEXT,__text  sub  sub_191df43f0
0x0000000191df4424  0x00000018  __TEXT,__text  sub  sub_191df4424
0x0000000191df443c  0x000000a0  __TEXT,__text  func  CMSUtility_FetchSessionEntitlements
0x0000000191df44dc  0x00000204  __TEXT,__text  func  CMSUtility_PostInterruptionCommandNotification
0x0000000191df46e0  0x00000058  __TEXT,__text  func  __CMSUtility_PostInterruptionCommandNotification_block_invoke
0x0000000191df4738  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32o
0x0000000191df4748  0x0000000c  __TEXT,__text  func  __destroy_helper_block_e8_32o
0x0000000191df4754  0x00000094  __TEXT,__text  func  FigRoutingManagerUtilities_AreAllEndpointsWHAGroupable
0x0000000191df47e8  0x00000108  __TEXT,__text  func  FigRoutingManagerUtilities_AreAllEndpointsOfTypeAirPlay
0x0000000191df48f0  0x00000024  __TEXT,__text  func  FigRoutingManagerUtilities_macOSGetDeactivateReasonAsString
0x0000000191df4914  0x000000f8  __TEXT,__text  func  FigRoutingManagerUtilities_IsEndpointPicked
0x0000000191df4a0c  0x000001b0  __TEXT,__text  func  FigRoutingManagerUtilities_CopyEndpointsToAdd
0x0000000191df4bbc  0x00000198  __TEXT,__text  func  FigRoutingManagerUtilities_CopyEndpointsToRemove
0x0000000191df4d54  0x000003b4  __TEXT,__text  func  FigRoutingManagerUtilities_macOSRemoveActivatedAirPlayEndpointFromOtherContext
0x0000000191df5108  0x00000308  __TEXT,__text  objc  -[MXRoutingContextReportingService initWithModificationMetrics:useMockService:]  // -[MXRoutingContextReportingService ?]
0x0000000191df5410  0x00000054  __TEXT,__text  objc  -[MXRoutingContextReportingService dealloc]  // -[MXRoutingContextReportingService �]
0x0000000191df5464  0x0000000c  __TEXT,__text  objc  -[MXRoutingContextReportingService sendModificationResult]  // -[MXRoutingContextReportingService ?]
0x0000000191df5470  0x00000008  __TEXT,__text  objc  -[MXRoutingContextReportingService modificationMetrics]  // -[MXRoutingContextReportingService ?]
0x0000000191df5478  0x00000088  __TEXT,__text  func  CMSMUtility_GetStyleString
0x0000000191df5500  0x000001b0  __TEXT,__text  func  CMSMUtility_PostNotificationToSession
0x0000000191df56b0  0x000000bc  __TEXT,__text  objc  +[MXSystemController(Common) mxSystemControllerListAddInstance:isSidekick:]  // +[MXSystemController ?]
0x0000000191df576c  0x00000068  __TEXT,__text  objc  +[MXSystemController(Common) updateMXSystemControllerList]  // +[MXSystemController code CPIO header]
0x0000000191df57d4  0x00000078  __TEXT,__text  objc  +[MXSystemController(Common) copyMXSystemControllerList:]  // +[MXSystemController ?]
0x0000000191df584c  0x00000064  __TEXT,__text  func  MXSystemControllerSetup
0x0000000191df58b0  0x000000c4  __TEXT,__text  func  __FigEndpointAuthRequestHandler_GetAuthRequestList_block_invoke
0x0000000191df5974  0x00000230  __TEXT,__text  func  FigEndpointAuthRequestHandler_AddRequest
0x0000000191df5ba4  0x00000098  __TEXT,__text  func  FigEndpointAuthRequestHandler_HasEndpoint
0x0000000191df5c3c  0x000001f0  __TEXT,__text  func  FigEndpointAuthRequestHandler_RemoveRequest
0x0000000191df5e2c  0x00000760  __TEXT,__text  func  FigEndpointAuthRequestHandler_ProcessRequest
0x0000000191df658c  0x000001b4  __TEXT,__text  func  FigEndpointAuthRequestHandler_CallbackFromUIAgent
0x0000000191df6740  0x00000078  __TEXT,__text  func  FigEndpointAuthRequestHandler_GetCurrentAuthToProcess
0x0000000191df67b8  0x00000244  __TEXT,__text  func  FigEndpointAuthRequestHandler_ReplaceRequest
