//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/NearField.framework/Versions/A/NearField
// arch:    arm64e
// uuid:    67A84671-3AF5-335F-9F04-915B84EAFB0C
// text:    0x00000001b2bb2000
// count:   2452 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001b2bb3030  0x00000064  __TEXT,__text  objc  +[NFHardwareManager ?]
0x00000001b2bb3094  0x0000006c  __TEXT,__text  sub  sub_1b2bb3094
0x00000001b2bb3100  0x00000c1c  __TEXT,__text  sub  sub_1b2bb3100
0x00000001b2bb3d1c  0x0000028c  __TEXT,__text  sub  sub_1b2bb3d1c
0x00000001b2bb3fa8  0x000001d0  __TEXT,__text  objc  +[NFContactlessSessionCallbacks _]
0x00000001b2bb4178  0x000000ac  __TEXT,__text  objc  +[NFFieldDetectSessionInterfaceCallbacks ?]
0x00000001b2bb4224  0x00000600  __TEXT,__text  sub  sub_1b2bb4224
0x00000001b2bb4824  0x00000214  __TEXT,__text  objc  +[NFECommercePaymentSessionInterface ?]
0x00000001b2bb4a38  0x000004f8  __TEXT,__text  sub  sub_1b2bb4a38
0x00000001b2bb4f30  0x00000198  __TEXT,__text  objc  +[NFContactlessSessionInterface ?]
0x00000001b2bb50c8  0x00000064  __TEXT,__text  sub  sub_1b2bb50c8
0x00000001b2bb512c  0x00000040  __TEXT,__text  objc  -[NFHardwareManager ?]
0x00000001b2bb516c  0x000000a8  __TEXT,__text  objc  -[NFHardwareManager ?]
0x00000001b2bb5214  0x00000070  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb5284  0x000001a0  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb5424  0x00000168  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb558c  0x00000010  __TEXT,__text  sub  sub_1b2bb558c
0x00000001b2bb559c  0x00000008  __TEXT,__text  sub  sub_1b2bb559c
0x00000001b2bb55a4  0x000000f0  __TEXT,__text  sub  sub_1b2bb55a4
0x00000001b2bb5694  0x00000130  __TEXT,__text  sub  sub_1b2bb5694
0x00000001b2bb57c4  0x00000010  __TEXT,__text  sub  sub_1b2bb57c4
0x00000001b2bb57d4  0x0000000c  __TEXT,__text  sub  sub_1b2bb57d4
0x00000001b2bb57e0  0x00000070  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb5850  0x00000064  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb58b4  0x000000a8  __TEXT,__text  objc  -[NFSecureElementManagerSession ]
0x00000001b2bb595c  0x0000015c  __TEXT,__text  sub  sub_1b2bb595c
0x00000001b2bb5ab8  0x00000008  __TEXT,__text  sub  sub_1b2bb5ab8
0x00000001b2bb5ac0  0x00000008  __TEXT,__text  sub  sub_1b2bb5ac0
0x00000001b2bb5ac8  0x000000ec  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb5bb4  0x000000f0  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb5ca4  0x0000021c  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb5ec0  0x00000110  __TEXT,__text  sub  sub_1b2bb5ec0
0x00000001b2bb5fd0  0x0000014c  __TEXT,__text  sub  sub_1b2bb5fd0
0x00000001b2bb611c  0x00000050  __TEXT,__text  sub  sub_1b2bb611c
0x00000001b2bb616c  0x00000044  __TEXT,__text  sub  sub_1b2bb616c
0x00000001b2bb61b0  0x00000298  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb6448  0x00000110  __TEXT,__text  sub  sub_1b2bb6448
0x00000001b2bb6558  0x0000014c  __TEXT,__text  sub  sub_1b2bb6558
0x00000001b2bb66a4  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb66ac  0x00000288  __TEXT,__text  objc  -[NFSecureElementManagerSession ]
0x00000001b2bb6934  0x00000110  __TEXT,__text  sub  sub_1b2bb6934
0x00000001b2bb6a44  0x00000184  __TEXT,__text  sub  sub_1b2bb6a44
0x00000001b2bb6bc8  0x00000060  __TEXT,__text  sub  sub_1b2bb6bc8
0x00000001b2bb6c28  0x00000050  __TEXT,__text  sub  sub_1b2bb6c28
0x00000001b2bb6c78  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession  ]
0x00000001b2bb6c80  0x00000298  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb6f18  0x00000110  __TEXT,__text  sub  sub_1b2bb6f18
0x00000001b2bb7028  0x00000188  __TEXT,__text  sub  sub_1b2bb7028
0x00000001b2bb71b0  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb71b8  0x00000184  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb733c  0x000002a8  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb75e4  0x00000110  __TEXT,__text  sub  sub_1b2bb75e4
0x00000001b2bb76f4  0x00000188  __TEXT,__text  sub  sub_1b2bb76f4
0x00000001b2bb787c  0x0000021c  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb7a98  0x00000110  __TEXT,__text  sub  sub_1b2bb7a98
0x00000001b2bb7ba8  0x000000dc  __TEXT,__text  sub  sub_1b2bb7ba8
0x00000001b2bb7c84  0x00000058  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb7cdc  0x00000080  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb7d5c  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession ]
0x00000001b2bb7d64  0x000002f8  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb805c  0x00000110  __TEXT,__text  sub  sub_1b2bb805c
0x00000001b2bb816c  0x0000018c  __TEXT,__text  sub  sub_1b2bb816c
0x00000001b2bb82f8  0x00000058  __TEXT,__text  sub  sub_1b2bb82f8
0x00000001b2bb8350  0x0000004c  __TEXT,__text  sub  sub_1b2bb8350
0x00000001b2bb839c  0x00000284  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb8620  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb8628  0x00000214  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb883c  0x00000110  __TEXT,__text  sub  sub_1b2bb883c
0x00000001b2bb894c  0x0000018c  __TEXT,__text  sub  sub_1b2bb894c
0x00000001b2bb8ad8  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb8ae0  0x00000208  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb8ce8  0x00000104  __TEXT,__text  sub  sub_1b2bb8ce8
0x00000001b2bb8dec  0x00000164  __TEXT,__text  sub  sub_1b2bb8dec
0x00000001b2bb8f50  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb8f58  0x0000029c  __TEXT,__text  objc  -[NFSecureElementManagerSession FAMILY_PURCHASE_SHARING_ROW]
0x00000001b2bb91f4  0x00000110  __TEXT,__text  sub  sub_1b2bb91f4
0x00000001b2bb9304  0x00000198  __TEXT,__text  sub  sub_1b2bb9304
0x00000001b2bb949c  0x00000070  __TEXT,__text  sub  sub_1b2bb949c
0x00000001b2bb950c  0x0000005c  __TEXT,__text  sub  sub_1b2bb950c
0x00000001b2bb9568  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb9570  0x000002a4  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb9814  0x00000214  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb9a28  0x00000110  __TEXT,__text  sub  sub_1b2bb9a28
0x00000001b2bb9b38  0x000002dc  __TEXT,__text  sub  sub_1b2bb9b38
0x00000001b2bb9e14  0x000001bc  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bb9fd0  0x00000110  __TEXT,__text  sub  sub_1b2bb9fd0
0x00000001b2bba0e0  0x00000114  __TEXT,__text  sub  sub_1b2bba0e0
0x00000001b2bba1f4  0x00000204  __TEXT,__text  objc  -[NFSecureElementManagerSession ]
0x00000001b2bba3f8  0x00000110  __TEXT,__text  sub  sub_1b2bba3f8
0x00000001b2bba508  0x0000014c  __TEXT,__text  sub  sub_1b2bba508
0x00000001b2bba654  0x00000008  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bba65c  0x000001ec  __TEXT,__text  objc  -[NFSecureElementManagerSession ?]
0x00000001b2bba848  0x00000110  __TEXT,__text  sub  sub_1b2bba848
