//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/NetAppsUtilities.framework/Versions/A/NetAppsUtilities
// arch:    arm64e
// uuid:    8CDFDB95-EC03-3765-9DF6-221E1752047B
// text:    0x00000001bf80d000
// count:   1348 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001bf80df98  0x00000010  __TEXT,__text  objc  -[NSMutableDictionary(NAAdditions) na_safeSetObject:forKey:]  // -[?(NAAdditions) ?]
0x00000001bf80dfa8  0x0000004c  __TEXT,__text  objc  -[NAPromise init]  // -[NAPromise ?]
0x00000001bf80dff4  0x000000b0  __TEXT,__text  func  -[NAFuture init]
0x00000001bf80e0a4  0x00000008  __TEXT,__text  func  _NAScopedDescriptor
0x00000001bf80e0ac  0x00000078  __TEXT,__text  objc  -[NAPromise initWithFuture:]  // -[NAPromise ]
0x00000001bf80e124  0x0000000c  __TEXT,__text  objc  -[NAPromise future]  // -[NAPromise ?]
0x00000001bf80e130  0x0000022c  __TEXT,__text  func  -[NAFuture addSuccessBlock:]
0x00000001bf80e35c  0x00000004  __TEXT,__text  func  -[NAFuture willAddCompletionBlock]
0x00000001bf80e360  0x00000064  __TEXT,__text  func  +[NAFuture(NAConveniences) futureWithResult:]
0x00000001bf80e3c4  0x00000094  __TEXT,__text  func  -[NAFuture initWithResult:error:]
0x00000001bf80e458  0x000002dc  __TEXT,__text  func  -[NAFuture flatMap:]
0x00000001bf80e734  0x00000008  __TEXT,__text  func  +[NAFuture _descriptorForChainOperation:onFuture:withBlock:]
0x00000001bf80e73c  0x00000008  __TEXT,__text  func  -[NAFuture setDescriptor:]
0x00000001bf80e744  0x000004a0  __TEXT,__text  func  __20-[NAFuture flatMap:]_block_invoke
0x00000001bf80ebe4  0x00000004  __TEXT,__text  func  _NAPushScopedDescriptor
0x00000001bf80ebe8  0x00000004  __TEXT,__text  func  +[NAFuture(NAConveniences) futureWithNoResult]
0x00000001bf80ebec  0x00000058  __TEXT,__text  func  __46+[NAFuture(NAConveniences) futureWithNoResult]_block_invoke
0x00000001bf80ec44  0x00000078  __TEXT,__text  func  __46+[NAFuture(NAConveniences) futureWithNoResult]_block_invoke_2
0x00000001bf80ecbc  0x00000004  __TEXT,__text  func  _NAPopScopedDescriptor
0x00000001bf80ecc0  0x0000007c  __TEXT,__text  func  -[NAFuture completionHandlerAdapter]
0x00000001bf80ed3c  0x000002b8  __TEXT,__text  func  __36-[NAFuture completionHandlerAdapter]_block_invoke
0x00000001bf80eff4  0x00000060  __TEXT,__text  objc  +[NACancelationToken tokenWithCancelationBlock:]  // +[NACancelationToken ?]
0x00000001bf80f054  0x00000078  __TEXT,__text  objc  -[NACancelationToken init]  // -[NACancelationToken ?]
0x00000001bf80f0cc  0x000000cc  __TEXT,__text  objc  -[NACancelationToken addCancelationBlock:]  // -[NACancelationToken ]
0x00000001bf80f198  0x0000000c  __TEXT,__text  objc  -[NACancelationToken .cxx_destruct]  // -[NACancelationToken ?]
0x00000001bf80f1a4  0x0000007c  __TEXT,__text  objc  +[NAPair pairWithFirst:second:]  // +[NAPair ?]
0x00000001bf80f220  0x000000b8  __TEXT,__text  objc  -[NAPair initWithFirst:second:]  // -[NAPair ?]
0x00000001bf80f2d8  0x0000000c  __TEXT,__text  objc  -[NAPair first]  // -[NAPair ?]
0x00000001bf80f2e4  0x0000000c  __TEXT,__text  objc  -[NAPair second]  // -[NAPair ?]
0x00000001bf80f2f0  0x00000044  __TEXT,__text  objc  -[NAPair .cxx_destruct]  // -[NAPair ]
