//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/NetworkMenusCommon.framework/NetworkMenusCommon
// arch:    arm64e
// uuid:    110887C4-75B3-3C46-8F49-793AF0FDE13E
// text:    0x000000025d4a6000
// count:   581 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000025d4a6f98  0x000000f8  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController initWithConfiguration:andBundle:]
0x000000025d4a7090  0x00000080  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController dealloc]
0x000000025d4a7110  0x000000a0  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController setupEventCallbackWithBlock:]
0x000000025d4a71b0  0x00000090  __TEXT,__text  func  __86-[AppleNetworkMenuExtraNetworkExtensionServiceController setupEventCallbackWithBlock:]_block_invoke
0x000000025d4a7240  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32o40b
0x000000025d4a7290  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32o40b
0x000000025d4a72d4  0x0000002c  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController serviceID]
0x000000025d4a7300  0x00000028  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController serviceName]
0x000000025d4a7328  0x00000074  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController connectionType]
0x000000025d4a739c  0x00000040  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController connectionState]
0x000000025d4a73dc  0x00000004  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController refreshStatus]
0x000000025d4a73e0  0x0000010c  __TEXT,__text  func  -[AppleNetworkMenuExtraNetworkExtensionServiceController refreshConnectionState]
0x000000025d4a74ec  0x000000b4  __TEXT,__text  func  __80-[AppleNetworkMenuExtraNetworkExtensionServiceController refreshConnectionState]_block_invoke
0x000000025d4a75a0  0x00000010  __TEXT,__text  func  __copy_helper_block_e8_32o
