//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/NewDeviceOutreachMacUI.framework/Versions/A/NewDeviceOutreachMacUI
// arch:    arm64e
// uuid:    CC7B2897-B12B-33EF-833A-3F4A89BC206D
// text:    0x000000025d804000
// count:   1670 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000025d805f38  0x0000014c  __TEXT,__text  func  +[NDOACObjCBridge acAMSUIViewControllerWithWarranty:serialNumber:source:delegate:]
0x000000025d806084  0x000001e8  __TEXT,__text  func  -[NDODevice(PlaceholderImage) productPlaceholderImage]
0x000000025d80626c  0x0000005c  __TEXT,__text  sub  sub_25d80626c
0x000000025d8062c8  0x00000048  __TEXT,__text  sub  sub_25d8062c8
0x000000025d806310  0x0000005c  __TEXT,__text  sub  sub_25d806310
0x000000025d80636c  0x00000060  __TEXT,__text  sub  sub_25d80636c
0x000000025d8063cc  0x0000005c  __TEXT,__text  sub  sub_25d8063cc
0x000000025d806428  0x0000005c  __TEXT,__text  sub  sub_25d806428
0x000000025d806484  0x00000084  __TEXT,__text  sub  sub_25d806484
0x000000025d806508  0x00000080  __TEXT,__text  sub  sub_25d806508
0x000000025d806588  0x0000010c  __TEXT,__text  sub  sub_25d806588
0x000000025d806694  0x000000f4  __TEXT,__text  sub  sub_25d806694
0x000000025d806788  0x000000f4  __TEXT,__text  sub  sub_25d806788
0x000000025d80687c  0x0000018c  __TEXT,__text  sub  sub_25d80687c
0x000000025d806a08  0x0000017c  __TEXT,__text  sub  sub_25d806a08
0x000000025d806b84  0x00000114  __TEXT,__text  sub  sub_25d806b84
0x000000025d806c98  0x000000b4  __TEXT,__text  sub  sub_25d806c98
0x000000025d806d4c  0x00001090  __TEXT,__text  sub  sub_25d806d4c
0x000000025d807ddc  0x0000015c  __TEXT,__text  sub  sub_25d807ddc
0x000000025d807f38  0x00000040  __TEXT,__text  sub  sub_25d807f38
0x000000025d807f78  0x00000004  __TEXT,__text  sub  sub_25d807f78
0x000000025d807f7c  0x0000002c  __TEXT,__text  sub  sub_25d807f7c
0x000000025d807fa8  0x000002d4  __TEXT,__text  sub  sub_25d807fa8
0x000000025d80827c  0x0000003c  __TEXT,__text  sub  sub_25d80827c
0x000000025d8082b8  0x000002dc  __TEXT,__text  sub  sub_25d8082b8
0x000000025d808594  0x0000265c  __TEXT,__text  sub  sub_25d808594
0x000000025d80abf0  0x0000006c  __TEXT,__text  sub  sub_25d80abf0
0x000000025d80ac5c  0x00000074  __TEXT,__text  sub  sub_25d80ac5c
0x000000025d80acd0  0x00000068  __TEXT,__text  sub  sub_25d80acd0
0x000000025d80ad38  0x00000030  __TEXT,__text  sub  sub_25d80ad38
0x000000025d80ad68  0x00000034  __TEXT,__text  sub  sub_25d80ad68
0x000000025d80ad9c  0x000000d0  __TEXT,__text  sub  sub_25d80ad9c
0x000000025d80ae6c  0x00000008  __TEXT,__text  sub  sub_25d80ae6c
0x000000025d80ae74  0x000000b4  __TEXT,__text  sub  sub_25d80ae74
0x000000025d80af28  0x00000048  __TEXT,__text  sub  sub_25d80af28
0x000000025d80af70  0x0000002c  __TEXT,__text  sub  sub_25d80af70
0x000000025d80af9c  0x00000044  __TEXT,__text  sub  sub_25d80af9c
0x000000025d80afe0  0x0000003c  __TEXT,__text  sub  sub_25d80afe0
0x000000025d80b01c  0x00000054  __TEXT,__text  sub  sub_25d80b01c
0x000000025d80b070  0x00000074  __TEXT,__text  sub  sub_25d80b070
0x000000025d80b0e4  0x00000008  __TEXT,__text  sub  sub_25d80b0e4
0x000000025d80b0ec  0x00000078  __TEXT,__text  sub  sub_25d80b0ec
0x000000025d80b164  0x00000080  __TEXT,__text  sub  sub_25d80b164
0x000000025d80b1e4  0x00000044  __TEXT,__text  sub  sub_25d80b1e4
0x000000025d80b228  0x00000014  __TEXT,__text  sub  sub_25d80b228
0x000000025d80b23c  0x00000010  __TEXT,__text  sub  sub_25d80b23c
0x000000025d80b24c  0x0000000c  __TEXT,__text  sub  sub_25d80b24c
0x000000025d80b258  0x00000088  __TEXT,__text  sub  sub_25d80b258
0x000000025d80b2e0  0x00000048  __TEXT,__text  sub  sub_25d80b2e0
0x000000025d80b328  0x0000002c  __TEXT,__text  sub  sub_25d80b328
0x000000025d80b354  0x000000bc  __TEXT,__text  sub  sub_25d80b354
0x000000025d80b410  0x00000010  __TEXT,__text  sub  sub_25d80b410
0x000000025d80b420  0x0000003c  __TEXT,__text  sub  sub_25d80b420
0x000000025d80b45c  0x00000028  __TEXT,__text  sub  sub_25d80b45c
0x000000025d80b484  0x00000010  __TEXT,__text  sub  sub_25d80b484
0x000000025d80b494  0x00000074  __TEXT,__text  sub  sub_25d80b494
0x000000025d80b508  0x00000028  __TEXT,__text  sub  sub_25d80b508
0x000000025d80b530  0x0000005c  __TEXT,__text  sub  sub_25d80b530
0x000000025d80b58c  0x000000cc  __TEXT,__text  sub  sub_25d80b58c
0x000000025d80b658  0x00000114  __TEXT,__text  sub  sub_25d80b658
0x000000025d80b76c  0x0000004c  __TEXT,__text  sub  sub_25d80b76c
0x000000025d80b7b8  0x00000138  __TEXT,__text  sub  sub_25d80b7b8
0x000000025d80b8f0  0x000000f4  __TEXT,__text  sub  sub_25d80b8f0
0x000000025d80b9e4  0x00000074  __TEXT,__text  sub  sub_25d80b9e4
0x000000025d80ba58  0x000000f4  __TEXT,__text  sub  sub_25d80ba58
0x000000025d80bb4c  0x00000020  __TEXT,__text  sub  sub_25d80bb4c
0x000000025d80bb6c  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x000000025d80bbc0  0x0000005c  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameAbstractV2
0x000000025d80bc1c  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x000000025d80bc54  0x00000024  __TEXT,__text  sub  sub_25d80bc54
0x000000025d80bc78  0x00000044  __TEXT,__text  func  __swift_destroy_boxed_opaque_existential_1Tm  // aliases: __swift_destroy_boxed_opaque_existential_0
0x000000025d80bcbc  0x00000330  __TEXT,__text  sub  sub_25d80bcbc
0x000000025d80bfec  0x0000013c  __TEXT,__text  sub  sub_25d80bfec
0x000000025d80c128  0x00000010  __TEXT,__text  sub  sub_25d80c128
0x000000025d80c138  0x00000028  __TEXT,__text  sub  sub_25d80c138
0x000000025d80c160  0x00000114  __TEXT,__text  sub  sub_25d80c160
0x000000025d80c274  0x00000104  __TEXT,__text  sub  sub_25d80c274
0x000000025d80c378  0x00000114  __TEXT,__text  sub  sub_25d80c378
0x000000025d80c48c  0x000003b0  __TEXT,__text  sub  sub_25d80c48c
0x000000025d80c83c  0x00000018  __TEXT,__text  sub  sub_25d80c83c
0x000000025d80c854  0x0000002c  __TEXT,__text  sub  sub_25d80c854
0x000000025d80c880  0x0000002c  __TEXT,__text  sub  sub_25d80c880
0x000000025d80c8ac  0x0000002c  __TEXT,__text  sub  sub_25d80c8ac
0x000000025d80c8d8  0x00000014  __TEXT,__text  sub  sub_25d80c8d8
0x000000025d80c8ec  0x00000014  __TEXT,__text  sub  sub_25d80c8ec
0x000000025d80c900  0x0000004c  __TEXT,__text  sub  sub_25d80c900
0x000000025d80c94c  0x00000054  __TEXT,__text  sub  sub_25d80c94c
0x000000025d80c9a0  0x00000038  __TEXT,__text  sub  sub_25d80c9a0
0x000000025d80c9d8  0x00000008  __TEXT,__text  sub  sub_25d80c9d8
0x000000025d80c9e0  0x00000014  __TEXT,__text  func  block_copy_helper
0x000000025d80c9f4  0x00000008  __TEXT,__text  func  block_destroy_helper
0x000000025d80c9fc  0x00000048  __TEXT,__text  sub  sub_25d80c9fc
0x000000025d80ca44  0x00000054  __TEXT,__text  sub  sub_25d80ca44
0x000000025d80ca98  0x00000038  __TEXT,__text  sub  sub_25d80ca98
0x000000025d80cad0  0x0000001c  __TEXT,__text  sub  sub_25d80cad0
0x000000025d80caec  0x00000060  __TEXT,__text  sub  sub_25d80caec
0x000000025d80cb4c  0x00000058  __TEXT,__text  sub  sub_25d80cb4c
0x000000025d80cba4  0x00000054  __TEXT,__text  sub  sub_25d80cba4
0x000000025d80cbf8  0x00000040  __TEXT,__text  sub  sub_25d80cbf8
0x000000025d80cc38  0x00000008  __TEXT,__text  sub  sub_25d80cc38
0x000000025d80cc40  0x00000048  __TEXT,__text  sub  sub_25d80cc40
0x000000025d80cc88  0x00000014  __TEXT,__text  sub  sub_25d80cc88
0x000000025d80cc9c  0x00000054  __TEXT,__text  sub  sub_25d80cc9c
0x000000025d80ccf0  0x00000004  __TEXT,__text  func  _swift_stdlib_malloc_size
0x000000025d80ccf4  0x00000014  __TEXT,__text  sub  sub_25d80ccf4
0x000000025d80cd08  0x00000014  __TEXT,__text  sub  sub_25d80cd08
0x000000025d80cd1c  0x0000004c  __TEXT,__text  sub  sub_25d80cd1c
0x000000025d80cd68  0x00000048  __TEXT,__text  sub  sub_25d80cd68
0x000000025d80cdb0  0x00000048  __TEXT,__text  sub  sub_25d80cdb0
0x000000025d80cdf8  0x00000048  __TEXT,__text  sub  sub_25d80cdf8
0x000000025d80ce40  0x00000048  __TEXT,__text  sub  sub_25d80ce40
0x000000025d80ce88  0x00000004  __TEXT,__text  sub  sub_25d80ce88
0x000000025d80ce8c  0x00000004  __TEXT,__text  func  block_copy_helper.29
0x000000025d80ce90  0x00000004  __TEXT,__text  func  block_copy_helper.36
0x000000025d80ce94  0x00000004  __TEXT,__text  func  block_copy_helper.39
0x000000025d80ce98  0x00000004  __TEXT,__text  func  block_destroy_helper.30
0x000000025d80ce9c  0x00000004  __TEXT,__text  func  block_destroy_helper.37
0x000000025d80cea0  0x00000004  __TEXT,__text  func  block_destroy_helper.40
0x000000025d80cea4  0x00000004  __TEXT,__text  sub  sub_25d80cea4
