//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/NewsCore.framework/Versions/A/NewsCore
// arch:    arm64e
// uuid:    FD604ADF-4977-353F-9CEE-5C15AAB67C76
// text:    0x00000001db16b000
// count:   35254 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001db16e5f8  0x00000018  __TEXT,__text  sub  sub_1db16e5f8
0x00000001db16e610  0x00000040  __TEXT,__text  sub  sub_1db16e610
0x00000001db16e650  0x00000030  __TEXT,__text  sub  sub_1db16e650
0x00000001db16e680  0x00000030  __TEXT,__text  sub  sub_1db16e680
0x00000001db16e6b0  0x00000004  __TEXT,__text  sub  sub_1db16e6b0
0x00000001db16e6b4  0x00000040  __TEXT,__text  sub  sub_1db16e6b4
0x00000001db16e6f4  0x00000038  __TEXT,__text  sub  sub_1db16e6f4
0x00000001db16e72c  0x00000004  __TEXT,__text  sub  sub_1db16e72c
0x00000001db16e730  0x000001a4  __TEXT,__text  sub  sub_1db16e730
0x00000001db16e8d4  0x00000038  __TEXT,__text  sub  sub_1db16e8d4
0x00000001db16e90c  0x00000010  __TEXT,__text  sub  sub_1db16e90c
0x00000001db16e91c  0x00000010  __TEXT,__text  sub  sub_1db16e91c
0x00000001db16e92c  0x00000038  __TEXT,__text  sub  sub_1db16e92c
0x00000001db16e964  0x00000038  __TEXT,__text  sub  sub_1db16e964
0x00000001db16e99c  0x00000038  __TEXT,__text  sub  sub_1db16e99c
0x00000001db16e9d4  0x00000040  __TEXT,__text  sub  sub_1db16e9d4
0x00000001db16ea14  0x000000c0  __TEXT,__text  sub  sub_1db16ea14
0x00000001db16ead4  0x000000bc  __TEXT,__text  sub  sub_1db16ead4
0x00000001db16eb90  0x00000004  __TEXT,__text  sub  sub_1db16eb90
0x00000001db16eb94  0x00000030  __TEXT,__text  sub  sub_1db16eb94
0x00000001db16ebc4  0x00000030  __TEXT,__text  sub  sub_1db16ebc4
0x00000001db16ebf4  0x00000040  __TEXT,__text  sub  sub_1db16ebf4
0x00000001db16ec34  0x00000004  __TEXT,__text  sub  sub_1db16ec34
0x00000001db16ec38  0x00000038  __TEXT,__text  sub  sub_1db16ec38
0x00000001db16ec70  0x00000004  __TEXT,__text  sub  sub_1db16ec70
0x00000001db16ec74  0x00000004  __TEXT,__text  sub  sub_1db16ec74
0x00000001db16ec78  0x000000c0  __TEXT,__text  sub  sub_1db16ec78
0x00000001db16ed38  0x00000038  __TEXT,__text  sub  sub_1db16ed38
0x00000001db16ed70  0x000000dc  __TEXT,__text  sub  sub_1db16ed70
0x00000001db16ee4c  0x00000004  __TEXT,__text  sub  sub_1db16ee4c
0x00000001db16ee50  0x00000038  __TEXT,__text  sub  sub_1db16ee50
0x00000001db16ee88  0x00000004  __TEXT,__text  sub  sub_1db16ee88
0x00000001db16ee8c  0x00000038  __TEXT,__text  sub  sub_1db16ee8c
0x00000001db16eec4  0x00000038  __TEXT,__text  sub  sub_1db16eec4
0x00000001db16eefc  0x00000004  __TEXT,__text  sub  sub_1db16eefc
0x00000001db16ef00  0x00000030  __TEXT,__text  sub  sub_1db16ef00
0x00000001db16ef30  0x00000004  __TEXT,__text  sub  sub_1db16ef30
0x00000001db16ef34  0x00000004  __TEXT,__text  sub  sub_1db16ef34
0x00000001db16ef38  0x00000004  __TEXT,__text  sub  sub_1db16ef38
0x00000001db16ef3c  0x00000004  __TEXT,__text  sub  sub_1db16ef3c
0x00000001db16ef40  0x00000004  __TEXT,__text  sub  sub_1db16ef40
0x00000001db16ef44  0x00000004  __TEXT,__text  sub  sub_1db16ef44
0x00000001db16ef48  0x0000000c  __TEXT,__text  sub  sub_1db16ef48
0x00000001db16ef54  0x00000004  __TEXT,__text  sub  sub_1db16ef54
0x00000001db16ef58  0x000000a4  __TEXT,__text  sub  sub_1db16ef58
0x00000001db16effc  0x0000009c  __TEXT,__text  sub  sub_1db16effc
0x00000001db16f098  0x00000038  __TEXT,__text  sub  sub_1db16f098
0x00000001db16f0d0  0x00000050  __TEXT,__text  sub  sub_1db16f0d0
0x00000001db16f120  0x00000050  __TEXT,__text  sub  sub_1db16f120
0x00000001db16f170  0x00000010  __TEXT,__text  sub  sub_1db16f170
0x00000001db16f180  0x00000040  __TEXT,__text  sub  sub_1db16f180
0x00000001db16f1c0  0x00000038  __TEXT,__text  sub  sub_1db16f1c0
0x00000001db16f1f8  0x00000058  __TEXT,__text  sub  sub_1db16f1f8
0x00000001db16f250  0x00000004  __TEXT,__text  sub  sub_1db16f250
0x00000001db16f254  0x00000038  __TEXT,__text  sub  sub_1db16f254
0x00000001db16f28c  0x00000038  __TEXT,__text  sub  sub_1db16f28c
0x00000001db16f2c4  0x000000d8  __TEXT,__text  sub  sub_1db16f2c4
0x00000001db16f39c  0x00000004  __TEXT,__text  sub  sub_1db16f39c
0x00000001db16f3a0  0x00000004  __TEXT,__text  sub  sub_1db16f3a0
0x00000001db16f3a4  0x00000038  __TEXT,__text  sub  sub_1db16f3a4
0x00000001db16f3dc  0x00000010  __TEXT,__text  sub  sub_1db16f3dc
0x00000001db16f3ec  0x00000010  __TEXT,__text  sub  sub_1db16f3ec
0x00000001db16f3fc  0x00000040  __TEXT,__text  sub  sub_1db16f3fc
0x00000001db16f43c  0x00000030  __TEXT,__text  sub  sub_1db16f43c
0x00000001db16f46c  0x00000040  __TEXT,__text  sub  sub_1db16f46c
0x00000001db16f4ac  0x000000e0  __TEXT,__text  sub  sub_1db16f4ac
0x00000001db16f58c  0x00000010  __TEXT,__text  sub  sub_1db16f58c
0x00000001db16f59c  0x00000018  __TEXT,__text  sub  sub_1db16f59c
0x00000001db16f5b4  0x00000038  __TEXT,__text  sub  sub_1db16f5b4
0x00000001db16f5ec  0x00000018  __TEXT,__text  sub  sub_1db16f5ec
0x00000001db16f604  0x00000038  __TEXT,__text  sub  sub_1db16f604
0x00000001db16f63c  0x00000038  __TEXT,__text  sub  sub_1db16f63c
0x00000001db16f674  0x000002b4  __TEXT,__text  sub  sub_1db16f674
0x00000001db16f928  0x00000004  __TEXT,__text  sub  sub_1db16f928
0x00000001db16f92c  0x00000038  __TEXT,__text  sub  sub_1db16f92c
